.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Omipalisib:P00747;P08519	Omipalisib	P00747;P08519	-0.307424683949752	1.01289312805519	19.1158098378742	24439.1222372091	24439.1222372091	120275.677172367	FALSE	0.901056808152613	1.53871908002296	24.5657896617544	25.6069923156141	3.79238549923406	1	0.766373543715854	4.17204949701371	3.72501779328699	5.04771844907219	9.21541305236244	2	1	3	3	3	4	Plasminogen	12078506	PLG;LPA	0.19773095623987	0.649809915439788	1.40359224096431	8.82882745970593	1.5278305221187	R_Bin_1
up	Omipalisib:P04004	Omipalisib	P04004	-4.9428522079329	1.22888872418351	7.50437196802586	103.923622092195	103.923622092195	72.22380890883	FALSE	0.800198561309665	2.43127967264333	30.0553988085438	31.0966014624036	3.71823367057054	1	1.05173582929212	1.63506833262017	4.06898848271536	9.90990285581159	5.09884930104108	2	1	2	2	2	2	Vitronectin	51572680.6666667	VTN	0.45779827951627	0.317504576329232	1.22888872418352	7.50437196703831	1.41436193528169	R_Bin_1
up	Omipalisib:P02042;P68871;P02100;P69891;P69892	Omipalisib	P02042;P68871;P02100;P69891;P69892	-4.17213814556591	1.30643506036009	7.10230779514753	95.8440589391097	95.8440589391097	54.9845411808935	FALSE	0.830287014015194	2.04226789362544	27.9631168476615	29.0043195015212	3.64626492980966	1	1.16365306967871	1.75536446865965	4.46116069423379	9.09914339646958	5.09291743057397	2	1	1	1	1	1	Hemoglobin subunit delta	87815024	HBD;HBB;HBE1;HBG1;HBG2	0.556539084902132	0.377449517194173	1.3064350603622	7.10230777317247	1.34219583882333	R_Bin_1
up	Omipalisib:P00734	Omipalisib	P00734	-5.44218984990935	1.06381807659851	6.51036643487451	110.939307057961	110.939307057961	152.152306671624	FALSE	0.966041748424295	0.791376630009939	16.5866106477733	17.627813301633	3.19344413400983	1	0.858672696565605	1.33280396393428	3.03763713155745	7.26335052484023	5.75736444116261	4	6	3	5	5	3	Prothrombin	69147476	F2	0.514649046253584	0.237060042092201	1.06381807659851	6.51036643474945	1.27730539595029	R_Bin_1
up	Omipalisib:Q16772;P09210;P08263	Omipalisib	Q16772;P09210;P08263	-4.96573528419262	1.2806067613846	5.76003412428466	117.632033905283	117.632033905283	188.850942927198	FALSE	0.923062179626724	1.00461020817392	19.4495813771498	20.4907840310096	3.00929704519486	1	0.974148865440111	1.86774831363389	2.66320173674143	6.62626913405652	4.89368213677558	1	1	1	1	1	1	Glutathione S-transferase A3	16323982.25	GSTA3;GSTA2;GSTA1	0.251589577359432	0.446788903806162	1.2806067613846	5.76003412310986	1.06343499750956	R_Bin_1
up	Omipalisib:Q2PPJ7	Omipalisib	Q2PPJ7	-1.72844404088492	1.16050410852069	7.60617085697342	521.376189822898	521.376189822898	56.7837741990043	FALSE	0.998956651326777	0.148638335668509	-3.48048439992368	-2.43928174606395	2.81653450271	1	1.29317410089649	1.1966963812746	1.51018192704893	6.02748364656415	7.56721326189898	3	5	5	5	4	4	Ral GTPase-activating protein subunit alpha-2	10768613.6666667	RALGAPA2	0.178905373394839	0.0153249865016951	1.16050653166821	7.56732806697984	1.35292801406492	R_Bin_1
up	Omipalisib:P02774	Omipalisib	P02774	-1.54090670677667	1.15323216305468	4.99850966923582	106.492480692807	106.492480692807	21.908624420883	FALSE	0.991841131417874	0.264177744200304	3.42078846582687	4.4619911196866	2.67060712222348	1	1.11372803517535	1.46947774965338	2.93908943132184	5.07037066329413	4.82589554233968	2	1	1	1	1	1	Vitamin D-binding protein	15908465.8333333	GC	0.246727340730582	0.16121173428557	1.15331535901266	4.99500365189816	0.927686207934949	R_Bin_1
up	Omipalisib:P69905	Omipalisib	P69905	-3.35066367061721	1.18809222271614	4.54555329881143	87.1752803730788	87.1752803730788	188.123519889682	FALSE	0.839358889331111	1.1550279946602	21.1238809903605	22.1650836442202	2.57116119589495	1	0.984317746925174	1.58351342636582	3.24362107090446	5.64913222863956	3.4424630940643	1	1	1	1	2	1	Hemoglobin subunit alpha	334943617.4	HBA1	0.77658646054108	0.298413330109615	1.18809222318792	4.54555287715205	0.796196187428666	R_Bin_1
up	Omipalisib:Q00577	Omipalisib	Q00577	-0.605609135258812	1.02854395447256	3.31096176909941	3.82968993004332	3.82968993004332	6.95968914628641	FALSE	0.869633005701489	0.561298455487606	12.464355908094	13.5055585619537	2.55684611835023	1	1.84987578923319	2.21413106485552	3.5292651820016	2.73164208913812	3.48585525048358	3	2	3	1	1	2	Transcriptional activator protein Pur-alpha	113161734.166667	PURA	0.600797905498068	0.26645487707014	1.25464926834426	3.2916669448635	0.468277407693679	R_Bin_1
up	Omipalisib:P02656	Omipalisib	P02656	-5.33254650890845	1.20259248603559	4.74388809831439	123.971267294296	123.971267294296	373.568425367201	FALSE	0.809953227497847	1.3403014219526	22.9091203776624	23.9503230315221	2.55309928069289	1	0.841370501393203	1.76644869133943	2.05682995704576	5.98951878423037	3.49824047114085	1	1	1	1	1	1	Apolipoprotein C-III	12571988	APOC3	0.204213938411669	0.462536477126329	1.20259248603559	4.74388809807356	0.806457956283488	R_Bin_1
