.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	(+)-JQ-1:Q96JQ2	(+)-JQ-1	Q96JQ2	-5.38316842018966	0.198794740821038	265.96390467702	7196.99173442468	7196.99173442468	20608.2552624461	FALSE	0.999981326388436	0.633489479314275	13.916243373417	14.9574460272767	8.48679224790473	1	0	0	0	0	227.305067803058	1	0	0	0	0	1	Calmin	1358961	CLMN	0.0284896740482707	0.198794754190475	0.198794740821038	227.305056968239	32.3292954004369	R_Bin_1
non-regulated	(+)-JQ-1:Q9Y236	(+)-JQ-1	Q9Y236	0.0073299882702069	-0.980196179252994	0.999999811321987	651.783737065641	651.783737065641	219769.882712616	TRUE	0.993982443648412	0.0494069234704751	-16.6975905480243	-15.6563878941646	0.0208795950388629	1	0	0.0835143140453772	0	0	0	1	0	1	0	0	0	Oxidative stress-induced growth inhibitor 2	3031963	OSGIN2	0.0381935804926599	0.0250571102555541	0.0417591691132583	-6.49053113765952e-06	-0.145243266115582	R_Bin_1
non-regulated	(+)-JQ-1:Q12894	(+)-JQ-1	Q12894	-4.53931735521167e-05	0.999733773497774	-0.949483957578194	75994966336604800	75994966336604800		TRUE	0.997108693857639	0.0338531558953804	-21.2342906138204	-20.1930879599606	0.0259083105400471	1	0.0467698694908627	0	0	0.0398850862760423	0.0436696448079043	1	1	0	0	1	1	Interferon-related developmental regulator 2	257651761.5	IFRD2	0.734884299577009	0.0233340009197567	0.0260356451001479	0.0257809759621203	-0.137208746445855	R_Bin_1
non-regulated	(+)-JQ-1:A5D8V7	(+)-JQ-1	A5D8V7	0.000397338170101693	-0.943993555265464	0.999991719971913	651.149256379424	651.149256379424		TRUE	0.979488312871548	0.0907304209935859	-9.40396489630408	-8.36276224244436	0.0285831975208163	1	0	0	0.143446428383351	0	0	1	0	0	2	0	0	Coiled-coil domain-containing protein 151	10693457	CCDC151	0.16608609106743	0.0290278378444006	0.029694797216741	0.0274715968064831	-0.138758673474761	R_Bin_1
non-regulated	(+)-JQ-1:Q86VE0	(+)-JQ-1	Q86VE0	0.000656959523385827	-0.932089722441615	1.00175600824496	660.29072193679	660.29072193679		TRUE	0.968643408351314	0.112024507476826	-6.8740653658111	-5.83286271195137	0.035798309475152	1	0	0	0.177096540929903	0	0	1	0	0	1	0	0	Myb-related transcription factor, partner of profilin	17297961	MYPOP	0.254292112465788	0.0365296435887359	0.0376266397386492	0.0339699746114018	-0.137797241687717	R_Bin_1
non-regulated	(+)-JQ-1:Q13794	(+)-JQ-1	Q13794	0.0129491670349766	-0.966557775016174	0.999998452635058	719.126021592153	719.126021592153	138505.464390269	TRUE	0.981312238227252	0.0865881150017471	-9.96472654337181	-8.92352388951208	0.0365978077163856	1	0	0.146368317582879	0	0	0	1	0	1	0	0	0	Phorbol-12-myristate-13-acetate-induced protein 1	13131317.3333333	PMAIP1	0.202413535705399	0.0439262225875795	0.0731949628645656	-3.61170546618883e-05	-0.147039094788082	R_Bin_1
non-regulated	(+)-JQ-1:P02533	(+)-JQ-1	P02533	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type I cytoskeletal 14	0	KRT14	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	(+)-JQ-1:P08123	(+)-JQ-1	P08123	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Collagen alpha-2(I) chain	0	COL1A2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	(+)-JQ-1:P18847	(+)-JQ-1	P18847	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cyclic AMP-dependent transcription factor ATF-3	0	ATF3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	(+)-JQ-1:P19013	(+)-JQ-1	P19013	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cytoskeletal 4	0	KRT4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
