.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Geldanamycin:P17066	Geldanamycin	P17066	-0.728707475128476	0.569941094960394	78.3279746837334	5784.4708767192	5784.4708767192	3327.52110809106	FALSE	0.999588150164854	0.590427894446165	13.071492891132	14.1126955449917	9.02588986520509	1	0.684362935103346	0.666981880681851	4.70472391034529	17.4480367848282	47.1072193903889	3	2	3	6	8	9	Heat shock 70 kDa protein 6	60095863	HSPA6	0.418741976893453	0.172004847681671	0.596262018553357	47.1021720015277	8.13899601516521	R_Bin_1
up	Geldanamycin:P50454	Geldanamycin	P50454	-0.793233521797644	0.688247900752818	14.1047197850587	780.059671628513	780.059671628513	213.050635866158	FALSE	0.997617444345412	0.378244353467884	7.72780775897525	8.76901041283498	3.84274388656978	1	0.682838298965384	0.718843836627095	3.07390998816125	7.99104077827437	12.5570963182877	12	11	11	17	18	22	Serpin H1	681096527.166667	SERPINH1	0.837997432605905	0.129933117648957	0.69921058870599	12.5382657425429	2.34471871945427	R_Bin_1
up	Geldanamycin:P10909	Geldanamycin	P10909	-0.84393707927651	0.341596984529495	21.4625090644073	5151.73193886005	5151.73193886005	9875.20831176009	FALSE	0.994444715309733	0.62955413244634	13.8414647754436	14.8826674293033	2.54145269261704	1	0	0	1.24390316228648	4.55371053851032	13.7843391301024	1	0	0	1	3	5	Clusterin	10362510	CLU	0.112580231065469	0.263643609754819	0.343825803353848	13.7827994797622	2.25219229795227	R_Bin_1
up	Geldanamycin:P04792	Geldanamycin	P04792	-1.00300390725495	0.329023744905692	11.7417031049272	1797.34052877194	1797.34052877194	1388.70260556929	FALSE	0.990532060185119	0.602187585644093	13.3081506747658	14.3493533286255	2.19348317129012	1	0	0	1.02318841586422	4.3936107327073	10.011657170752	1	0	0	2	2	2	Heat shock protein beta-1	42876120	HSPB1	0.358279845956354	0.216404892859898	0.329640273567895	10.0105510322252	1.69320875622132	R_Bin_1
up	Geldanamycin:O95817	Geldanamycin	O95817	-0.92071977504909	0.807460191515432	5.09620379066254	408.422736259164	408.422736259164	126.491827450413	FALSE	0.994780077093114	0.200612637807105	0.117833147748064	1.15903580160779	2.01950432945735	1	0.755800196706435	0.76570437223537	1.80329132286081	3.75362523083562	4.89708844130425	9	6	11	11	15	15	BAG family molecular chaperone regulator 3	268868539.166667	BAG3	0.699101412066752	0.0713205391891114	0.80948929527227	4.88177832300435	0.84332869312955	R_Bin_1
non-regulated	Geldanamycin:Q96Q42	Geldanamycin	Q96Q42	0.000678791675061977	-0.999759594435629	0.998081169418558	2743.61431698268	2743.61431698268		TRUE	0.999919875371466	0.00575782352082425	-42.4919628272098	-41.4507601733501	0.000673924845503966	1	0.00469016031323834	0.00509960178974466	0.00470865355474444	0	0.00301363395180988	4	4	3	3	0	1	Alsin	27879058740.5	ALS2	0.997689345314506	0.00416333516756762	0.00262552425413865	-0.00127768226246006	-0.142839807411876	R_Bin_1
non-regulated	Geldanamycin:Q9NXB0	Geldanamycin	Q9NXB0	0.00370929913918467	-0.990095874377454	0.999999994515573	682.983663915861	682.983663915861	423631.232957678	TRUE	0.99846022382304	0.0251361872158283	-24.806974979987	-23.7657723261273	0.0106221472677672	1	0	0.0424880920462476	0	0	0	1	0	1	0	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.565982028241335	0.0127467929104229	0.0212443197901894	-8.86723413584534e-07	-0.144071088344179	R_Bin_1
non-regulated	Geldanamycin:Q15582	Geldanamycin	Q15582	-0.000237995514748545	1.00004691579627	-0.963886990281319	103899457330.624	103899457330.624		TRUE	0.997582363726408	0.0311105212044322	-22.2481245627921	-21.2069219089324	0.0206405094930656	1	0	0.0358278593591187	0	0.0493177536103935	0.0196591655686882	1	0	1	0	1	1	Transforming growth factor-beta-induced protein ig-h3	92919263	TGFBI	0.504236200256739	0.0207750394092336	0.0213131574207789	0.0199678599636944	-0.136845107733843	R_Bin_1
non-regulated	Geldanamycin:A0A1B0GTU1	Geldanamycin	A0A1B0GTU1	0.000412028672135411	-0.946660714314748	0.98787873133576	672.389909720473	672.389909720473		TRUE	0.993325784433482	0.052053689202998	-16.0713692878928	-15.030166634033	0.0212181730847213	1	0	0	0.0802173915215163	0	0	1	0	0	1	0	0	Zinc finger CCCH domain-containing protein 11B	79945106	ZC3H11B	0.475353016688062	0.0216770123804453	0.0223652700799526	0.0200710749474214	-0.1405652173851	R_Bin_1
non-regulated	Geldanamycin:Q9NWR8	Geldanamycin	Q9NWR8	0.00027907393149371	-0.960665805081761	1.00271163761066	734.130945990035	734.130945990035	96806.848813998	TRUE	0.988396929688296	0.0684253253701987	-12.7897612145776	-11.7485585607178	0.0214536980535171	1	0	0	0.108138524130852	0	0	1	1	0	1	0	1	Calcium uniporter regulatory subunit MCUb, mitochondrial	105156000	MCUB	0.525673940949936	0.0217691104123586	0.0222422285505263	0.0206651671859996	-0.139767470739119	R_Bin_1
non-regulated	Geldanamycin:O60936	Geldanamycin	O60936	-0.000413332937995954	0.99982972386937	-0.962417202099812	29943132.6345511	29943132.6345511		TRUE	0.995333410620155	0.0432461354973197	-18.2957828145271	-17.2545801606674	0.0214964920370837	1	0	0	0	0.0456331021364793	0.0616396794306663	1	0	0	0	1	1	Nucleolar protein 3	334040407	NOL3	0.733504492939666	0.0235168718960037	0.0226636904321389	0.0203292883777403	-0.130140065612492	R_Bin_1
non-regulated	Geldanamycin:Q96G23	Geldanamycin	Q96G23	0.000410453487311479	-0.943481824398825	0.987231665211856	672.426601854254	672.426601854254		TRUE	0.992569237834917	0.0548959970301952	-15.4333921509898	-14.3921894971301	0.0224805668149044	1	0	0	0.0845528680728695	0	0	1	0	0	1	0	1	Ceramide synthase 2	251550298	CERS2	0.689345314505777	0.0229367479884309	0.0236210185212731	0.0213401139817281	-0.14044134662649	R_Bin_1
