.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Ixazomib:P28562	Ixazomib	P28562	-3.55077210548973	-0.000180938869985385	633.589055152902	6149.06129671047	6149.06129671047	46.6320895019296	FALSE	0.999999999998969	0.000352463555426984	-76.0123739464112	-74.9711712925514	29.3467534516151	0	0	0	0	1	537.909786029596	0	0	0	0	1	1	Dual specificity protein phosphatase 1	0	DUSP1	0	0.000180899198780846	-0.000180938869979107	537.909786100339	76.9299694327994	R_Bin_1
up	Ixazomib:P16415	Ixazomib	P16415	-6.54244967263044	0.249919435251723	120.316416409635	948.542676682693	948.542676682693	386.704906515907	FALSE	0.999943689109566	0.61238238653344	13.509605488731	14.5508081425907	24.821251655219	1	0	0	0	70.5558436907402	120.316465883289	1	0	0	0	1	1	Zinc finger protein 823	195955	ZNF823	0.0421892816419612	0.249919435258699	0.249919435251723	120.316392038944	23.092853156819	R_Bin_1
up, low confidence	Ixazomib:P35555;P35556	Ixazomib	P35555;P35556	-3.65312954661868	0.854097019405021	53.8352273692924	4260.25246090554	4260.25246090554	72075.8998552328	FALSE	0.999875287428883	0.365367683155578	7.31217303667422	8.35337569053394	4.83954968542513	1	1.2002800360044	0.656653762457334	0.559414089747323	1.11880169844927	51.5883443145833	2	2	1	1	2	1	Fibrillin-1	35720748.4	FBN1;FBN2	0.36120613201571	0.171673125339184	0.854097019405022	51.5883441684857	7.21714419678689	R_Bin_1
up	Ixazomib:P17066	Ixazomib	P17066	-0.960294872499444	0.681446126394653	22.2087889648197	1463.08790432567	1463.08790432567	241.251542604523	FALSE	0.999387054411829	0.295287887462517	4.75673190687184	5.79793456073156	4.56172418011404	1	0.45683937600416	0.751537810290943	2.24245439550399	9.49280624895752	19.2743833073738	3	1	2	5	7	7	Heat shock 70 kDa protein 6	44422451.1666667	HSPA6	0.403015330039275	0.0738331023586629	0.683599201413253	19.2729747793826	3.4277352497412	R_Bin_1
up	Ixazomib:Q9H1B5	Ixazomib	Q9H1B5	-13.7527210925143	1.32465047106739	14.9887216502419	975.639370166556	975.639370166556	14303.9733865094	FALSE	0.932243848888423	2.50181830101006	30.3985994674942	31.4398021213539	4.08754884087168	1	4.3085060227232	0	0	9.3043237435697	14.9887259122535	1	1	0	0	2	1	Xylosyltransferase 2	2884531	XYLT2	0.0481439249968326	0.82465047106739	1.32465047106739	14.9887216502417	2.42660236353734	R_Bin_1
non-regulated	Ixazomib:P13645	Ixazomib	P13645	-4.89646530972982	1.41768355927436	11.3231449625722	1801.84107444038	1801.84107444038	82789.5830271129	FALSE	0.844183511005165	2.7207349195436	31.4052104304465	32.4464130843062	2.89291301318096	1	0	4.6750850008388	0	1.94266929226795	11.3208954533092	2	0	7	0	3	11	Keratin, type I cytoskeletal 10	45040629.75	KRT10	0.405422526289117	0.917683559274361	1.41768355927436	11.3208989209452	1.50735428978603	R_Bin_1
up	Ixazomib:P00747;P08519	Ixazomib	P00747;P08519	-1.09186712456868	0.883791000827591	6.10165039541978	356.808580565107	356.808580565107	84.2730340029266	FALSE	0.996119792381387	0.221553069492411	1.30926849090945	2.35047114476918	2.40534145733418	1	0.991202787690801	0.722985446642014	1.98865268278205	4.79291849347932	5.98363132146748	2	1	2	2	5	5	Plasminogen	16121721.8333333	PLG;LPA	0.212973520841252	0.0811778157004359	0.884480680871098	5.96808848105192	1.07397059888123	R_Bin_1
up	Ixazomib:O00458	Ixazomib	O00458	-6.19308982932293	0.679184559117191	4.73803326082089	75.4922915808479	75.4922915808479	606.591671559618	FALSE	0.864687792255062	1.32883767722611	22.8060416114587	23.8472442653185	2.40190034918205	1	1.03527612847798	0	4.13258088809208	5.92979108384574	3.54627163604026	1	1	0	2	2	2	Interferon-related developmental regulator 1	1640032	IFRD1	0.0433295324971494	0.517645484877638	0.679184559117191	4.7380332608206	0.901356683839904	R_Bin_1
up	Ixazomib:P01008	Ixazomib	P01008	-1.05198530045027	0.993059506087298	7.91875381234983	1938.94961940128	1938.94961940128	4025.918805234	FALSE	0.935699914888193	0.976206803738642	19.105416101333	20.1466187551928	2.07393121947555	1	1.91098348512511	0	1.45066787423946	3.28749700948744	6.8716938652878	1	1	0	1	1	1	Antithrombin-III	4952391	SERPINC1	0.0638540478905359	0.0866328807342029	0.993273298827088	6.87203075130431	0.998247936393298	R_Bin_1
up	Ixazomib:P19823	Ixazomib	P19823	-0.433079819112194	1.1496894212645	7.59425028496963	9273.79067253298	9273.79067253298	42587.9214803902	FALSE	0.887611848053134	0.713809800801324	15.3487211618464	16.3899238157061	2.05793217451781	1	0.979890857292455	2.31740029379891	1.51172704079731	2.90337554843947	4.47076377053166	2	2	1	2	2	3	Inter-alpha-trypsin inhibitor heavy chain H2	27552560.1666667	ITIH2	0.310655010769036	0.242837683821004	1.19486661605276	4.4245707355912	0.637674276374221	R_Bin_1
