.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Romidepsin:P02765	Romidepsin	P02765	-3.78201895377149	1.32013802708491	45.7893659632535	3028.9027424488	3028.9027424488		FALSE	0.999894213794942	0.291213609492065	4.59000727828433	5.63120993214405	5.94807136421508	1	1.28017377389222	1.48203697742752	1.5185266460056	1.98274952014722	45.3090203914222	2	1	1	1	1	2	Alpha-2-HS-glycoprotein	61209935.3333333	AHSG	0.490037831021438	0.100931592590883	1.32013802708491	45.3090199351656	6.39112339612726	R_Bin_1
up	Romidepsin:Q9BPU6	Romidepsin	Q9BPU6	-0.26438785505038	0.961327610908375	21.7107536328725	20655.2579244177	20655.2579244177	131955.717681354	FALSE	0.825225968858366	2.51997842123246	30.4853900743918	31.5265927282515	4.80123310718052	1	0.85051920531168	5.70107925414372	5.3818667881835	5.3400086850138	11.2241087571175	1	1	3	2	4	1	Dihydropyrimidinase-related protein 5	4025820	DPYSL5	0.0686002522068096	1.19488920917948	1.74660179188343	10.3442322527814	1.83627999310668	R_Bin_1
up	Romidepsin:P02768	Romidepsin	P02768	-4.05993316783588	1.19461280172271	29.4763360250115	2471.91885846686	2471.91885846686		FALSE	0.999772658921704	0.273066017897826	3.81788574182432	4.85908839568405	4.6320255555618	1	1.00422433298305	1.36616684806273	1.40816393734317	1.89430099804001	29.3795575487352	3	2	3	2	2	3	Albumin	1236674139.33333	ALB	0.919419924337957	0.180971254817897	1.19461280172271	29.3795580221288	4.13171470937507	R_Bin_1
up	Romidepsin:P02774	Romidepsin	P02774	-2.80413067617737	1.1464870766134	64.8066362354668	5744.44180069123	5744.44180069123		FALSE	0.999965188709506	0.199810699925682	0.0697676803475105	1.11097033420724	4.59431845313527	1	1.08073939236198	1.12651646886393	1.37889335519182	1.61531295776092	53.701715174265	1	1	1	2	2	1	Vitamin D-binding protein	11555032	GC	0.175031525851198	0.0428597297511454	1.14648707661627	53.7017169697563	7.58184781296713	R_Bin_1
up	Romidepsin:Q99519	Romidepsin	Q99519	-0.306569479965998	0.806007792377112	15.3038024689862	2106.17171362064	2106.17171362064	16208.0643093854	FALSE	0.925034785919548	1.51176842476778	24.3537473062484	25.3949499601081	4.56046405919529	1	0.918946459734499	4.77991432260555	4.13625249748338	7.2871616666216	9.79731143119746	2	2	4	4	5	5	Sialidase-1	16059762.5	NEU1	0.232786885245902	0.609681186674987	1.46033308215164	9.75359057478319	1.7842154557579	R_Bin_1
up	Romidepsin:Q99574	Romidepsin	Q99574	-0.205403721493152	0.946790732729669	10.8134058794454	816.460401705347	816.460401705347	6590.58966300362	FALSE	0.917888396471945	1.04559970151377	19.9294731868955	20.9706758407552	4.43982653979383	1	2.31382571597714	4.66046432388712	5.00963534045597	5.07405064980269	7.55078881747529	1	1	2	2	2	1	Neuroserpin	4522486	SERPINI1	0.0741488020176545	0.745504959683433	2.28717962404181	7.12217392324573	1.18239399729777	R_Bin_1
up	Romidepsin:O75054	Romidepsin	O75054	-4.40662897119249	0.999892589087337	5.33345270097373	1.15178691820912	1.15178691820912	1.54116906535779	FALSE	0.877048260110029	1.12958666937287	20.8566074505233	21.897810104383	4.41329759306097	1	2.51292931552382	5.77037965006011	5.32126876092139	4.05556265366971	6.1864466352178	1	1	3	2	1	3	Immunoglobulin superfamily member 3	3683161	IGSF3	0.0659520807061791	0.224713781181341	0.99998374030232	5.33345270097373	0.860314922896798	R_Bin_1
non-regulated	Romidepsin:P41273	Romidepsin	P41273	-6.71893416066013	0.199763340153224	110.919908457129	6809.00214710214	6809.00214710214	47552.8985103626	FALSE	0.999909397588983	0.632499854407903	13.8974825498002	14.9386852036599	4.00980976044547	0	0	0	1	0	103.138183720119	0	0	0	1	0	1	Tumor necrosis factor ligand superfamily member 9	0	TNFSF9	0	0.199763340153224	0.199763340153224	103.138175935163	14.7625976743027	R_Bin_1
non-regulated	Romidepsin:Q16772;P09210;P08263	Romidepsin	Q16772;P09210;P08263	-8.7587700252417	0.249673677407981	17.0426838153042	1383.06625976902	1383.06625976902		FALSE	0.996757090877344	0.612372618065889	13.5094140682262	14.5506167220859	3.13634213641203	1	0	0	0	1.17636002664391	17.0426480550336	1	0	0	0	1	2	Glutathione S-transferase A3	12566624.5	GSTA3;GSTA2;GSTA1	0.18890290037831	0.249673677407981	0.249673677407981	17.0426833141518	2.39263772443142	R_Bin_1
non-regulated	Romidepsin:Q9P2K2	Romidepsin	Q9P2K2	-4.91448316987528	0.902164921029476	12.3848011595311	1408.09470492822	1408.09470492822	13605.7497248326	FALSE	0.958186868062301	1.51788963156951	24.4022376508386	25.4434403046984	2.85812532062482	1	0	2.62569506200512	0	2.70315397818075	12.3840592353931	1	0	1	0	1	2	Thioredoxin domain-containing protein 16	3922502	TXNDC16	0.0674653215636822	0.500000000000002	0.902164921029476	12.3840495733084	1.78297322998579	R_Bin_1
