.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Serdemetan:Q8IYB4	Serdemetan	Q8IYB4	-5.84786541634365	0.199442290660425	288.831636595682	6891.51872475071	6891.51872475071		FALSE	0.999985689840581	0.633030883371142	13.907553183002	14.9487558368617	10.0172968087864	1	0	0	0	0	259.441891394748	1	0	0	0	0	1	PEX5-related protein	165375	PEX5L	0.0336410775262426	0.199442293225482	0.199442290660425	259.442023476112	36.9202701992497	R_Bin_1
non-regulated	Serdemetan:Q9HD89	Serdemetan	Q9HD89	-5.40559313965598	0.250067542444158	13.3468286120021	1098.86256511924	1098.86256511924	1711.32758404217	FALSE	0.994731573066186	0.612378758820094	13.5095344013025	14.5507370551623	2.7629830883198	0	0	1	0	5.16502055275777	13.3466896779884	0	0	1	0	1	1	Resistin	0	RETN	0	0.250067542444158	0.250067542444158	13.3467429296915	2.32081457280615	R_Bin_1
up, low confidence	Serdemetan:O95822	Serdemetan	O95822	-5.16586267849854	1.69171321063528	7.87015521863606	5388.92126160387	5388.92126160387	118405.006541166	FALSE	0.813095294973744	1.83664347283073	26.6896624869174	27.7308651407771	2.02819559156397	1	1.34702605879748	4.00143787453726	1.00697618564756	1.10490676902205	7.6267865346981	4	4	4	3	3	2	Malonyl-CoA decarboxylase, mitochondrial	48161305.5	MLYCD	0.410142911344378	0.63628570787664	1.69171321063528	7.62671290485698	0.840374660436414	R_Bin_1
non-regulated	Serdemetan:Q9BUF5	Serdemetan	Q9BUF5	0.000511071770235233	-0.998867106578072	1.00002438855793	816.639454680743	816.639454680743		TRUE	0.99997198392141	0.00341274437905524	-48.7684760849145	-47.7272734310547	0.00140900865855412	1	0	0.0057674405705904	0	0	0	1	0	2	0	0	0	Tubulin beta-6 chain	2091602165.33333	TUBB6	0.944479575060073	0.00170304208585698	0.00287917288947182	-6.11579675321439e-05	-0.143021926873445	R_Bin_1
non-regulated	Serdemetan:Q96GD3	Serdemetan	Q96GD3	0.000578588065022145	-1.00004401289197	1.00397304733759	693.280250423555	693.280250423555		TRUE	0.9999492633991	0.00459446314185961	-45.2004543708506	-44.1592517169909	0.00285952192222522	1	0	0.00371935748766248	0	0	0	1	0	1	0	0	0	Polycomb protein SCMH1	9438117.33333333	SCMH1	0.117490830909321	0.00219206090166135	0.00452817253681381	0.00119086799886614	-0.142963410213933	R_Bin_1
non-regulated	Serdemetan:Q96S53	Serdemetan	Q96S53	0.00282107189003569	-0.998860212019697	1.00000000206262	667.512170813853	667.512170813853	10.000000007677	TRUE	0.999872761250795	0.00725850695427372	-39.7125874871286	-38.6713848332689	0.00486900572760398	1	0.0162303395695844	0	0	0	0	1	1	0	0	0	0	Dual specificity testis-specific protein kinase 2	16181342.3333333	TESK2	0.208043505754395	0.00486908890507376	0.012983558571553	-0.00324592493971587	-0.14424831482025	R_Bin_1
up	Serdemetan:P51530	Serdemetan	P51530	-8.12127294508469	1.22752229142935	9.47615566999854	3479.84546973868	3479.84546973868	58613.7510293991	FALSE	0.985550750253358	0.644567080165799	14.1242694396398	15.1654720934996	1.98451305504039	1	0.794057210629871	1.94572505497991	1.39104846273305	1.00712814840656	9.47449972438035	1	1	1	1	2	1	DNA replication ATP-dependent helicase/nuclease DNA2	8129159.5	DNA2	0.097761477172126	0.224123101183739	1.22752229142935	9.47459545969296	1.213058138371	R_Bin_1
non-regulated	Serdemetan:Q92539	Serdemetan	Q92539	0.00779799953041853	-0.985109742819408	1.00000004191377	864.737619852827	864.737619852827		TRUE	0.998605945185144	0.0237485722554505	-25.4884083778341	-24.4472057239743	0.020246277070203	1	0.0445518027245104	0	0.0344090268143997	0	0	1	1	0	1	0	1	Phosphatidate phosphatase LPIN2	2248724235	LPIN2	0.948906032629316	0.0147789383178162	0.0425118818036681	-0.00202792063949675	-0.145692753753118	R_Bin_1
non-regulated	Serdemetan:O60282	Serdemetan	O60282	0.000191270689242178	-0.957452666018918	1.00207003334304	730.974703162797	730.974703162797	125109.668971886	TRUE	0.987058219934402	0.0722249137915935	-12.1412567022863	-11.1000540484266	0.0226029480040947	1	0	0	0.114168474715754	0	0	1	0	0	1	0	0	Kinesin heavy chain isoform 5C	10772192	KIF5C	0.1379790059441	0.0228186997861086	0.0231423273306961	0.0220635685586034	-0.139595186436693	R_Bin_1
non-regulated	Serdemetan:Q13885;Q9BVA1	Serdemetan	Q13885;Q9BVA1	0.00057245901642478	-0.954784537696895	1.00107033579351	276.50730874604	276.50730874604		TRUE	0.998559529590591	0.023966167919513	-25.3789593455004	-24.3377566916407	0.0237498476234963	1	0.00849722755548375	0.0316411711496575	0.0355870453732054	0.036541027212671	0	2	1	1	1	1	0	Tubulin beta-2A chain	1581228926	TUBB2A;TUBB2B	0.928417857594536	0.0149886798658908	0.0253611456541786	0.0221385473962531	-0.140340649337283	R_Bin_1
