.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Tubastatin A:Q15811	Tubastatin A	Q15811	-3.54268133577029	0.942747450938733	118.579724507172	3440.18984433932	3440.18984433932	198781.4178432	FALSE	0.999974543377214	0.37365948722694	7.58146171358896	8.62266436744869	11.9201319244394	1	0.549582637961992	1.29093659238789	0.930890693909913	2.40218663635935	115.955470723025	2	1	2	2	1	1	Intersectin-1	26695737.1666667	ITSN1	0.322854934295285	0.0347664357415224	0.942747450938743	115.955475413914	16.5707177060526	R_Bin_1
up, low confidence	Tubastatin A:Q15746	Tubastatin A	Q15746	-4.03899596082717	-2.37487614360025e-05	48.0964811625296	2595.41295020641	2595.41295020641	15.4796106827633	FALSE	0.999999999996552	5.71695517785891e-05	-97.8394833418493	-96.7982806879896	5.6430042938187	0	0	0	0	1	47.8903089065522	0	0	0	0	1	1	Myosin light chain kinase, smooth muscle	0	MYLK	0	2.3744494137234e-05	-2.37487614359312e-05	47.8903089452519	6.92718698665031	R_Bin_1
up	Tubastatin A:P62266	Tubastatin A	P62266	-4.8762499368613	1.15911515393992	29.0242695828653	2985.70759259822	2985.70759259822		FALSE	0.999606508129458	0.355549837237154	6.98530780742323	8.02651046128296	4.08825177659503	1	1.04516006161249	0.997963340066154	1.59334968019484	1.29292415588758	28.947698374853	2	3	3	3	2	1	40S ribosomal protein S23	53831040.6	RPS23	0.462251996908013	0.136535123133675	1.15911515393992	28.9476983392852	4.03077629992054	R_Bin_1
up	Tubastatin A:Q9H3S1	Tubastatin A	Q9H3S1	-4.4459186142476	0.250398072633504	20.5068797510938	1586.0901971059	1586.0901971059	5850.1291041445	FALSE	0.997736489694473	0.612391821465951	13.5097903704658	14.5509930243255	3.49159381840955	1	0	0	0	2.55879388532638	20.501159234971	1	0	0	0	1	1	Semaphorin-4A	7176871	SEMA4A	0.0953362535429013	0.250398074304867	0.250398072633504	20.5012412203789	3.00520508088097	R_Bin_1
up	Tubastatin A:Q9NPB0	Tubastatin A	Q9NPB0	2.95464104142599	2.55953900863373	1.04231879824951	2.01982436094112	2.01982436094112	0.959991575837513	FALSE	0.951835349807793	0.26330047709191	3.38087320645903	4.42207586031875	2.16337070170014	1	1.25587412025886	2.8037922842114	2.36496143136162	2.64643330139513	2.40748748447267	1	3	2	2	2	1	SAYSvFN domain-containing protein 1	7379249.5	SAYSD1	0.0992012367946406	0.119472916735034	1.04252978494466	2.55953900861534	0.307722403226354	R_Bin_1
non-regulated	Tubastatin A:Q8WWZ3	Tubastatin A	Q8WWZ3	0.000604074525103241	-0.986387886652143	0.991155071829495	639.206196533168	639.206196533168		TRUE	0.999714570175966	0.0108744526273353	-34.8616824241251	-33.8204797702654	0.00328142516599517	1	0	0.0147401567551414	0	0	0	1	0	1	0	0	0	Ectodysplasin-A receptor-associated adapter protein	46993945	EDARADD	0.430816799793868	0.0036252537837197	0.00500056380286285	0.00156228291104199	-0.143278290193004	R_Bin_1
non-regulated	Tubastatin A:Q6ZN54	Tubastatin A	Q6ZN54	0.000465199097599289	-0.993469629710098	1.00066091744927	799.401019254264	799.401019254264		TRUE	0.999670134213939	0.0116825703989175	-34.0015010761293	-32.9602984222696	0.00434473151384547	1	0	0	0.0183313237741846	0	0	1	0	0	1	0	0	Differentially expressed in FDCP 8 homolog	186713971.5	DEF8	0.696083483638238	0.00487873977449727	0.00567975024783574	0.00300971098960745	-0.142333390749309	R_Bin_1
non-regulated	Tubastatin A:Q9UQN3	Tubastatin A	Q9UQN3	0.000411607606437792	-0.983253715429476	0.999993362148499	641.857178247017	641.857178247017		TRUE	0.997967003913344	0.028868510642239	-23.14566048814	-22.1044578342803	0.0089842031060787	1	0	0	0.0456054042896032	0	0	1	1	1	1	1	1	Charged multivesicular body protein 2b	22897314	CHMP2B	0.297990208709096	0.00945411430471699	0.0101589798444922	0.00780942521817218	-0.141554131306011	R_Bin_1
non-regulated	Tubastatin A:Q969R2	Tubastatin A	Q969R2	-5.27625434881959e-05	0.999087967565634	-0.958421863105938	5282971665951660	5282971665951660		TRUE	0.998068461324463	0.0277998719345269	-23.5983003670265	-22.5570977131668	0.0211786673780693	1	0	0.039098429590878	0.0282841618240728	0	0.0376667796850474	1	0	1	1	0	1	Oxysterol-binding protein 2	66747137	OSBP2	0.502834321051275	0.0194897602490562	0.0213273037224047	0.0210300310077376	-0.137785153409759	R_Bin_1
non-regulated	Tubastatin A:Q9UHL0	Tubastatin A	Q9UHL0	0.00928872495587257	-0.974988090265222	0.999999571896909	652.335171402731	652.335171402731	174708.95364899	TRUE	0.99034711779187	0.0624263842787061	-13.8908212033257	-12.849618549466	0.0263827235584948	1	0	0.105522630089928	0	0	0	1	0	1	0	0	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832775057974749	0.0316624991723968	0.0527653622814918	-1.31305539462501e-05	-0.145872075145427	R_Bin_1
