.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Entinostat:Q9ULN7	Entinostat	Q9ULN7	-6.60631103142463	0.249967626950094	34.7062701300985	998.942451716375	998.942451716375	31.7834983702118	FALSE	0.999279270922201	0.612374191962291	13.5094449101221	14.5506475639819	7.14646131341495	1	0	0	0	17.5382756441741	34.7062613439527	1	0	0	0	1	1	Paraneoplastic antigen-like protein 8B	626965	PNMA8B	0.0410359064181159	0.249967626951157	0.249967626950094	34.7062616593511	6.31846096149388	R_Bin_1
up	Entinostat:O94910	Entinostat	O94910	-5.56301351080682	0.32918849229837	9.49424713447213	75.1890125242966	75.1890125242966	757.977649814044	FALSE	0.906732925302839	2.41754175563669	29.9874006578041	31.0286033116638	4.22236029250776	0	1	0	7.93716875678906	7.14666235901588	11.8418176300826	0	2	0	1	1	1	Adhesion G protein-coupled receptor L1	0	ADGRL1	0	0.500061240623073	0.329188492298371	9.4942471344581	2.44532125669285	R_Bin_1
up, low confidence	Entinostat:Q15746	Entinostat	Q15746	-3.91017352987059	-2.28301438665502e-05	31.6110193751164	2398.83676260184	2398.83676260184	25.023330603114	FALSE	0.999999999984798	7.87934564568201e-05	-93.9897812406505	-92.9485785867907	3.92474468964769	0	0	0	0	1	31.4924691840819	0	0	0	0	1	1	Myosin light chain kinase, smooth muscle	0	MYLK	0	2.28223339480476e-05	-2.2830143866314e-05	31.4924692106897	4.58463845486884	R_Bin_1
non-regulated	Entinostat:Q6UXG2	Entinostat	Q6UXG2	-5.72436059288922	1.26302034687265	9.2967917819729	1336.58820600174	1336.58820600174	35022.0220710212	FALSE	0.820872682021117	2.37269820603073	29.762719506068	30.8039221599278	2.66785102376726	1	0	4.0914060673493	0	2.5456913294182	9.29673102142351	1	0	1	0	2	2	Endosome/lysosome-associated apoptosis and autophagy regulator 1	3029721	ELAPOR1	0.0481671462529714	0.76302034687265	1.26302034687265	9.29671201733392	1.28655208651494	R_Bin_1
non-regulated	Entinostat:P10276;P13631	Entinostat	P10276;P13631	-8.61893265381021	0.410367193957237	565.299923535073	10984.3523384221	10984.3523384221		FALSE	0.999950027722046	0.794091415952137	16.6277057215313	17.668908375391	2.52379016171966	0	0	1	1.04934396176326	0	174.430482996708	0	0	1	1	0	1	Retinoic acid receptor alpha	0	RARA;RARG	0	0.410367496348065	0.410367193957237	174.430477939578	24.9200502555801	R_Bin_1
up	Entinostat:Q86WR7	Entinostat	Q86WR7	-0.477382987297463	0.876612059023366	7.50657152901114	3590.47718531183	3590.47718531183	6575.47499563217	FALSE	0.992189894554651	0.2257518925256	1.53456157131292	2.57576422517265	2.03553398940245	1	0.897964303738314	1.10798849529057	2.101116550132	3.11217881847162	5.00735580076194	1	1	1	1	1	2	Proline and serine-rich protein 2	5036299.8	PROSER2	0.0656824721631428	0.103698873305793	0.920673918727514	4.98630457758001	0.790644302938601	R_Bin_1
up	Entinostat:Q12840	Entinostat	Q12840	-6.08738032414964	0.333355639146507	4.42028507128825	84.2202147360962	84.2202147360962	464.819646178592	FALSE	0.923095832920395	0.949698281497916	18.7750546935174	19.8162573473771	2.02916057140129	1	0	0	3.35724665370857	5.17434886322647	3.66625147057993	1	0	0	1	1	2	Kinesin heavy chain isoform 5A	8645391	KIF5A	0.114600275240836	0.500004753405742	0.333355639146507	4.42028507128729	0.920330017036789	R_Bin_1
non-regulated	Entinostat:O00327	Entinostat	O00327	0.000460495571928031	-0.998993365621177	1.00002451726864	816.401858552408	816.401858552408		TRUE	0.999977349559373	0.00306893454756566	-50.0427119537728	-49.001509299913	0.00126374991263771	1	0	0.00518617106510061	0	0	0	1	0	1	0	0	0	Aryl hydrocarbon receptor nuclear translocator-like protein 1	90371046.5	ARNTL	0.540598023270362	0.0015287022476923	0.00258850946241151	-6.10113892246522e-05	-0.143005319173289	R_Bin_1
non-regulated	Entinostat:Q92539	Entinostat	Q92539	0.00687000682547091	-0.987614019712725	1.00000019939751	191.164281724711	191.164281724711		TRUE	0.999291918485438	0.0170446471689114	-29.4686428704009	-28.4274402165412	0.0123343850255697	1	0.0393018926688939	0	0.0027208339321439	0	0	1	1	0	1	0	0	Phosphatidate phosphatase LPIN2	2248724235	LPIN2	0.949580883272864	0.0112464423470607	0.0319804881768333	-0.00731491836006071	-0.14614813840213	R_Bin_1
non-regulated	Entinostat:O15230	Entinostat	O15230	0.000103310400766897	-0.970978371194416	1.00257325240856	347.354183187074	347.354183187074		TRUE	0.99853797664932	0.0243965808755836	-25.1653614020325	-24.1241587481728	0.0159195935802566	1	0	0.0292841332552608	0.0318488004738612	0	0	1	0	1	1	0	0	Laminin subunit alpha-5	35318104.3333333	LAMA5	0.359064181158514	0.015865716435553	0.0162130125671561	0.0156261745789623	-0.142783866650897	R_Bin_1
non-regulated	Entinostat:Q6P280	Entinostat	Q6P280	-0.000153189513695791	1.05663513648355	-1.01125986870962	262762345480687	262762345480687		TRUE	0.994041107395895	0.0491091511627567	-16.7701325892644	-15.7289299354047	0.0250435524152599	1	0	0.035819049402857	0	0.0297925632956652	0.00999580761589733	1	0	1	0	1	1	Zinc finger protein 529	240851634	ZNF529	0.712998874014763	0.0197721202638377	0.0254994325353262	0.0245876716846452	-0.139898923469611	R_Bin_1
non-regulated	Entinostat:P0C7T5	Entinostat	P0C7T5	0.00931423236942781	-0.974920377050097	0.999999567371546	652.332630092824	652.332630092824	174329.379492794	TRUE	0.990294239190157	0.0625953957483708	-13.858376634531	-12.8171739806713	0.026454166666575	1	0	0.105808334472606	0	0	0	2	0	1	0	0	0	Ataxin-1-like	6461649	ATXN1L	0.0828224696609533	0.0317482572822236	0.0529082469054872	-1.32375966743759e-05	-0.145880238127789	R_Bin_1
non-regulated	Entinostat:A8K855	Entinostat	A8K855	0.000683159346527813	-0.930800766929306	1.00182070711116	660.286982147021	660.286982147021		TRUE	0.96738947512444	0.114233665124814	-6.63972479861884	-5.59852214475911	0.0365129905368876	1	0	0	0.180587819126727	0	0	2	0	0	1	0	0	EF-hand calcium-binding domain-containing protein 7	118150189	EFCAB7	0.585512323282873	0.0372730090718301	0.0384130312324346	0.0346129446717559	-0.137697490882094	R_Bin_1
non-regulated	Entinostat:Q13885;Q9BVA1	Entinostat	Q13885;Q9BVA1	-1.70949350388204e-05	1.00211962526737	-0.928094064745638	1.77798087376505e+23	1.77798087376505e+23		TRUE	0.998986023906895	0.0198232746741734	-27.656396503806	-26.6151938499463	0.0374259098700546	1	0.0398293973395928	0.0258535475761198	0.0197742250106438	0.0393828837890066	0.0554467022152973	2	1	1	1	1	2	Tubulin beta-2A chain	1581228926	TUBB2A;TUBB2B	0.92931314900538	0.0146120235769636	0.0374733961847539	0.0373784235540167	-0.135148152918307	R_Bin_1
non-regulated	Entinostat:O00468	Entinostat	O00468	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Agrin	0	AGRN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O00592	Entinostat	O00592	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Podocalyxin	0	PODXL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O14521	Entinostat	O14521	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	0	SDHD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O14595	Entinostat	O14595	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	0	CTDSP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O60262	Entinostat	O60262	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	0	GNG7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O60507	Entinostat	O60507	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein-tyrosine sulfotransferase 1	0	TPST1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O60667	Entinostat	O60667	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fas apoptotic inhibitory molecule 3	0	FCMR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:O94808	Entinostat	O94808	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	0	GFPT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Entinostat:P00973	Entinostat	P00973	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	2'-5'-oligoadenylate synthase 1	0	OAS1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
