.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Dabrafenib:Q6ZVD8	Dabrafenib	Q6ZVD8	-4.27831785916384	0.249901673638529	19.7326433427829	2070.26567601065	2070.26567601065	19083.9405982142	FALSE	0.997592286310007	0.612381774508562	13.5095934957306	14.5507961495903	2.91692013723543	1	0	0	0	1.07901603607968	19.709590329347	1	0	0	0	1	1	PH domain leucine-rich repeat-containing protein phosphatase 2	6106561	PHLPP2	0.0829342072094782	0.249901674840647	0.249901673638529	19.7095823563588	2.76528570728497	R_Bin_1
up	Dabrafenib:Q15714	Dabrafenib	Q15714	-6.51765458351724	0.330090002128862	4.84867537475633	127.772327780677	127.772327780677	1039.08093839723	FALSE	0.817936790973008	1.68073627492121	25.6251694880613	26.666372141921	2.04144497894539	1	0	0	1.09090502402358	6.42711867976531	3.27021227043421	1	0	0	1	1	1	TSC22 domain family protein 1	1138706.5	TSC22D1	0.0228132089740358	0.500000138867157	0.330090002128862	4.84867537475427	0.906380640442587	R_Bin_1
up, low confidence	Dabrafenib:Q96FJ2	Dabrafenib	Q96FJ2	0.000567637394591706	3.06494369221137	0.982268045465896	626.569326814207	626.569326814207		FALSE	0.806310817068026	0.336422432377395	6.32173397902056	7.36293663288028	2.02272324128093	1	2.05150680853224	2.11119668915832	2.25093071426577	1.68520390250732	2.2496724775285	3	2	3	2	2	3	Dynein light chain 2, cytoplasmic	74599601.8333333	DYNLL2	0.531005797832115	0.226557558183801	2.02102191643857	2.02442456926396	0.151119648419291	R_Bin_1
non-regulated	Dabrafenib:Q5SVS4;O95258	Dabrafenib	Q5SVS4;O95258	-7.04878808763957e-05	0.997604228079141	-0.944125594194522	447537525021891	447537525021891		TRUE	0.998875088494534	0.0210923858949692	-26.911731927613	-25.8705292737532	0.0277754414048579	1	0.0337228054328381	0	0.0339487091325729	0.0309913559171979	0.0327437380894997	1	1	0	2	1	1	Kidney mitochondrial carrier protein 1	116593678.333333	SLC25A30;SLC25A14	0.612049407612806	0.00602092201923816	0.0279724106397216	0.0275784721131428	-0.137443627113339	R_Bin_1
non-regulated	Dabrafenib:Q8IZV5	Dabrafenib	Q8IZV5	0.000605345515465762	-0.925052411043221	0.987267276699899	651.032312285712	651.032312285712		TRUE	0.980081878031438	0.0894245963831357	-9.57792807519366	-8.53672542133393	0.0319827852608502	1	0	0	0.14037018488995	0	0	1	0	0	1	0	0	Retinol dehydrogenase 10	32188998	RDH10	0.376480967985884	0.0326491611378484	0.0336487210817743	0.0303168458975728	-0.138846566146001	R_Bin_1
non-regulated	Dabrafenib:O14810	Dabrafenib	O14810	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complexin-1	0	CPLX1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:O94808	Dabrafenib	O94808	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	0	GFPT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P01903;P01906	Dabrafenib	P01903;P01906	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HLA class II histocompatibility antigen, DR alpha chain	0	HLA-DRA;HLA-DQA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P09629	Dabrafenib	P09629	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Homeobox protein Hox-B7	0	HOXB7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P20339	Dabrafenib	P20339	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras-related protein Rab-5A	0	RAB5A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P31629	Dabrafenib	P31629	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transcription factor HIVEP2	0	HIVEP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P32297	Dabrafenib	P32297	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neuronal acetylcholine receptor subunit alpha-3	0	CHRNA3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dabrafenib:P55895	Dabrafenib	P55895	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	V(D)J recombination-activating protein 2	0	RAG2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
