.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Colchicine:Q9Y236	Colchicine	Q9Y236	-2.44436254720997	0.570645201546856	16.2956503802772	68.6503879920767	68.6503879920767	41.5803105682311	FALSE	0.993672336081045	1.00120673938373	19.4088581548956	20.4500608087553	7.37461973095144	1	0	0.853579386749647	11.8007291607296	17.1358943357686	15.4414673777067	1	0	1	1	1	1	Oxidative stress-induced growth inhibitor 2	2798953	OSGIN2	0.0338158063276547	0.500253840810929	0.570647033046536	16.295569366343	3.84463341913769	R_Bin_1
non-regulated	Colchicine:Q6ZXV5	Colchicine	Q6ZXV5	-4.90718577699354	0.250007022273545	33.5180857825725	2380.00091198441	2380.00091198441	116709.239665851	FALSE	0.999181638720234	0.612373629414512	13.5094338865086	14.5506365403683	4.40103053526627	1	0	0	0	0.715581841210792	33.4890809580343	1	0	0	0	1	1	Protein O-mannosyl-transferase TMTC3	20403247.5	TMTC3	0.246061227103881	0.250007022309744	0.250007022273545	33.4890858420894	4.70263286610868	R_Bin_1
up	Colchicine:Q6UXG2	Colchicine	Q6UXG2	-5.95567533215681	0.325372939370396	6.33368084761755	93.9564382069259	93.9564382069259	169.36110393951	FALSE	0.950034224988492	1.07935228838855	20.3107195515973	21.3519222054571	2.76134287052407	1	0	0	3.8808889354681	7.24558558562979	5.42178115198643	1	0	0	1	1	1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	3029721	ELAPOR1	0.0349686179070065	0.500004822662448	0.325372939370396	6.33368084761247	1.3636157557797	R_Bin_1
up	Colchicine:P53350	Colchicine	P53350	-5.87681310241543	0.916637854175836	3.35093744590573	17.9289558068458	17.9289558068458	34.9209640900027	FALSE	0.992541617538671	0.180876914068996	-1.12487612914971	-0.0836734752899879	2.2537478521705	1	0.833459405272257	0.992719936748571	3.51683279805751	3.33948162029551	3.19640819393129	14	12	16	15	20	18	Serine/threonine-protein kinase PLK1	472878342.166667	PLK1	0.80824900730114	0.0832703496558418	0.916637854175975	3.35093744590573	0.600692013601004	R_Bin_1
up	Colchicine:Q8TF01	Colchicine	Q8TF01	-2.37260991100408	0.85980203654253	3.68631722974249	37.5451379540651	37.5451379540651	18.9916161698955	FALSE	0.991726824629838	0.214291363817834	0.909361890850182	1.95056454470991	2.23092272603503	1	0.717339241479847	0.980183671313634	3.43241934396476	3.84684589810233	3.52636775171851	2	1	1	2	2	4	Arginine/serine-rich protein PNISR	5530540	PNISR	0.0557192263353401	0.141588899202262	0.85980423865426	3.68631225680912	0.699216982888889	R_Bin_1
up	Colchicine:O14965	Colchicine	O14965	-5.14297535150811	0.945613869400024	3.49380060335064	76.0425156463124	76.0425156463124	62.5521792080549	FALSE	0.998500046002365	0.0807100686584116	-10.8083173270027	-9.76711467314292	2.02554545742484	1	0.963522601736531	0.873403660048733	2.99317779705712	3.44621335882565	3.54134414250651	6	5	8	11	13	11	Aurora kinase A	127616112.166667	AURKA	0.589983348277187	0.0475631505486345	0.945613869400028	3.49380060331839	0.636416203451666	R_Bin_1
non-regulated	Colchicine:P05787	Colchicine	P05787	0.000457217774855744	-1.00062451489824	1.00379043951672	692.890983349536	692.890983349536		TRUE	0.999960816334106	0.00403953090373944	-46.7451344676502	-45.7039318137905	0.00229023413276059	1	0	0.00133935727239558	0	0	0	1	0	1	0	0	0	Keratin, type II cytoskeletal 8	559567386	KRT8	0.831305238888177	0.00176268123087564	0.00360911543159137	0.000971351201120685	-0.142895410207783	R_Bin_1
non-regulated	Colchicine:Q92539	Colchicine	Q92539	0.000388891237085597	-1.00261202155835	1.01505296773496	392.440057370404	392.440057370404		TRUE	0.998975906470631	0.0205423592299551	-27.2288086370988	-26.1876059832391	0.00671451071459715	1	0.0290142173655558	0	0	0.000707877402152619	0	1	1	0	0	1	0	Phosphatidate phosphatase LPIN2	2248724235	LPIN2	0.948379659280133	0.00671451089624331	0.00784371489497637	0.00558530570909399	-0.145283400568292	R_Bin_1
non-regulated	Colchicine:Q96FA3	Colchicine	Q96FA3	0.00235641907259663	-0.993545701347127	0.999999986273379	640.488642884327	640.488642884327	643864.947066916	TRUE	0.999379555532967	0.0159972304940536	-30.2296899775706	-29.1884873237109	0.00676010599004609	1	0	0.0270403005040614	0	0	0	1	0	1	0	0	0	E3 ubiquitin-protein ligase pellino homolog 1	11060143	PELI1	0.135135135135135	0.00811218625002141	0.0135202407696579	-2.454266040397e-07	-0.143629722871545	R_Bin_1
non-regulated	Colchicine:Q6P280	Colchicine	Q6P280	3.91452381716979e-05	-1.00072823374877	1.01853489656033	601.792614594531	601.792614594531	23563.7737517071	TRUE	0.997919139860152	0.0290399685336998	-23.0746000583293	-22.0333974044695	0.00896154840298441	1	0.0368196742128339	0.0065750702046492	0	0.0290633268480596	0	1	1	1	0	1	0	Zinc finger protein 529	240851634	ZNF529	0.706033047265275	0.014554414270355	0.0090753026332957	0.0088477941716878	-0.143709831779971	R_Bin_1
