.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	BGT-226:O14966	BGT-226	O14966	-5.61362149823997	0.196460688089269	718.189963506867	6610.327169615	6610.327169615		FALSE	0.999997734515874	0.635372688214701	13.9518635124305	14.9930661662903	27.1098886168135	1	0	0	0	0	654.162980134607	1	0	0	0	0	1	Ras-related protein Rab-7L1	96622	RAB29	0.041529501139529	0.196460709818726	0.196460688089269	654.164029036874	93.3089971620867	R_Bin_1
up	BGT-226:P56749	BGT-226	P56749	-0.559922318327199	1.42884663395634	83.4741737290422	32613.6946736013	32613.6946736013	75694.8179540524	FALSE	0.986464713319017	2.024404518588	27.8576931216052	28.898895775465	6.71460752981981	1	0	3.81249752672454	5.83387292747286	10.5563378556032	29.5655985581187	1	0	1	1	1	1	Claudin-12	8871653	CLDN12	0.134717650037984	1.19761387710633	1.49593124296034	29.3497373197097	5.04338233594718	R_Bin_1
up	BGT-226:Q9Y236	BGT-226	Q9Y236	-0.591499995663126	0.293371194761501	77.0929881364574	27872.5151954098	27872.5151954098	70936.0097743769	FALSE	0.994326206519616	1.26726548731612	22.2367230465394	23.2779257003992	5.19695447925554	1	0	0	4.10002817770186	9.29135594093396	27.4558506815686	1	0	0	1	1	1	Oxidative stress-induced growth inhibitor 2	1894800	OSGIN2	0.0438085591288934	0.566866902404561	0.339532306861773	27.3958770334757	4.69295284023848	R_Bin_1
up	BGT-226:P02774	BGT-226	P02774	-4.24693647268762	1.15590383830844	36.0124089782262	2674.69012183016	2674.69012183016		FALSE	0.99975772434416	0.347947710997336	6.72594921756404	7.76715187142377	5.15385569643627	1	0.840555115309108	1.33102382266947	1.45210529933249	1.68197422632341	35.8840744583803	1	1	1	1	1	2	Vitamin D-binding protein	15407697.6666667	GC	0.229171942263864	0.165511910478136	1.15590383830844	35.8840729146623	5.05902031718878	R_Bin_1
non-regulated	BGT-226:Q16772;P09210;P08263	BGT-226	Q16772;P09210;P08263	-4.62696882402952	0.249998586665135	33.9900842139487	2056.08644752327	2056.08644752327	33795.722120495	FALSE	0.999198905266353	0.61237822579429	13.5095239562759	14.5507266101357	4.88847100929039	1	0	0	0	1.41018062428732	33.9677301068643	1	0	0	0	1	3	Glutathione S-transferase A3	24095245.3333333	GSTA3;GSTA2;GSTA1	0.318055203849076	0.249998586999912	0.249998586665135	33.9677319143764	4.83054835449095	R_Bin_1
up	BGT-226:Q15493	BGT-226	Q15493	-4.0314684965692	1.26493149432187	30.1209435472132	2385.67182449493	2385.67182449493		FALSE	0.999262004713383	0.501887941680026	11.1218451171456	12.1630477710054	4.86094570595448	1	0.932856852244771	1.2941935627541	1.83287166224944	2.10632585157341	30.0318580119772	1	1	1	1	1	2	Regucalcin	8002211.4	RGN	0.120916687769055	0.147096777627806	1.26493149432187	30.0318695813594	4.26338214735335	R_Bin_1
up	BGT-226:P19823	BGT-226	P19823	-4.54685234743489	1.42930264950344	30.6613538179258	2729.84001675179	2729.84001675179		FALSE	0.997458903901283	0.947889266976009	18.7521749261447	19.7933775800044	4.72965365109539	1	0.889095992502698	1.26185926480048	2.56633671148136	1.73005707464243	30.5817597240586	3	2	2	2	2	3	Inter-alpha-trypsin inhibitor heavy chain H2	41524908.6666667	ITIH2	0.417320840719169	0.298373017225682	1.42930264950344	30.5817609291199	4.33531883752552	R_Bin_1
up	BGT-226:P00734	BGT-226	P00734	-8.11193070572529	1.36699569664244	39.5463291314617	4056.07131509675	4056.07131509675		FALSE	0.999614940886303	0.483372040779044	10.6707621997264	11.7119648535861	4.36293606876824	1	1.11393906061038	1.26897422014697	1.70248259454734	1.75008194185326	39.5210671597303	6	5	8	7	7	9	Prothrombin	78550434	F2	0.541909344137756	0.294271766966758	1.36699569664244	39.5210640622006	5.56992208047944	R_Bin_1
up	BGT-226:P02042;P68871;P02100;P69891;P69892	BGT-226	P02042;P68871;P02100;P69891;P69892	-2.0618962509044	1.13339309303451	91.0385641984204	8990.21985947286	8990.21985947286	38011.9099931336	FALSE	0.99994612634824	0.235388880044848	2.03619012670229	3.07739278056201	4.2013282319603	1	0.938362454138154	1.30526758940637	1.30137574527972	2.09104712850135	50.9995207874308	1	1	1	1	1	2	Hemoglobin subunit delta	11334862.5	HBD;HBB;HBE1;HBG1;HBG2	0.175360850848316	0.146478260933912	1.13339309852517	50.9994628570881	7.24147903188906	R_Bin_1
up	BGT-226:O95980	BGT-226	O95980	-4.01107236517838	1.1891923097887	20.975069206623	1915.08402267361	1915.08402267361		FALSE	0.999591209833858	0.25498154946003	2.99561691458564	4.03681956844536	4.03167392098801	1	1.01845444960544	1.35408685566368	1.38400317032689	2.54928910334065	20.9489395249024	2	5	3	5	2	1	Reversion-inducing cysteine-rich protein with Kazal motifs	7820594	RECK	0.118131172448721	0.167816196090671	1.1891923097887	20.9489725084316	2.9819176542966	R_Bin_1
up	BGT-226:P01008	BGT-226	P01008	-4.87529706707279	1.222512327305	21.0442940490234	1999.04758763982	1999.04758763982		FALSE	0.989773452463818	1.29200701501714	22.4687480316937	23.5099506855534	3.99586309019024	1	0	1.34468788187994	2.55653381407677	1.87704076004888	21.0365725290867	2	0	3	3	2	5	Antithrombin-III	29313548.3333333	SERPINC1	0.351101544694859	0.172343940879864	1.222512327305	21.0365622897627	3.05788088165077	R_Bin_1
up	BGT-226:P04004	BGT-226	P04004	-0.916649255583204	0.994696067875867	70.7968827574119	18783.8047696445	18783.8047696445	65340.8843876296	FALSE	0.996464975216179	0.939817232687169	18.6495477413771	19.6907503952368	3.94242083812279	1	1.61596822424623	0	2.06579619717597	5.35241983407632	26.0898670975258	1	1	0	1	2	2	Vitronectin	10540810	VTN	0.161939731577615	0.293160891395048	0.995718543319771	26.0832804882032	3.96355675755129	R_Bin_1
up	BGT-226:P02647	BGT-226	P02647	-1.7864070116457	1.33567968716623	187.708382296857	23572.7395703567	23572.7395703567	208341.501256148	FALSE	0.999041055889047	0.659861172507454	14.405676283313	15.4468789371728	3.11183482354897	1	1.05137614748592	1.1744957919952	2.15306877201151	1.96652105695508	34.4585544481308	2	1	1	1	1	1	Apolipoprotein A-I	145090730.666667	APOA1	0.656875158267916	0.222833233170811	1.3356797342717	34.4583057067932	4.88619371283079	R_Bin_1
up	BGT-226:P00488	BGT-226	P00488	-1.34839458593878	1.33850863421489	50.5559375979792	12601.4660337704	12601.4660337704	36995.5419508259	FALSE	0.999124175698457	0.392422488755083	8.16939110690337	9.21059376076309	3.08192841375516	1	1.16905356073596	1.51936125324107	1.77398914840046	2.86805080364402	22.1450447148738	2	1	1	2	1	3	Coagulation factor XIII A chain	42136720.6666667	F13A1	0.419473284375791	0.173603077818669	1.338515161592	22.1416671524961	3.17362409137864	R_Bin_1
up, low confidence	BGT-226:Q9BVW5	BGT-226	Q9BVW5	-3.16574500622855	-0.000183631947822411	23.6189895333816	2678.10654004062	2678.10654004062	130.630873918988	FALSE	0.999999999141183	0.000436609132162285	-73.4432803577131	-72.4020777038534	2.71437546461997	0	0	0	0	1	23.2598532029398	0	0	0	0	1	1	TIMELESS-interacting protein	0	TIPIN	0	0.000183388364695028	-0.000183631947595482	23.259853259184	3.40855045756283	R_Bin_1
up, low confidence	BGT-226:Q8WZ42	BGT-226	Q8WZ42	-6.78549351131063	1.02444468447462	35.2736728300383	5712.92341160059	5712.92341160059	77828.9723242125	FALSE	0.999875590836252	0.241200799806922	2.32888003436161	3.37008268822133	2.7026517773489	1	1.18283875740998	0.773699754005471	1.18525277873332	0.980682071218241	34.5234425668951	8	7	11	9	12	5	Titin	163346220.333333	TTN	0.676500379842998	0.101203645625916	1.02444468447462	34.5234400323984	4.78349416573223	R_Bin_1
up, low confidence	BGT-226:P12236	BGT-226	P12236	-5.49737687408547	0.833625017498247	14.2236639443579	2056.75504170716	2056.75504170716		FALSE	0.989295973729154	0.895565657325189	18.0707891207119	19.1119917745716	2.67393361656559	1	1.74327148751582	0.60123241167019	0	1.08317378294835	14.2213977786494	1	1	1	0	1	1	ADP/ATP translocase 3	7042903.75	SLC25A6	0.10420359584705	0.199383794166191	0.833625017498247	14.2214199859689	1.81501323908213	R_Bin_1
non-regulated	BGT-226:Q8TCC3	BGT-226	Q8TCC3	-6.70202045231433	1.50229413284035	18.2697138526629	4544.13738604961	4544.13738604961	145646.947280001	FALSE	0.878397726434193	4.00680733991297	36.0503230080021	37.0915256618618	2.65356026208739	1	0	0	6.51069411796853	0	18.1853899420021	1	0	0	1	0	1	39S ribosomal protein L30, mitochondrial	3313168	MRPL30	0.0534312484173208	1.50229413284035	1.50229413284035	18.1852819712564	2.64107553794226	R_Bin_1
up	BGT-226:Q9H4B7	BGT-226	Q9H4B7	-0.965443866532725	0.770003203072911	85.9083895049621	38221.4427063701	38221.4427063701	177194.566861404	FALSE	0.983607355332958	1.49137403656983	24.1907604191357	25.2319630729954	2.62656658387882	1	0	0	2.78546223055091	2.87640132123999	19.1045572013288	1	0	0	2	1	3	Tubulin beta-1 chain	17341708.5	TUBB1	0.252089136490251	0.560187527360258	0.770350514854012	19.0829101244094	2.91249863431185	R_Bin_1
up	BGT-226:P02649	BGT-226	P02649	-1.75213010631877	1.00957458631545	29.6561638014425	7947.23328827865	7947.23328827865	40796.0156950101	FALSE	0.999564064008965	0.229608646590581	1.73783854203754	2.77904119589727	2.30979807050712	1	0.753156918142886	1.18478911230308	1.11766821822205	1.74440436404303	18.1777326246043	1	1	1	1	1	2	Apolipoprotein E	3695781	APOE	0.054570777412003	0.0521289117417906	1.00957466066135	18.1776288684411	2.53700813047545	R_Bin_1
