.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Binimetinib:Q86YN6	Binimetinib	Q86YN6	-5.70305374704191	0.248830701802701	12.3344889179207	1011.87803984805	1011.87803984805	242.595501923734	FALSE	0.994109821133392	0.612379219020232	13.5095434192502	14.5507460731099	2.65429474168627	1	0	0	0	6.08832953415978	12.3345086354969	1	0	0	0	1	1	Peroxisome proliferator-activated receptor gamma coactivator 1-beta	4508019	PPARGC1B	0.0498660885091187	0.248830701824877	0.248830701802701	12.3344633048367	2.14107233657039	R_Bin_1
non-regulated	Binimetinib:Q8ND30	Binimetinib	Q8ND30	0.00316988342520665	-0.998584134120618	1.00000000293208	639.610085191988	639.610085191988	10.0000000125533	TRUE	0.999839276180369	0.00815488006504674	-38.3152789866904	-37.2740763328307	0.00547028202351717	1	0.0182346218822209	0	0	0	0	1	1	0	0	0	0	Liprin-beta-2	12591752	PPFIBP2	0.159035837265655	0.00547039835673457	0.0145867567615131	-0.00364672114052877	-0.144420110447048	R_Bin_1
non-regulated	Binimetinib:Q9BYB0	Binimetinib	Q9BYB0	0.000294664985299106	-0.977515883626694	0.993391141170173	663.479703220076	663.479703220076	14677.8265403702	TRUE	0.993967418250365	0.0495194208725292	-16.6702981333387	-15.629095479479	0.00837952985198459	1	0	0	0	0	0.0752138659040932	1	0	0	0	0	1	SH3 and multiple ankyrin repeat domains protein 3	392602578	SHANK3	0.784211197551333	0.00871384057409497	0.00921530619505806	0.00754375308518462	-0.132112304870844	R_Bin_1
non-regulated	Binimetinib:Q9Y548	Binimetinib	Q9Y548	0.000598803929722487	-0.97868397356541	1.00521617358676	2152.23555456753	2152.23555456753		TRUE	0.999841311553763	0.00803201814978196	-38.497447463628	-37.4562448097683	0.0145195177654615	1	0.00941810585233652	0.0090550822100416	0.0155018323655301	0.0102436083075122	0.0170813101591552	1	1	1	1	1	1	Protein YIPF1	1043224297.5	YIPF1	0.89376355056753	0.00503888661156084	0.0162291330961087	0.0128098974715526	-0.140162005476663	R_Bin_1
non-regulated	Binimetinib:Q9UBS9	Binimetinib	Q9UBS9	0.00558744651697738	-0.984834244569432	0.999999914760986	648.244332650684	648.244332650684	286481.794441756	TRUE	0.996503468705036	0.0377575095103555	-19.9244647351392	-18.8832620812795	0.0159560624833404	1	0	0.0638224475701812	0	0	0	1	0	1	0	0	0	SUN domain-containing ossification factor	87255854	SUCO	0.523530161969137	0.0191479842674586	0.0319121232021424	-2.88452304764153e-06	-0.144680641359148	R_Bin_1
non-regulated	Binimetinib:Q99611	Binimetinib	Q99611	0.00471687571698232	-0.976844912053383	0.999999956835871	577.432176910449	577.432176910449	211999.373852041	TRUE	0.997563363704562	0.0314079782471053	-22.1339339958823	-21.0927313420226	0.0183482731747324	1	0	0.0536627235372593	0.024660872296005	0	0	1	0	1	1	0	0	Selenide, water dikinase 2	186108356	SEPHS2	0.662415508225992	0.0183482400511665	0.031765067114106	0.00492981585623542	-0.143685767178322	R_Bin_1
non-regulated	Binimetinib:Q05469	Binimetinib	Q05469	0.0137705952767904	-0.994952538596779	1.00000129998956	693.646462756572	693.646462756572		TRUE	0.996917325260057	0.0353814372405568	-20.7044296047207	-19.663226950861	0.0237188246828059	1	0.0790946048462367	0	0	0	0	1	1	0	0	0	0	Hormone-sensitive lipase	48441560.5	LIPE	0.406963397525826	0.0237285894342213	0.0631930959989757	-0.0157997785466029	-0.149636680415392	R_Bin_1
non-regulated	Binimetinib:O75054	Binimetinib	O75054	0.0166366018760147	-0.994415468764544	1.00000284118699	715.926889444364	715.926889444364		TRUE	0.995483397155114	0.042745462171378	-18.4355208346692	-17.3943181808095	0.0286463108948813	1	0.0955447952619096	0	0	0	0	1	1	0	0	0	0	Immunoglobulin superfamily member 3	50805330	IGSF3	0.416528504017345	0.0286636902945433	0.0762887161394806	-0.0190749768994379	-0.151046696736735	R_Bin_1
non-regulated	Binimetinib:P49459	Binimetinib	P49459	0.0102294967272376	-0.972602877155891	0.999996622190542	658.581973863778	658.581973863778	137916.575428578	TRUE	0.988308871615352	0.0686353266023027	-12.7529889284261	-11.7117862745664	0.0290079162552941	1	0	0.116018591862081	0	0	0	1	0	1	0	0	0	Ubiquitin-conjugating enzyme E2 A	12895015.5	UBE2A	0.163116949368703	0.0348153113876459	0.0580231765396551	-2.50262307130988e-05	-0.146171959767488	R_Bin_1
non-regulated	Binimetinib:Q8N8J7	Binimetinib	Q8N8J7	-1.70178361322526e-05	0.999581511929803	-0.943985239562926	3.06590232948199e+68	3.06590232948199e+68		TRUE	0.996410261445526	0.0376522648348428	-19.9579600462471	-18.9167573923874	0.0290735376468716	1	0.0413627848498833	0	0.0415247615133409	0	0.0580118208913356	1	2	0	2	0	1	Uncharacterized protein FAM241A	92338424	FAM241A	0.53539089401862	0.0290154302669657	0.0291211367464631	0.0290259385432015	-0.136928699673704	R_Bin_1
