.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Staurosporine:P01023	Staurosporine	P01023	-6.24705864506245	1.65269723098794	115.600780186247	7492.83091714206	7492.83091714206	93888.845815176	FALSE	0.994988307540948	4.48162947436541	37.3942264396196	38.4354290934794	4.76029506861015	1	7.26949998062164	0	0	0	99.4808213229248	1	1	1	0	0	1	Alpha-2-macroglobulin	4703274.5	A2M	0.0644233174881161	1.65269723109877	1.65269723098794	99.4806433424833	13.4455887620788	R_Bin_1
up	Staurosporine:Q8N8R5	Staurosporine	Q8N8R5	0.0146045484359712	5.97535643918373	0.999995196264202	811.228549958825	811.228549958825		FALSE	0.99408420474607	0.122195653826126	-5.83119557478967	-4.78999292092994	3.42877969816269	1	3.29044140743672	3.43452295195459	3.51688497636798	3.57914697400549	3.42736113301755	2	1	1	1	1	1	UPF0565 protein C2orf69	72075052.5	C2orf69	0.522266700025019	0.0816590677057376	3.32439873246176	3.53329920059005	0.37386526826307	R_Bin_1
up	Staurosporine:Q9BQE3	Staurosporine	Q9BQE3	0.0280504886854539	5.28629678751149	0.999927914209711	708.965471893201	708.965471893201		FALSE	0.93794025142529	0.3483739575276	6.74064058574415	7.78184323960388	3.04989335551225	1	2.73080951180036	3.29980601935939	3.23421001326054	2.85848178874499	3.29849654460734	3	2	2	2	2	2	Tubulin alpha-1C chain	178070299.5	TUBA1C	0.678508881661246	0.250093511003638	2.87796557949948	3.22262715585669	0.337425815650621	R_Bin_1
up	Staurosporine:P36402;Q9HCS4	Staurosporine	P36402;Q9HCS4	0.000262853984387015	4.93537456628597	1.14924663733324	377446.511566064	377446.511566064		FALSE	0.804637398838657	0.650591094164	14.2358985683431	15.2771012222028	3.03997504437061	1	3.15095347773044	3.4980365270326	3.24563910792033	2.2936029474078	3.07513735109164	3	1	1	1	2	2	Transcription factor 7	83187729.8333333	TCF7;TCF7L1	0.546409807355517	0.331862773498158	3.03854284149741	3.04140724902589	0.215749649867943	R_Bin_1
up	Staurosporine:Q8WVD3	Staurosporine	Q8WVD3	0.00761107049940086	4.91161927667269	0.999994126372489	589.025084409096	589.025084409096		FALSE	0.951627923849702	0.282843791974263	4.24005994594186	5.28126259980159	2.93404360301688	1	2.73432385432266	2.94748881308348	3.19706347363581	3.0806185772366	2.75355214292721	2	1	1	1	1	1	E3 ubiquitin-protein ligase RNF138	26532469.6666667	RNF138	0.331748811608707	0.198674447510697	2.89121786212066	2.97688326151772	0.287320558398006	R_Bin_1
up	Staurosporine:Q9H6Q4	Staurosporine	Q9H6Q4	0.00179945576056733	4.80941622345581	1.00000007849558	662.208479145848	662.208479145848	3487430.69085036	FALSE	0.978301427768778	0.182799088309552	-0.998025275494909	0.0431773783648168	2.89949558688396	1	3.00391755994486	2.84493003754873	2.83421309699279	2.75634812710594	3.06793491481259	5	3	1	3	2	4	Cytosolic iron-sulfur assembly component 3	55322011.1666667	CIAO3	0.470602952214161	0.129703628621537	2.88963088286064	2.90936047729973	0.273892838142578	R_Bin_1
non-regulated	Staurosporine:Q9HBL7	Staurosporine	Q9HBL7	-13.2293687551635	0.250043927735803	6.86958130870239	294.246646537271	294.246646537271	17347.5445798778	FALSE	0.9736181171422	0.889705647861468	17.9920107681876	19.0332134220473	2.2775846375816	1	0	0	0	7.5150514314194	6.2241994779167	1	0	0	0	1	1	Plasminogen receptor (KT)	5023152	PLGRKT	0.0709281961471103	0.447714963942694	0.250043927735803	6.86958130870239	1.39046147668119	R_Bin_1
up	Staurosporine:Q07890	Staurosporine	Q07890	-3.47317793700629	0.997155641536259	2.47968657971336	1.30671201632357	1.30671201632357	1.79960762127054	FALSE	0.838894793579057	0.464231347503464	10.1859189255279	11.2271215793876	2.14864538755886	1	1.41485082192113	2.57873506582419	2.03440676319613	2.93814438152661	2.36792830771719	1	1	1	1	3	3	Son of sevenless homolog 2	4368420	SOS2	0.058919189392044	0.106034248467719	0.997352545623149	2.47968657971331	0.310434111850695	R_Bin_1
up, low confidence	Staurosporine:Q96HY6	Staurosporine	Q96HY6	0.00400034803207403	3.20612741072978	0.999999963791861	683.94347000101	683.94347000101		FALSE	0.98672204177406	0.0822897203987114	-10.5757229849201	-9.53452033106036	2.09628185192554	1	2.06025235350351	2.08190523095149	2.19863854635914	2.05340135146084	2.09991149315	4	2	3	4	4	2	DDRGK domain-containing protein 1	262406637.666667	DDRGK1	0.738804103077308	0.0394550233044895	2.08358289699148	2.10898200526234	0.159878222143704	R_Bin_1
non-regulated	Staurosporine:Q8IYB4	Staurosporine	Q8IYB4	0.000430973662332651	-1.01649638552786	1.01647040600712	692.859943404046	692.859943404046		TRUE	0.999656265012791	0.0119585530539792	-33.7213162260604	-32.6801135722007	0.000663171625050998	1	0	0	0.003805151354909	0	0	1	0	0	1	0	0	PEX5-related protein	12781330.6666667	PEX5L	0.204403302476858	0.00116752691148181	0.00192405833488229	-0.000597716471706367	-0.142748424247003	R_Bin_1
non-regulated	Staurosporine:Q562R1	Staurosporine	Q562R1	0.000556708681206631	-0.992181065956477	0.998409388183191	3562.63234277461	3562.63234277461		TRUE	0.999912043518414	0.00605105342411511	-41.8958888163085	-40.8546861624487	0.00442302315955822	1	0	0.00117379379765459	0.00110204713608655	0	0	1	0	1	1	0	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989116837628221	0.0035171678509332	0.00601781455610229	0.00282822728328336	-0.142859192761759	R_Bin_1
non-regulated	Staurosporine:Q8TCT8	Staurosporine	Q8TCT8	0.00232368019290672	-0.993635053869502	0.999999986136724	640.482478954168	640.482478954168	543508.972006796	TRUE	0.99939669924155	0.0157757030385713	-30.3970256464403	-29.3558229925806	0.00666649135689844	1	0	0.0266658488856311	0	0	0	1	0	1	0	0	0	Signal peptide peptidase-like 2A	99117838.6666667	SPPL2A	0.573555166374781	0.00799984643105212	0.0133330111512799	-2.36178813395327e-07	-0.143619024253875	R_Bin_1
non-regulated	Staurosporine:Q9H3H5	Staurosporine	Q9H3H5	0.000654314134915335	-0.97448898762072	1.00191553836797	652.90011643538	652.90011643538		TRUE	0.994928395846873	0.045424698572503	-17.7060055926931	-16.6648029388334	0.0146920716752452	1	0	0	0.07174252221859	0	0	1	0	0	1	0	0	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	3325300	DPAGT1	0.0432824618463848	0.0154364908307168	0.0165531145076178	0.0128310242151505	-0.14080735650804	R_Bin_1
non-regulated	Staurosporine:Q6ZYL4	Staurosporine	Q6ZYL4	0.00809417043425727	-0.978260135653134	0.999999559601796	660.462420420153	660.462420420153	166930.641528352	TRUE	0.992662409395007	0.054503317462066	-15.5195384870351	-14.4783358331754	0.0230325471682154	1	0	0.0921292720113698	0	0	0	1	0	1	0	0	0	General transcription factor IIH subunit 5	8641215	GTF2H5	0.137603202401801	0.0276410284314936	0.0460641523013681	-7.85440936612591e-06	-0.145489407771753	R_Bin_1
non-regulated	Staurosporine:Q13352	Staurosporine	Q13352	0.00902838913209906	-0.975677951222947	0.999999615422439	652.245823973207	652.245823973207	179482.27808221	TRUE	0.990878727406226	0.060700575498571	-14.227239186582	-13.1860365327223	0.0256532113896743	1	0	0.102605254436115	0	0	0	1	0	1	0	0	0	Centromere protein R	45062432	ITGB3BP	0.430572929697273	0.0307868230816998	0.0513063526323552	-1.20691779609272e-05	-0.145788721555318	R_Bin_1
non-regulated	Staurosporine:Q9NRP0	Staurosporine	Q9NRP0	0.000403482251656961	-0.932683797021727	0.985223499425087	672.600985247581	672.600985247581		TRUE	0.989500344699477	0.0651409044107365	-13.3800451288923	-12.3388424750326	0.0268613123976532	1	0	0	0.100312792606031	0	0	1	0	0	1	0	0	Oligosaccharyltransferase complex subunit	83994132	OSTC	0.5479109331999	0.0273067712854833	0.0279749584589325	0.0257476652730198	-0.139991063068399	R_Bin_1
non-regulated	Staurosporine:Q5M775	Staurosporine	Q5M775	0.00998876789281486	-0.973269706146423	0.999999265994145	661.604724093773	661.604724093773	165669.683037094	TRUE	0.988843106621855	0.06706452290115	-13.0308151229738	-11.9896124691141	0.0283433962516078	1	0	0.113363202115822	0	0	0	1	0	2	0	0	1	Cytospin-B	21291111	SPECC1	0.297097823367526	0.0340160729666386	0.0566865290304539	-1.62307279758522e-05	-0.146096091489023	R_Bin_1
non-regulated	Staurosporine:P35555;P35556	Staurosporine	P35555;P35556	0.0099260266613589	-0.961426728140461	0.999999886110082	422.849279292877	422.849279292877	87350.4536970548	TRUE	0.999269266949354	0.017009881646544	-29.4931439530968	-28.4519412992371	0.0319040125314991	1	0.0400134945284664	0.0569730130522092	0.0155778083686579	0.012937388801088	0.00601097491700555	2	4	1	1	3	1	Fibrillin-1	1475210463.16667	FBN1;FBN2	0.92694520890668	0.00971169317296085	0.0599032883631733	0.00389101563096006	-0.145501961350876	R_Bin_1
non-regulated	Staurosporine:O00458	Staurosporine	O00458	0.00602376956350447	-0.944374923884321	1.00000392285184	464.468477227668	464.468477227668	135541.910337143	TRUE	0.990190823652203	0.0621889420709946	-13.9365508904227	-12.895348236563	0.035681451440116	1	0	0.0673824868998407	0.0941745841606503	0	0	1	0	1	1	0	0	Interferon-related developmental regulator 1	2197855	IFRD1	0.0295221416062047	0.0370615943603117	0.0525327115418162	0.0188270395494454	-0.142091654363977	R_Bin_1
non-regulated	Staurosporine:O75586	Staurosporine	O75586	0.0218225535212296	-0.99265487848724	1.00000631921246	716.295719226869	716.295719226869		TRUE	0.992190257214026	0.0560542205695795	-15.1828439740184	-14.1416413201587	0.0375387423201739	1	0.125257670830707	0	0	0	0	2	1	0	0	0	0	Mediator of RNA polymerase II transcription subunit 6	29245222.6666667	MED6	0.349011758819114	0.0375778843149431	0.0998755786490331	-0.0249756518265224	-0.153593514642632	R_Bin_1
non-regulated	Staurosporine:O76013;Q6A162;O76015;O76014	Staurosporine	O76013;Q6A162;O76015;O76014	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type I cuticular Ha6	0	KRT36;KRT40;KRT38;KRT37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:P04156	Staurosporine	P04156	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Major prion protein	0	PRNP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:P04733	Staurosporine	P04733	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Metallothionein-1F	0	MT1F	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:P16035	Staurosporine	P16035	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Metalloproteinase inhibitor 2	0	TIMP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:P48378	Staurosporine	P48378	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	DNA-binding protein RFX2	0	RFX2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q14449	Staurosporine	Q14449	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Growth factor receptor-bound protein 14	0	GRB14	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q15038	Staurosporine	Q15038	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	DAZ-associated protein 2	0	DAZAP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q15714	Staurosporine	Q15714	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	TSC22 domain family protein 1	0	TSC22D1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q2TAC2	Staurosporine	Q2TAC2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Coiled-coil domain-containing protein 57	0	CCDC57	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q5QGS0	Staurosporine	Q5QGS0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neurite extension and migration factor	0	NEXMIF	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q6ZMD2	Staurosporine	Q6ZMD2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Protein spinster homolog 3	0	SPNS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q92478	Staurosporine	Q92478	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	C-type lectin domain family 2 member B	0	CLEC2B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q96GM1	Staurosporine	Q96GM1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Phospholipid phosphatase-related protein type 2	0	PLPPR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q96MI6	Staurosporine	Q96MI6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein phosphatase 1M	0	PPM1M	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q96S21	Staurosporine	Q96S21	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras-related protein Rab-40C	0	RAB40C	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q9HAB3	Staurosporine	Q9HAB3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Solute carrier family 52, riboflavin transporter, member 2	0	SLC52A2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q9NRR6	Staurosporine	Q9NRR6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Phosphatidylinositol polyphosphate 5-phosphatase type IV	0	INPP5E	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q9NS23	Staurosporine	Q9NS23	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras association domain-containing protein 1	0	RASSF1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Staurosporine:Q9Y4D7	Staurosporine	Q9Y4D7	0.0236375129740209	-0.991935073290652	1.00001137798768	713.290339058498	713.290339058498		TRUE	0.990825323970111	0.0607099849080522	-14.2253791685799	-13.1841765147201	0.0406442501190265	1	0.135645908777931	0	0	0	0	1	2	0	0	0	0	Plexin-D1	123672746	PLXND1	0.614711033274956	0.0406938799584617	0.108096376433593	-0.0270329561051497	-0.154483935038108	R_Bin_1
up	Staurosporine:P16104;Q96QV6;Q8IUE6	Staurosporine	P16104;Q96QV6;Q8IUE6	0.0239610351139477	2.99423987952277	0.999998042908133	770.103727890995	770.103727890995	100629.744652442	FALSE	0.921725574145549	0.183858316248928	-0.928692047940936	0.112510605918789	1.95905836184862	1	1.92525971184885	1.92612877777536	2.09042755451454	1.79280276829642	2.12925503839233	2	1	1	1	1	1	Histone H2AX	25544699.75	H2AX;H2AC1;H2AC21	0.325994495871904	0.109604058242037	1.89062042499704	2.02773673199845	0.154662946801244	R_Bin_1
non-regulated	Staurosporine:P01733;A0A0B4J2E0	Staurosporine	P01733;A0A0B4J2E0	0.0146106597335831	-0.962480443944703	0.999997370153644	724.819543891563	724.819543891563	123945.260880585	TRUE	0.976287738395584	0.0974535271740303	-8.54616989515182	-7.50496724129209	0.041192681614258	1	0	0.164737563775539	0	0	0	1	0	1	0	0	0	T cell receptor beta variable 12-3	17878873	TRBV12-3;TRBV12-4	0.265824368276207	0.0494439083109267	0.0823843236212658	-5.17767793597468e-05	-0.147563930393587	R_Bin_1
non-regulated	Staurosporine:Q96K21	Staurosporine	Q96K21	0.00452820342650983	-0.927985380016086	0.99999984594227	1294.85361312051	1294.85361312051	184751.04955285	TRUE	0.999509594010614	0.0137056108856008	-32.0850137029978	-31.0438110491381	0.044108911174638	1	0.0597613556704185	0.0359213861243607	0.0353833299376451	0.0486535338170137	0.0282673718156894	2	3	1	2	1	2	Abscission/NoCut checkpoint regulator	446980269.166667	ZFYVE19	0.816987740805604	0.00940767140730374	0.0566703204194372	0.0315456676523793	-0.139786418933385	R_Bin_1
non-regulated	Staurosporine:Q9H6S3	Staurosporine	Q9H6S3	0.0270326105446652	-0.990658808967222	1.00001966226053	710.931945509407	710.931945509407		TRUE	0.987976819248747	0.0694217800360931	-12.6162695153924	-11.5750668615326	0.0464477041656526	1	0.155073953316797	0	0	0	0	1	1	0	0	0	0	Epidermal growth factor receptor kinase substrate 8-like protein 2	63301515	EPS8L2	0.497247935951964	0.0465217236909435	0.123431694314074	-0.0308718116469611	-0.156149195998583	R_Bin_1
non-regulated	Staurosporine:Q9HBG7	Staurosporine	Q9HBG7	0.0158966559733182	-0.951464967941926	0.999998410033781	695.835095483969	695.835095483969	9.99999999772811	TRUE	0.989037127611538	0.0654238629624167	-13.3280325070436	-12.2868298531839	0.0482190634069322	1	0.0892278707897725	0	0.107262368172374	0	0	1	2	0	1	0	0	T-lymphocyte surface antigen Ly-9	99523861	LY9	0.574681010758069	0.0393055911700303	0.0927715769907447	0.00359981121543063	-0.147440606977056	R_Bin_1
non-regulated	Staurosporine:Q86WH2	Staurosporine	Q86WH2	0.000423509281640897	-0.900507232512495	0.999992800501497	659.359047618085	659.359047618085		TRUE	0.936578219645177	0.159501356911355	-2.63404818155871	-1.59284552769898	0.0503539668878738	1	0	0	0.252187238150736	0	0	1	0	0	1	0	0	Ras association domain-containing protein 3	28965832	RASSF3	0.346634976232174	0.0508172925823329	0.0515122798026489	0.0491956527625012	-0.135651793195693	R_Bin_1
