.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Temsirolimus:P16415	Temsirolimus	P16415	-5.90990955802513	0.249482748267495	67.9889061676149	808.310534968662	808.310534968662	816.493513338579	FALSE	0.999848511113062	0.612432628897989	13.5105899776005	14.5517926314602	15.0533003154032	1	0	0	0	52.9932863880639	67.9888467497496	1	0	0	0	1	2	Zinc finger protein 823	195955	ZNF823	0.0348125478194338	0.249482748447879	0.249482748267495	67.9888824687504	14.1121169403697	R_Bin_1
up	Temsirolimus:Q53EL6	Temsirolimus	Q53EL6	-0.50782198838581	0.992603599053535	3.05449513128499	3.31150188394338	3.31150188394338	1.25099428450823	FALSE	0.995156668672909	0.0879613069208704	-9.77591305075715	-8.73471039689743	2.37850828097675	1	1.6829160612895	2.37418325374043	2.69927733681679	2.88899866498185	3.08307292783707	6	7	7	8	8	9	Programmed cell death protein 4	302917780.666667	PDCD4	0.742030094363683	0.0605864185636018	1.29081115774308	3.01984556779467	0.410248758095393	R_Bin_1
non-regulated	Temsirolimus:Q07352	Temsirolimus	Q07352	0.00691217328176189	-0.981321005206641	0.999999843245601	652.55783656871	652.55783656871	208903.622604668	TRUE	0.99464816341863	0.0466206890993809	-17.3941443588595	-16.3529417049998	0.0197016168221865	1	0	0.0788044982648369	0	0	0	1	0	1	0	0	0	mRNA decay activator protein ZFP36L1	94046638	ZFP36L1	0.538638102524866	0.0236432673360654	0.0394031528668262	-5.38505951219737e-06	-0.145108699950424	R_Bin_1
non-regulated	Temsirolimus:Q86YN6	Temsirolimus	Q86YN6	0.0120271008265682	-0.994890314410792	1.00000340469601	653.781654163981	653.781654163981		TRUE	0.997655548251534	0.0308954105420721	-22.3313855744852	-21.2901829206254	0.0207151966223394	1	0.0690707933877077	0	0	0	0	1	1	0	0	0	0	Peroxisome proliferator-activated receptor gamma coactivator 1-beta	47578148	PPARGC1B	0.410354501402703	0.0207215794109754	0.0552038832403231	-0.0138024715785916	-0.148777496576089	R_Bin_1
non-regulated	Temsirolimus:Q6PD74	Temsirolimus	Q6PD74	0.000371101315973871	-0.944259670473923	0.999992721390682	651.11329706752	651.11329706752		TRUE	0.979744266356567	0.0901673009711192	-9.47867520247565	-8.43747254861593	0.0284121356364946	1	0	0	0.142557391876127	0	0	1	0	0	1	0	0	Alpha- and gamma-adaptin-binding protein p34	306443175	AAGAB	0.744197908696761	0.0288274727473056	0.0294504775066206	0.0273737929365742	-0.138784074517825	R_Bin_1
non-regulated	Temsirolimus:Q6IQ22	Temsirolimus	Q6IQ22	0.000188565433399142	-0.928239903307171	0.996705828067182	652.094329265299	652.094329265299		TRUE	0.973115704786353	0.103770175976537	-7.79253404581911	-6.75133139195939	0.0345075836486109	1	0	0	0.163982872229394	0	0	1	0	0	1	0	0	Ras-related protein Rab-12	112175228	RAB12	0.571792909971946	0.0347165306997808	0.0350299511586977	0.0339852160306892	-0.138171917936303	R_Bin_1
non-regulated	Temsirolimus:A6NHQ4	Temsirolimus	A6NHQ4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Elongin BC and Polycomb repressive complex 2-associated protein	0	EPOP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Temsirolimus:C9JVW0	Temsirolimus	C9JVW0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative transmembrane protein INAFM1	0	INAFM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Temsirolimus:O14595	Temsirolimus	O14595	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	0	CTDSP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Temsirolimus:O75072	Temsirolimus	O75072	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fukutin	0	FKTN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
