.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Fimepinostat:P52943	Fimepinostat	P52943	-5.91997727337374	0.492248335788557	7.71050187597787	9.81150512947594	9.81150512947594	5.00545923001196	FALSE	0.963553686120416	1.08822152698067	20.4089228573727	21.4501255112324	4.83498459404478	1	0	4.3044711659	8.2958188103183	8.24075311518557	6.59490738157665	1	0	1	1	1	1	Cysteine-rich protein 2	6656978.5	CRIP2	0.0873395419078782	0.519001451708394	0.492248335800236	7.71050187597787	1.61966125422452	R_Bin_1
up	Fimepinostat:O14782	Fimepinostat	O14782	-4.88101573178965	0.249807099452713	23.8692852303377	1179.44269050864	1179.44269050864	1927.20385123811	FALSE	0.998342467019662	0.612400827734158	13.509966849674	14.5511695035337	4.6366056892034	1	0	0	0	7.54440993547915	23.8684373067996	1	0	0	0	1	1	Kinesin-like protein KIF3C	2300805	KIF3C	0.0464384596023156	0.249807100365478	0.249807099452713	23.8685900498357	3.91358332401244	R_Bin_1
up	Fimepinostat:Q96CV9	Fimepinostat	Q96CV9	-2.73863217526292	1.35043237884453	5.23415586786634	9.40988322582498	9.40988322582498	7.57340225035277	FALSE	0.952021123198327	0.675074779116729	14.6792042881591	15.7204069420188	3.70110253407971	1	1.71208108722883	3.44731434912249	5.74097924026525	5.34758845904555	4.61130435151637	1	2	4	5	4	4	Optineurin	5914038.33333333	OPTN	0.0752579914422351	0.351869943796509	1.35044766595164	5.23415584786732	0.893048821833565	R_Bin_1
up	Fimepinostat:P02545	Fimepinostat	P02545	-4.80695782239408	1.00507385258989	5.48535962232558	10.3935406276856	10.3935406276856	6.26573562474854	FALSE	0.917387175350158	1.04911549257066	19.9697550661874	21.0109577200471	3.67813765998181	1	1.0102015018892	3.0379752938624	5.98744178251902	6.18897082824253	4.27954227283746	3	3	11	14	13	11	Prelamin-A/C	36368050.1666667	LMNA	0.368487289202114	0.253620068974906	1.00507385349522	5.48535962232556	0.996671023768683	R_Bin_1
up	Fimepinostat:P53814	Fimepinostat	P53814	-7.664799240802	1.13794339285589	4.94921288772171	29.7921260840236	29.7921260840236	368.778097150339	FALSE	0.831538877084515	1.48547760285478	24.1432220761559	25.1844247300156	3.06331542749658	1	1.41148102880587	1.00309076281661	5.30555629701327	6.20447537000234	3.33735252510922	2	1	4	7	9	7	Smoothelin	24997790.6	SMTN	0.298892524540649	0.315117979463792	1.13794339285589	4.94921288772171	0.867663176666633	R_Bin_1
non-regulated	Fimepinostat:P07305	Fimepinostat	P07305	-13.6163844907918	0.24945680113277	8.27364180825733	236.798154133768	236.798154133768	8809.2987728319	FALSE	0.977199177811176	1.000723312436	19.4030626242473	20.444265278107	2.85859522605687	1	0	0	0	9.06519842477027	7.48225111711045	1	0	0	0	1	1	Histone H1.0	3893734	H1-0	0.0557513214195822	0.500032039698365	0.24945680113277	8.27364180825733	1.70305288171037	R_Bin_1
up	Fimepinostat:P17600;Q92777	Fimepinostat	P17600;Q92777	-3.55132350859077	1.62186163805854	3.88528632411654	19.4881292587441	19.4881292587441	52.2587605044177	FALSE	0.81107569342334	0.919953518347056	18.3932004075731	19.4344030614328	2.84872283668902	1	2.2517060868025	1.80636934249466	4.01240339370095	4.4841690760569	3.15548196785003	1	1	5	5	7	5	Synapsin-1	14618615.6666667	SYN1;SYN2	0.19720614145482	0.610373158692061	1.62186165477143	3.88528632357968	0.562309510234847	R_Bin_1
up	Fimepinostat:Q99574	Fimepinostat	Q99574	-1.1499891124884	0.507161972670923	5.09878484683546	44.605251117663	44.605251117663	27.7681754874864	FALSE	0.969244593456355	0.614119902154793	13.5436049383798	14.5848075922395	2.66619042451285	1	0	1.255014759505	3.8404340963836	4.64810399885957	5.37632563235437	1	0	1	1	2	2	Neuroserpin	4588605	SERPINI1	0.0619179461364208	0.306166245452729	0.511281158499079	5.08970818130512	1.0974674141494	R_Bin_1
up	Fimepinostat:Q9H0Q0	Fimepinostat	Q9H0Q0	-7.92463783211335	0.941236521977929	3.29531622518029	2.79155095406141	2.79155095406141	30.9883937184344	FALSE	0.855657150172263	0.78930711887991	16.5551886156717	17.5963912695314	2.61448984540779	1	0.883133648529847	3.71976331616168	3.26693509530804	3.79698881531208	2.3973271281526	1	1	3	2	3	2	CYFIP-related Rac1 interactor A	10587617.6666667	CYRIA	0.145985401459854	0.2416675142702	0.941236521986133	3.29531622518029	0.43643922629303	R_Bin_1
up	Fimepinostat:Q13268	Fimepinostat	Q13268	-5.29580239245672	-0.00244401286829265	4.26652487284365	12.4992276478883	12.4992276478883	10.7696834198589	FALSE	0.997428873473662	0.175406197434178	-1.49342438565409	-0.452221731794367	2.47615024217957	0	0	1	4.45420395589806	4.10688885246702	4.23843183653156	0	0	1	2	3	3	Dehydrogenase/reductase SDR family member 2, mitochondrial	0	DHRS2	0	0.0152685245734175	-0.0024440128347464	4.26652487284365	1.05620084845591	R_Bin_1
up	Fimepinostat:Q9UQB8	Fimepinostat	Q9UQB8	-2.02935884923212	1.06396929776785	3.9343639626075	41.1984669342856	41.1984669342856	40.044789075542	FALSE	0.959491559674663	0.479901235931457	10.5842865558575	11.6254892097173	2.43323018917588	1	1.11784428048734	1.23081186146436	3.51525708196658	4.41111971246074	3.46323677198485	1	1	4	8	6	5	Brain-specific angiogenesis inhibitor 1-associated protein 2	49676394	BAIAP2	0.425748804429902	0.0581715052314745	1.06398346899503	3.93432249842532	0.699441582181333	R_Bin_1
up	Fimepinostat:Q14764	Fimepinostat	Q14764	-4.49002313557617	0.926099452525947	3.5306266122737	13.8906954678179	13.8906954678179	46.9916805522438	FALSE	0.844545362618032	0.915567416725791	18.3358506725426	19.3770533264023	2.41443283264942	1	0.852194785523094	1.41055761011202	3.71873423192004	4.3342595249088	2.53853178009113	2	4	7	9	10	8	Major vault protein	25569060.2	MVP	0.302668009061163	0.131200045352697	0.926099453149465	3.53062661227331	0.584200849726308	R_Bin_1
up	Fimepinostat:P04183	Fimepinostat	P04183	-1.41569406418869	1.04268501093538	3.77486121079931	32.8803389227551	32.8803389227551	45.2647794036234	FALSE	0.884817686026775	0.766979134947183	16.2108378352646	17.2520404891243	2.3995257170869	1	1.07717418197643	1.51232032036496	3.22388018453911	4.54981957526032	3.04500252342922	2	2	3	6	6	6	Thymidine kinase, cytosolic	112469936	TK1	0.578278379058646	0.0628516818413583	1.0434317660872	3.77402730389824	0.638700247462055	R_Bin_1
up	Fimepinostat:Q63ZY3	Fimepinostat	Q63ZY3	-4.09499508803194	0.977172583617495	3.46262992646262	15.4423014813305	15.4423014813305	70.4778728469132	FALSE	0.891998539897667	0.716453028819664	15.3930749291032	16.434277582963	2.37460890911442	1	0.954375255150582	1.33592579735534	3.50289218334832	4.15710718998982	2.72672842545925	2	3	3	8	9	8	KN motif and ankyrin repeat domain-containing protein 2	18450089.2	KANK2	0.238862320664485	0.0321381352739296	0.977172586325449	3.46262992645498	0.583108694794484	R_Bin_1
non-regulated	Fimepinostat:P51151	Fimepinostat	P51151	-4.66279521315737	0.401195452386284	13.110346861482	1724.44677479652	1724.44677479652	13425.4771689848	FALSE	0.99453924142799	0.600440328590973	13.2732818693076	14.3144845231673	2.34244972997788	1	0.60258366210799	0	0	1.32944384854815	13.1067363843138	1	1	0	0	1	2	Ras-related protein Rab-9A	21098527	RAB9A	0.266549207148251	0.301291831290607	0.401195452386284	13.1068421595303	1.79183607088256	R_Bin_1
up	Fimepinostat:O75064	Fimepinostat	O75064	-30.6839666168986	0.335970033665014	4.11845140848265	22.9633586258059	22.9633586258059	50.6738269299899	FALSE	0.969739007798164	0.579060586880081	12.8382080166185	13.8794106704782	2.33231589595379	1	0	0	4.16363643814421	4.07497500821859	4.11674289551831	1	0	0	1	1	1	DENN domain-containing protein 4B	11703148.3333333	DENND4B	0.160458092121822	0.190577531663287	0.335970033665014	4.11845140848265	0.9134935982969	R_Bin_1
up	Fimepinostat:O00291	Fimepinostat	O00291	-3.60282951611145	1.33505972900173	2.80243362191834	14.0363260993281	14.0363260993281	22.6964199983527	FALSE	0.837897683299186	0.52333563344324	11.6239987221507	12.6652013760105	2.17224819033999	1	1.66820562410441	1.67130935785325	3.02040738446776	3.04808217250808	2.33748452891992	1	1	2	4	6	6	Huntingtin-interacting protein 1	9609551	HIP1	0.131261011829852	0.289343411860267	1.33505975593894	2.80243362184097	0.347890009040718	R_Bin_1
up	Fimepinostat:O95671	Fimepinostat	O95671	-2.10875115576641	0.981175761893312	3.02908912889609	16.6086984061358	16.6086984061358	17.3948490043331	FALSE	0.953885406985765	0.359676428814958	7.12378048598537	8.1649831398451	2.11965360047502	1	0.967147869983483	1.50513646287711	2.97543080370091	3.39183892359655	2.67400588427239	8	10	9	10	11	11	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	361839748.833333	ASMTL	0.773345079285175	0.0191321162530588	0.981218338131931	3.02908631252119	0.488982769229284	R_Bin_1
up	Fimepinostat:P27105	Fimepinostat	P27105	-0.528636228542636	0.792747659164972	4.79681512448564	354.43204898601	354.43204898601	477.567579559662	FALSE	0.979338904679795	0.31784520433954	5.64009649030326	6.68129914416299	2.04961632552778	1	0.646753769188609	1.3607956175422	2.31617282442252	3.17300016810667	4.27201341595894	1	1	1	3	3	3	Erythrocyte band 7 integral membrane protein	17805523	STOM	0.232947394915681	0.156019302540527	0.845271329771309	4.2118353769886	0.711262385240834	R_Bin_1
non-regulated	Fimepinostat:Q99611	Fimepinostat	Q99611	0.000210873729768435	-0.965137739518285	1.00133926912106	233.881894691115	233.881894691115		TRUE	0.997854025558926	0.0294854930349396	-22.8918967648306	-21.8506941109709	0.0183082012503412	1	0.0346012078359962	0	0	0.0402877475451205	0	1	1	0	0	1	0	Selenide, water dikinase 2	212180346	SEPHS2	0.690032720865844	0.0183082012727662	0.018904971204004	0.0177114311948106	-0.142369725167789	R_Bin_1
non-regulated	Fimepinostat:O43586	Fimepinostat	O43586	0.000391638996585842	-0.96337281168261	1.00127799306905	229.62529128275	229.62529128275		TRUE	0.997573420023771	0.0313262893210072	-22.1651854221032	-21.1239827682435	0.0193339548648386	1	0.0369453125360145	0	0	0.0430401909281041	0	1	1	0	0	1	0	Proline-serine-threonine phosphatase-interacting protein 1	15808849	PSTPIP1	0.214699219733199	0.0193339550070484	0.0204412582551414	0.0182266508285673	-0.142334724709249	R_Bin_1
non-regulated	Fimepinostat:Q9UIL8	Fimepinostat	Q9UIL8	0.017352845456966	-0.994058167230886	1.00000242616604	711.266757231453	711.266757231453		TRUE	0.995082861541664	0.0445812653459742	-17.9309127999699	-16.8897101461102	0.0298741862207078	1	0.0996449123162605	0	0	0	0	1	1	0	0	0	0	PHD finger protein 11	14197598	PHF11	0.191920463126101	0.029893860241143	0.0795491613154559	-0.0198900801076388	-0.151398135341394	R_Bin_1
non-regulated	Fimepinostat:P27987	Fimepinostat	P27987	0.0185976228981151	-0.995184351665211	1.0000045378759	773.81926832544	773.81926832544		TRUE	0.994335690130155	0.0478141937182927	-17.0908069136046	-16.0496042597449	0.0320341420230838	1	0.106862474124062	0	0	0	0	1	1	0	0	0	0	Inositol-trisphosphate 3-kinase B	14207181	ITPKB	0.192172162094135	0.0320590214089166	0.0852792455778331	-0.0213238629543616	-0.152016783496348	R_Bin_1
non-regulated	Fimepinostat:A0A1B0GTU1	Fimepinostat	A0A1B0GTU1	0.0218114639133509	-0.992659006031045	1.00000685878825	716.302390023973	716.302390023973		TRUE	0.992198112325734	0.0560262939359573	-15.1888239538905	-14.1476213000308	0.0375199786506067	1	0.125195349234474	0	0	0	0	1	1	0	0	0	0	Zinc finger CCCH domain-containing protein 11B	56080082.5	ZC3H11B	0.447394915680846	0.0375590613426045	0.0998255282242924	-0.0249628599754741	-0.153588172791526	R_Bin_1
non-regulated	Fimepinostat:O43236	Fimepinostat	O43236	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Septin-4	0	SEPTIN4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fimepinostat:P00439	Fimepinostat	P00439	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Phenylalanine-4-hydroxylase	0	PAH	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fimepinostat:P36955	Fimepinostat	P36955	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pigment epithelium-derived factor	0	SERPINF1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
