.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	PJ34:P61006	PJ34	P61006	0.000345540323933423	3.61788732194241	1.0054411587033	746.962291322887	746.962291322887	97852.4939972482	FALSE	0.856936782191321	0.344092356226545	6.59224384971248	7.63344650357221	2.31095062100447	1	2.72885441998133	2.13397225543254	2.26921144802019	2.16487913920141	2.22909164755939	3	2	3	3	2	2	Ras-related protein Rab-8A	56929808.5	RAB8A	0.471620097732114	0.161784742997775	2.30965152465806	2.31224971829182	0.131107759658424	R_Bin_1
up	PJ34:O15235	PJ34	O15235	0.000409090863509479	3.38947279933496	1.00621733825786	764.403379964975	764.403379964975		FALSE	0.808231424286018	0.375811961771548	7.65038966431323	8.69159231817296	2.19706869783326	1	2.34230748921697	2.1239671800226	2.21499473330794	1.79348130653135	2.50164466343644	1	2	2	1	1	1	28S ribosomal protein S12, mitochondrial	24139666.3333333	MRPS12	0.313118656809924	0.224626760135941	2.19566560800565	2.19847178909573	0.170079209211734	R_Bin_1
up	PJ34:P33552	PJ34	P33552	-4.2602248420309	0.95921983129277	2.785519971934	6.2363995400796	6.2363995400796	29.8736947739623	FALSE	0.849973466104519	0.610405558219016	13.4708056943082	14.512008348168	2.12985085683957	1	0.919159195613497	2.57015747933458	3.32488289544922	2.12502435286515	2.90668136204295	2	2	3	3	3	1	Cyclin-dependent kinases regulatory subunit 2	13361245.8333333	CKS2	0.201227916301215	0.0809857844303111	0.959219872478809	2.78551997193396	0.397306505659553	R_Bin_1
up	PJ34:P56385	PJ34	P56385	-2.01732699693822	0.998341372389216	2.23049627106378	0.320472969679881	0.320472969679881	2.20333110068959	FALSE	0.822245299578462	0.363899545360209	7.26385692796631	8.30505958182604	2.10093181204929	1	2.11356838892415	2.42236336449247	2.07413922056153	1.89495811980746	2.53136859914548	3	5	2	3	2	3	ATP synthase subunit e, mitochondrial	136927453.5	ATP5ME	0.627740884600927	0.174701879959808	1.1056752385062	2.23049627000604	0.190079658412754	R_Bin_1
non-regulated	PJ34:Q6TFL4	PJ34	Q6TFL4	0.000384112299669812	-0.992498357794354	1.00057382218481	797.952779055568	797.952779055568		TRUE	0.999606831832554	0.0127503489933414	-32.9519736161187	-31.9107709622589	0.00465557451730255	1	0	0	0.020061693876817	0	0	1	0	0	1	0	0	Kelch-like protein 24	130511280	KLHL24	0.620724220022554	0.00509626819627185	0.00575730763621485	0.00355384039169937	-0.14228395160352	R_Bin_1
non-regulated	PJ34:Q96MP5	PJ34	Q96MP5	0.000599134658366962	-0.964202403300703	1.00241712480906	331.871154871012	331.871154871012		TRUE	0.997568001351443	0.0313647271898376	-22.1504702520698	-21.10926759821	0.0197998495586215	1	0	0.0348723059749526	0.0445740436218414	0	0	1	0	1	1	1	0	Zinc finger SWIM domain-containing protein 3	16018549	ZSWIM3	0.237063024683624	0.0197998495039828	0.0214955123838084	0.0181041839882989	-0.142579950352946	R_Bin_1
non-regulated	PJ34:P52741	PJ34	P52741	0.0101702419410963	-0.972796535623301	0.999999287246353	661.902559705883	661.902559705883	162823.786015422	TRUE	0.988436255064944	0.0682641199015778	-12.8180657631325	-11.7768631092728	0.0288505234129639	1	0	0.115391082947936	0	0	0	1	0	1	0	0	0	Zinc finger protein 134	54768472	ZNF134	0.463225159754417	0.034624857688488	0.0577008234311118	-1.71840103061482e-05	-0.14615403094137	R_Bin_1
non-regulated	PJ34:P28370	PJ34	P28370	0.000394475743314493	-0.934684672903009	0.999995355673349	662.738891191467	662.738891191467		TRUE	0.972254248797437	0.105409451728076	-7.60444965208421	-6.56324699822448	0.0332358388134172	1	0	0	0.166657874174761	0	0	1	0	0	1	0	0	Probable global transcription activator SNF2L1	34695539.5	SMARCA1	0.376769828342313	0.0336751629247022	0.0343341480033491	0.0321375286259138	-0.138095489309293	R_Bin_1
non-regulated	PJ34:Q9Y366	PJ34	Q9Y366	0.020148110997166	-0.993252206723346	1.00000609822571	717.09840186819	717.09840186819		TRUE	0.993351959467758	0.0517582424367746	-16.1396730119587	-15.098470358099	0.034670082269997	1	0.115669279331555	0	0	0	0	1	1	0	0	0	0	Intraflagellar transport protein 52 homolog	13022703	IFT52	0.196842500939732	0.0347009231928472	0.0922740100554493	-0.0230737758906482	-0.152771652514133	R_Bin_1
non-regulated	PJ34:Q13794	PJ34	Q13794	0.000206114772020078	-0.927254026962117	1.00104819568246	159.724300421349	159.724300421349		TRUE	0.983333592108583	0.0811760269451292	-10.7392377082611	-9.69803505440141	0.037058009656524	1	0	0.0377386742380255	0.132335527417071	0	0	1	0	1	1	0	0	Phorbol-12-myristate-13-acetate-induced protein 1	13131317.3333333	PMAIP1	0.198346071920812	0.0370580096550223	0.0376299883277343	0.0364860309098161	-0.140154375623456	R_Bin_1
non-regulated	PJ34:O95670	PJ34	O95670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	V-type proton ATPase subunit G 2	0	ATP6V1G2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:P03886	PJ34	P03886	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	NADH-ubiquinone oxidoreductase chain 1	0	MT-ND1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:P11912	PJ34	P11912	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	B-cell antigen receptor complex-associated protein alpha chain	0	CD79A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:P48551	PJ34	P48551	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Interferon alpha/beta receptor 2	0	IFNAR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:P59780	PJ34	P59780	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	AP-3 complex subunit sigma-2	0	AP3S2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:P61803	PJ34	P61803	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	0	DAD1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q49AM3	PJ34	Q49AM3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetratricopeptide repeat protein 31	0	TTC31	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q4VC44	PJ34	Q4VC44	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	FLYWCH-type zinc finger-containing protein 1	0	FLYWCH1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q5H8A4	PJ34	Q5H8A4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	GPI ethanolamine phosphate transferase 2	0	PIGG	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q5T4D3	PJ34	Q5T4D3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein O-mannosyl-transferase TMTC4	0	TMTC4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q5T5U3	PJ34	Q5T5U3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Rho GTPase-activating protein 21	0	ARHGAP21	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6IQ55	PJ34	Q6IQ55	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tau-tubulin kinase 2	0	TTBK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6K0P9	PJ34	Q6K0P9	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pyrin and HIN domain-containing protein 1	0	PYHIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6P4F1	PJ34	Q6P4F1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-(1,3)-fucosyltransferase 10	0	FUT10	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6RI45	PJ34	Q6RI45	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	2	Bromodomain and WD repeat-containing protein 3	0	BRWD3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6U7Q0	PJ34	Q6U7Q0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 322	0	ZNF322	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6UWW8	PJ34	Q6UWW8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carboxylesterase 3	0	CES3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PJ34:Q6XR72	PJ34	Q6XR72	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc transporter 10	0	SLC30A10	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
