.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Sunitinib:Q9BST9	Sunitinib	Q9BST9	-3.66602272548367	1.36148373378032	64.74058918659	1543.10936554988	1543.10936554988	2965.98516307498	FALSE	0.99583837857382	2.58972241371893	30.8129943381562	31.8541969920159	11.6550828415823	1	0	4.4546665726989	0	12.0923797024369	64.67420921153	1	0	1	0	1	1	Rhotekin	1604295	RTKN	0.0386881885728927	0.861483733845225	1.36148373378035	64.6735805808666	10.005529102636	R_Bin_1
up, low confidence	Sunitinib:O95340	Sunitinib	O95340	-3.89256590448413	-2.56377758887646e-05	32.5943199313359	2427.98958557366	2427.98958557366	26.0958244976307	FALSE	0.999999999984666	8.15868270419598e-05	-93.5717268954358	-92.5305242415761	4.01285043930618	0	0	0	0	1	32.4629725403807	0	0	0	0	1	1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	0	PAPSS2	0	2.56293145819948e-05	-2.56377758884871e-05	32.4629725683669	4.72328179148296	R_Bin_1
non-regulated	Sunitinib:Q96KC2;Q9Y689	Sunitinib	Q96KC2;Q9Y689	0.000600071110547225	-1.00410391595468	0.997555573924083	637.784580908567	637.784580908567		TRUE	0.999891822505526	0.00670668506134232	-40.6614197435434	-39.6202170896837	-0.00237208057734496	1	0.00530232793879459	0	0	0	0	1	1	0	0	0	0	ADP-ribosylation factor-like protein 5B	187106944	ARL5B;ARL5A	0.633230848065591	0.00375494060610304	-0.000643508913147128	-0.00410065582876173	-0.14331162810904	R_Bin_1
non-regulated	Sunitinib:Q96Q42	Sunitinib	Q96Q42	-5.03782981634955e-05	0.999951456739724	-0.994183656224486	4.7296655593226e+47	4.7296655593226e+47		TRUE	0.999995700313864	0.00133143036546414	-60.0636314100833	-59.0224287562236	0.00555418785361172	1	0.00502336650190466	0.00493591233275538	0.00492188526061292	0.00471552933345557	0.00675622523570432	4	2	2	2	2	6	Alsin	27879058740.5	ALS2	0.997694081475788	0.00069955219700105	0.00569876197069574	0.0054096136616858	-0.141918754639971	R_Bin_1
non-regulated	Sunitinib:Q1MSJ5	Sunitinib	Q1MSJ5	0.000433344730333569	-0.969623644554305	0.999490262868552	639.157270144698	639.157270144698		TRUE	0.993684660656321	0.0506435758696483	-16.4009286686072	-15.3597260147475	0.0155746257603843	1	0	0	0	0	0.0788276375692715	1	0	0	0	0	1	Centrosome and spindle pole-associated protein 1	27924638.6666667	CSPP1	0.278375608506277	0.0160658275348347	0.0168026287401435	0.014346621450654	-0.131596051775818	R_Bin_1
non-regulated	Sunitinib:Q68DC2	Sunitinib	Q68DC2	0.000407704634469625	-0.938704873659389	0.986306337444399	672.494240766007	672.494240766007		TRUE	0.991311723297542	0.0593132921995055	-14.504676143425	-13.4634734895653	0.0244005651886285	1	0	0	0.0913231399468054	0	0	1	0	0	1	0	0	Ankyrin repeat and SAM domain-containing protein 6	21201024	ANKS6	0.225595695618755	0.0248523529793466	0.025530033465998	0.0232710958101648	-0.140247910287234	R_Bin_1
non-regulated	Sunitinib:P12277;P06732	Sunitinib	P12277;P06732	0.00842751964959163	-0.974683582366161	1.00000061683155	682.079440333618	682.079440333618		TRUE	0.996415101878572	0.037940419914975	-19.8664729474146	-18.8252702935548	0.0254330725026398	1	0.0721403818992376	0.00457200124616076	0	0	0.0265116095826383	1	1	1	0	0	1	Creatine kinase B-type	414098416	CKB;CKM	0.767742761977966	0.0253382291320271	0.0493686783801182	0.00148745149235308	-0.145383859972305	R_Bin_1
non-regulated	Sunitinib:Q9HBK9	Sunitinib	Q9HBK9	-0.000366310963120535	0.999898956827064	-0.95409001925281	4030617051.67824	4030617051.67824		TRUE	0.993054484779672	0.0525306135212337	-15.9619239630887	-14.920721309229	0.0262441022017507	1	0	0	0.0668343044463188	0	0.0673650915149805	1	0	0	1	0	1	Arsenite methyltransferase	116923876	AS3MT	0.547399436331027	0.0338291757141517	0.0272741596649815	0.0252140397897581	-0.131324006799394	R_Bin_1
non-regulated	Sunitinib:Q6ZS17	Sunitinib	Q6ZS17	0.000400194423857483	-0.928761290180311	0.984570460923566	672.683487987914	672.683487987914		TRUE	0.988170264872883	0.0691015497946152	-12.6717514294915	-11.6305487756317	0.0284898509046195	1	0	0	0.106457599627411	0	0	1	0	0	2	1	1	Rho family-interacting cell polarization regulator 1	32451999	RIPOR1	0.306943376889572	0.0289306258443934	0.0295917871265089	0.0273879136475931	-0.139815497153503	R_Bin_1
non-regulated	Sunitinib:Q00722	Sunitinib	Q00722	0.0169740757691959	-0.994102279944567	1.00000281318201	707.551131047009	707.551131047009		TRUE	0.995297552247566	0.0436070737567936	-18.1960447833165	-17.1548421294568	0.0292226692470064	1	0.0974693180543241	0	0	0	0	1	1	0	0	0	0	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	394324699	PLCB2	0.760568793235972	0.0292410540285404	0.077819779950801	-0.0194578845597863	-0.151211655833228	R_Bin_1
non-regulated	Sunitinib:Q86UQ0	Sunitinib	Q86UQ0	0.0115983091808391	-0.970107479716418	0.999998983729102	727.218633154974	727.218633154974	156031.935762231	TRUE	0.984973167066666	0.0777188525358818	-11.2615030113273	-10.2203003574675	0.0328477373997077	1	0	0.131374392639592	0	0	0	1	1	1	0	0	0	Zinc finger protein 589	17095337.5	ZNF589	0.18793235972329	0.0394236869083029	0.0656950439205288	-2.61411465393158e-05	-0.14661069693256	R_Bin_1
non-regulated	Sunitinib:Q8NC67	Sunitinib	Q8NC67	0.0217129754787283	-0.992697831915564	1.00000874959483	716.362494995125	716.362494995125		TRUE	0.992269072216301	0.0557733739898896	-15.2431182928046	-14.2019156389449	0.0373507895066867	1	0.124630922528499	0	0	0	0	1	1	0	0	0	0	Neuropilin and tolloid-like protein 2	54547399	NETO2	0.40315142198309	0.0373893481308815	0.0993784312145088	-0.0248517661042637	-0.153539793359586	R_Bin_1
non-regulated	Sunitinib:A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	Sunitinib	A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Nuclear pore complex-interacting protein family member B5	0	NPIPB5;NPIPB12;NPIPB11;NPIPB13;NPIPB3;NPIPB4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:O00468	Sunitinib	O00468	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Agrin	0	AGRN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:O14717	Sunitinib	O14717	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	tRNA (cytosine(38)-C(5))-methyltransferase	0	TRDMT1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:O60381	Sunitinib	O60381	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HMG box-containing protein 1	0	HBP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:O75954	Sunitinib	O75954	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetraspanin-9	0	TSPAN9	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:P02656	Sunitinib	P02656	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Apolipoprotein C-III	0	APOC3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:P08697	Sunitinib	P08697	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-2-antiplasmin	0	SERPINF2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Sunitinib:P12838	Sunitinib	P12838	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Neutrophil defensin 4	0	DEFA4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
