.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	AZD-8055:Q99075	AZD-8055	Q99075	-5.96389673770809	0.335871335435105	290.627527006335	7191.06976092411	7191.06976092411	18333.4495547469	FALSE	0.999983329676589	0.671155210885278	14.6093277410151	15.6505303948748	9.22762757417224	1	0	0	0.682113633427662	0	254.991864278541	1	0	0	1	0	1	Proheparin-binding EGF-like growth factor	1902171	HBEGF	0.0310077519379845	0.336998463369661	0.335871335435105	254.99184309776	36.3040410007466	R_Bin_1
up	AZD-8055:O94923	AZD-8055	O94923	-1.81352241730167	0.615296290486323	74.8622864636027	7475.31669289515	7475.31669289515	39861.3740680622	FALSE	0.999128036509394	0.884113279693068	17.9163450513262	18.957547705186	4.14477233895387	1	0	0	1.45538899023011	2.47109865088324	47.3123215311299	1	0	0	1	1	1	D-glucuronyl C5-epimerase	3435789	GLCE	0.0440110027506877	0.500003451523491	0.615296398192925	47.3126165696386	6.86943693138655	R_Bin_1
non-regulated	AZD-8055:Q9NQX6	AZD-8055	Q9NQX6	-5.89743100132682	0.200722273880861	108.939194137263	7382.68058965588	7382.68058965588	49338.7476428205	FALSE	0.999889389201431	0.632587640754848	13.8991479463345	14.9403506001943	3.32283747215665	1	0	0	0	0	93.3758899307724	1	0	0	0	0	1	Zinc finger protein 331	43333	ZNF331	0.0278819704926232	0.200722274402885	0.200722273880861	93.3758898897167	13.1965557043961	R_Bin_1
non-regulated	AZD-8055:Q9NY74	AZD-8055	Q9NY74	-5.72308051604446	1.39586418037861	9.89163211100822	1193.29164967081	1193.29164967081	14975.3031376309	FALSE	0.801813382537378	2.67612341184745	31.2068171233749	32.2480197772347	2.96514988918831	1	0	4.60049748851859	0	3.66181293671403	9.89158693401564	1	0	1	1	1	1	Ewing's tumor-associated antigen 1	2860771	ETAA1	0.0383845961490373	0.89586418037861	1.39586418037861	9.89158791868374	1.45265359976291	R_Bin_1
up	AZD-8055:Q53EL6	AZD-8055	Q53EL6	-1.24028222214754	1.07664931670817	3.6417981431786	6.38572407735443	6.38572407735443	4.65735606960527	FALSE	0.967551253273266	0.344000479883012	6.58903929337621	7.63024194723593	2.71458835378237	1	1.41541853672606	2.63220592261425	3.82892314691065	3.76781284568714	3.28839135161168	5	7	9	7	7	9	Programmed cell death protein 4	216139585	PDCD4	0.718554638659665	0.117900806744912	1.09136040058122	3.64151848716556	0.562738768835373	R_Bin_1
up	AZD-8055:O15151	AZD-8055	O15151	-0.26985201647425	0.987560302292513	3.34089149970306	62.6618911361299	62.6618911361299	335.834017151628	FALSE	0.935508437794681	0.285711854413146	4.36112827556091	5.40233092942064	2.07340426220439	1	1.42768558702967	2.16771268422111	2.00443525024731	2.65651034186549	2.86444666780412	3	2	1	4	4	4	Protein Mdm4	6021632.66666667	MDM4	0.0868967241810453	0.187107625629195	1.33955979768521	2.86362166085516	0.367012290558693	R_Bin_1
non-regulated	AZD-8055:Q9BY11	AZD-8055	Q9BY11	0.000251979245757981	-0.99849735994708	1.00046923846993	2391.1539575771	2391.1539575771		TRUE	0.999997853599593	0.000944221104666908	-64.1874163657977	-63.146213711938	0.00153064499692139	1	0.00267978847711482	0.00173341946994985	0.00184934438396373	0.00152609497530457	0	1	1	2	2	1	0	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.94973743435859	0.000588945485821871	0.00225552429273213	0.000805765319169094	-0.142952718731183	R_Bin_1
non-regulated	AZD-8055:Q96AA3	AZD-8055	Q96AA3	0.00910916079865592	-0.996065303987248	1.00000022865726	649.15814762469	649.15814762469		TRUE	0.998660365054494	0.0234099169832405	-25.6607605117511	-24.6195578578914	0.0156993983198566	1	0.0523403385652276	0	0	0	0	1	1	0	0	0	0	Protein RFT1 homolog	2664153	RFT1	0.0371342835708927	0.0157021676921318	0.0418488594322148	-0.0104626395969782	-0.147343457591305	R_Bin_1
non-regulated	AZD-8055:O14508	AZD-8055	O14508	0.00844255255759248	-0.977359858219939	0.999999584342999	662.167895433669	662.167895433669	193975.693053994	TRUE	0.992019874874168	0.0568153834480974	-15.020991842258	-13.9797891883983	0.0240109283115706	1	0	0.0960376260526521	0	0	0	1	0	1	0	0	0	Suppressor of cytokine signaling 2	35926090.5	SOCS2	0.398974743685922	0.0288155528948047	0.0480217923027411	-9.92090135365498e-06	-0.145601075030076	R_Bin_1
non-regulated	AZD-8055:Q8IZV5	AZD-8055	Q8IZV5	0.0178393124764595	-0.994097652789646	1.0000037380051	719.610279959192	719.610279959192		TRUE	0.994799607278022	0.0458342630392846	-17.5982943824827	-16.557091728623	0.0307116920098408	1	0.102442863623629	0	0	0	0	1	1	0	0	0	0	Retinol dehydrogenase 10	32188998	RDH10	0.380845211302826	0.0307331452582382	0.0817726927787353	-0.0204466702805609	-0.151637959739168	R_Bin_1
non-regulated	AZD-8055:O14863	AZD-8055	O14863	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc transporter 4	0	SLC30A4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	AZD-8055:O14879	AZD-8055	O14879	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Interferon-induced protein with tetratricopeptide repeats 3	0	IFIT3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	AZD-8055:O43521	AZD-8055	O43521	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Bcl-2-like protein 11	0	BCL2L11	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	AZD-8055:O60296	AZD-8055	O60296	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Trafficking kinesin-binding protein 2	0	TRAK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	AZD-8055:O95670	AZD-8055	O95670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	V-type proton ATPase subunit G 2	0	ATP6V1G2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
