.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	PF-04691502:Q9BUF5	PF-04691502	Q9BUF5	-3.70281622988465	0.993965023291709	63.0655661895451	4966.02940773803	4966.02940773803	33430.5529229921	FALSE	0.999979983356487	0.166679094171747	-2.1058328711412	-1.06463021728147	4.87794415985308	1	0.887602084969739	1.18415471150054	0.904319170841466	1.1579535478352	58.7413271013899	1	1	1	1	1	2	Tubulin beta-6 chain	30814363.6	TUBB6	0.355413373478861	0.0478567019885854	0.993965023291709	58.7413205583067	8.26393869585391	R_Bin_1
up	PF-04691502:Q8WUR7	PF-04691502	Q8WUR7	-5.83989252310667	0.250440472955462	17.3805018017091	863.456383445173	863.456383445173	1562.61891348591	FALSE	0.99747605301995	0.61238469399637	13.5096507047653	14.550853358625	3.89587796866182	1	0	0	0	12.277590779132	17.3804020756152	1	0	0	0	1	2	UPF0235 protein C15orf40	745937	C15orf40	0.0220800401455275	0.25044047299766	0.250440472955462	17.3804912937846	3.3924223632992	R_Bin_1
up	PF-04691502:Q8TF50	PF-04691502	Q8TF50	0.000190147299042787	3.45289838297844	1.02005585040625	46607.3504395404	46607.3504395404		FALSE	0.896108189550649	0.273774148663203	3.84896456322043	4.89016721708015	2.23563337947132	1	2.46561105953521	2.28160693170555	1.95287711117101	2.3445842789068	2.18636869476842	1	1	2	1	1	1	Zinc finger protein 526	21527858.75	ZNF526	0.288796888721616	0.169464289742982	2.23496764736147	2.23629911191805	0.149715237469209	R_Bin_1
non-regulated	PF-04691502:P01009	PF-04691502	P01009	0.00027609396814521	-0.990992107039296	1.00031336040853	795.807785056111	795.807785056111		TRUE	0.999501426531184	0.0143514580708029	-31.5324587980135	-30.4912561441538	0.00510395865617005	1	0	0	0.0226371958260777	0	0	1	0	0	1	0	0	Alpha-1-antitrypsin	2071638.5	SERPINA1	0.0259691381257057	0.00542044169631362	0.00589516585660022	0.00431275108253726	-0.142210365833541	R_Bin_1
non-regulated	PF-04691502:Q96GS6	PF-04691502	Q96GS6	0.00756949796942056	-0.99677091357037	1.00000010538265	652.607316261639	652.607316261639		TRUE	0.999076967836014	0.0194584596506692	-27.8792943074008	-26.8380916535411	0.0130505946388432	1	0.043507086131128	0	0	0	0	1	1	0	0	0	0	Alpha/beta hydrolase domain-containing protein 17A	1225938828	ABHD17A	0.914188934888973	0.0130521873506453	0.0347922758304784	-0.00869832021759331	-0.146586321668382	R_Bin_1
non-regulated	PF-04691502:Q12894	PF-04691502	Q12894	0.00694350049198902	-0.986253728609735	0.999999744030842	199.58031083004	199.58031083004		TRUE	0.999742084264307	0.0102758635900147	-35.5411036807122	-34.4999010268524	0.0132242540209173	1	0.0331125825084515	0.0131637286896296	0	0	0	1	1	1	0	0	0	Interferon-related developmental regulator 2	257651761.5	IFRD2	0.732655877556141	0.00730124601904963	0.0330667488568603	-0.00662162162289703	-0.146071470749	R_Bin_1
non-regulated	PF-04691502:Q8WWW8	PF-04691502	Q8WWW8	0.0105280822094762	-0.995552271353202	1.00000068263634	655.405722538768	655.405722538768		TRUE	0.998206812746059	0.027052148226845	-23.9254803068614	-22.8842776530017	0.0181397933996385	1	0.0604814107500698	0	0	0	0	1	1	0	0	0	0	GRB2-associated-binding protein 3	50835758.5	GAB3	0.447873541588257	0.0181440806017367	0.0483479990258101	-0.012087880524416	-0.148041263778577	R_Bin_1
non-regulated	PF-04691502:Q8WVX3	PF-04691502	Q8WVX3	0.00744954011691348	-0.97997419890407	0.999999542696901	660.703691662462	660.703691662462	178327.624509461	TRUE	0.993783063624535	0.0502106384983023	-16.5039542169307	-15.462751563071	0.0212182848904007	1	0	0.0848729139483065	0	0	0	1	0	1	0	0	0	Uncharacterized protein C4orf3	10326531	C4orf3	0.151674821226948	0.0254634507878963	0.0424356848011618	-5.98015466268809e-06	-0.145282083255666	R_Bin_1
non-regulated	PF-04691502:O60503	PF-04691502	O60503	0.0177703215626512	-0.994122815464537	1.00000367953593	719.693663368696	719.693663368696		TRUE	0.994840111493375	0.0456572395497393	-17.6447311436097	-16.6035284897499	0.0305933442477588	1	0.10204755216618	0	0	0	0	1	1	0	0	0	0	Adenylate cyclase type 9	239611131.666667	ADCY9	0.722368586124702	0.0306145509708691	0.0814585315901379	-0.0203680864886643	-0.151604075899958	R_Bin_1
non-regulated	PF-04691502:Q99541	PF-04691502	Q99541	0.000650833559285647	-0.932392652424096	1.00174192305307	660.291563044664	660.291563044664		TRUE	0.968932742180911	0.111508678998643	-6.92944821811283	-5.8882455642531	0.035630945222948	1	0	0	0.176281328346982	0	0	1	0	0	1	0	0	Perilipin-2	89625715	PLIN2	0.554384644335717	0.0363555680751653	0.0374424974714368	0.033819388501026	-0.137820533475801	R_Bin_1
non-regulated	PF-04691502:Q14CZ8	PF-04691502	Q14CZ8	0.0218718432539607	-0.992636995299826	1.00000755961631	716.26527977614	716.26527977614		TRUE	0.992154204724978	0.0561822146430863	-15.1554744385373	-14.1142717846776	0.0376237834737856	1	0.125543303384408	0	0	0	0	1	1	0	0	0	0	Hepatocyte cell adhesion molecule	18138479	HEPACAM	0.257935014427299	0.0376631898383767	0.100099801737522	-0.0250309907481194	-0.153617997432949	R_Bin_1
non-regulated	PF-04691502:O94941	PF-04691502	O94941	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	RING finger protein 37	0	UBOX5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PF-04691502:P01903;P01906	PF-04691502	P01903;P01906	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HLA class II histocompatibility antigen, DR alpha chain	0	HLA-DRA;HLA-DQA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PF-04691502:P11049	PF-04691502	P11049	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leukocyte antigen CD37	0	CD37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PF-04691502:P20339	PF-04691502	P20339	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras-related protein Rab-5A	0	RAB5A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PF-04691502:P48551	PF-04691502	P48551	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Interferon alpha/beta receptor 2	0	IFNAR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PF-04691502:P52655	PF-04691502	P52655	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transcription initiation factor IIA subunit 1	0	GTF2A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
