.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Abemaciclib:Q9NQZ8	Abemaciclib	Q9NQZ8	-5.84775066862439	0.198178480502173	845.892977896778	6403.15588549756	6403.15588549756	5366.49834571773	FALSE	0.999998439360726	0.635111676920496	13.9469328959499	14.9881355498097	33.9105055856225	1	0	0	0	0	787.797114766331	1	0	0	0	0	1	Endothelial zinc finger protein induced by tumor necrosis factor alpha	773659	ZNF71	0.0368035001930254	0.198178492059093	0.198178480502173	787.797023255873	112.399587823762	R_Bin_1
up	Abemaciclib:P49759	Abemaciclib	P49759	-5.35570953715166	1.17489027911559	6.40578214702586	121.270216448749	121.270216448749	250.869212000746	FALSE	0.939155133127722	1.03806140828331	19.8426453308637	20.8838479847234	3.17974736078163	1	1.03646135595967	1.48822118285773	2.54812347687936	7.40753045016208	5.40398713904843	4	4	4	7	11	9	Dual specificity protein kinase CLK1	19130978.1666667	CLK1	0.263543945438168	0.24410648681211	1.17489027911559	6.40578214674029	1.20551557919631	R_Bin_1
up	Abemaciclib:Q53EU6	Abemaciclib	Q53EU6	-0.872073392604865	1.61485048786097	23.1510860926755	22276.9596514611	22276.9596514611	141645.521805583	FALSE	0.857382155668447	1.83190053461733	26.6586336699499	27.6998363238097	2.48125396855484	1	0	2.89096263635168	3.19911755572386	2.50527169753826	8.81312140734274	1	0	1	1	2	1	Glycerol-3-phosphate acyltransferase 3	5755794	GPAT3	0.074765152490027	0.932771690945463	1.61531761760324	8.76798775327119	1.33970220139145	R_Bin_1
up	Abemaciclib:O14880	Abemaciclib	O14880	0.0189888025787571	3.80419523014763	0.999599467150951	44924839.7634254	44924839.7634254	1360795631.70665	FALSE	0.829791452923425	0.360862754111618	7.16329510714875	8.20449776100848	2.21459566925511	1	1.89127196007311	2.60489060134146	2.1480903121441	2.31108071141685	2.19343730915615	2	1	1	1	2	2	Microsomal glutathione S-transferase 3	64049913	MGST3	0.495560416934757	0.187457767077017	2.13976083726292	2.2901620140628	0.193423214588989	R_Bin_1
up	Abemaciclib:Q8N8N7	Abemaciclib	Q8N8N7	-5.4459259762586	0.249776144238804	8.58098700412845	844.004462876248	844.004462876248	1482.24009887413	FALSE	0.989533385014349	0.612387867525377	13.5097128915733	14.5509155454331	2.03922123136533	1	0	0	0	6.21327400381248	8.58084842390737	1	0	0	0	1	2	Prostaglandin reductase 2	30569853	PTGR2	0.34718826405868	0.249776144373374	0.249776144238804	8.58097515570804	1.61554468945641	R_Bin_1
non-regulated	Abemaciclib:Q06278	Abemaciclib	Q06278	0.000503728647728273	-0.988130253794958	0.997692005806437	1175.39914527927	1175.39914527927		TRUE	0.999470706872693	0.014745137196629	-31.2077171730648	-30.1665145192051	0.00568503170588567	1	0.0210154430540195	0	0	0	0.015742285633639	1	1	0	0	0	1	Aldehyde oxidase	7920620.5	AOX1	0.110153133444859	0.0087348843920364	0.00712459804925425	0.00424546282891158	-0.142409568599825	R_Bin_1
non-regulated	Abemaciclib:Q9UHL0	Abemaciclib	Q9UHL0	0.00168555981532816	-0.993161753847489	1.00000000764935	3468.59485836004	3468.59485836004	10.0000000004641	TRUE	0.999615669174879	0.0125763015822364	-33.1169067410966	-32.0757040872369	0.00736460463012603	1	0.0208291359742319	0	0	0	0.0111591057691131	1	2	0	0	0	1	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832711362758976	0.00848043897747072	0.0121992725341852	0.00252981293775523	-0.143048339402204	R_Bin_1
non-regulated	Abemaciclib:Q9C000	Abemaciclib	Q9C000	0.00749829825941175	-0.991807809723947	1.00000007825327	587.25642361948	587.25642361948		TRUE	0.999773417857	0.00961787077649665	-36.3352024490938	-35.2939997952341	0.0150025921389066	1	0.0324439973942023	0.0210807325503972	0	0	0	1	1	1	1	0	0	NACHT, LRR and PYD domains-containing protein 1	590539387	NLRP1	0.857804658345129	0.00551803087478579	0.0364867307907434	-0.00648831615916112	-0.1462403635638	R_Bin_1
non-regulated	Abemaciclib:Q9H8G2	Abemaciclib	Q9H8G2	0.00775382479774365	-0.979164705925366	0.999999555127128	660.588429408713	660.588429408713	172829.930496154	TRUE	0.993265507960461	0.052237988878879	-16.028957497165	-14.9877548433052	0.022075115265439	1	0	0.0882999450159471	0	0	0	2	0	1	1	0	0	Caspase activity and apoptosis inhibitor 1	21309353.8	CAAP1	0.284133316175524	0.026491856308178	0.0441493199692763	-6.82668775975337e-06	-0.145379998429027	R_Bin_1
non-regulated	Abemaciclib:Q9H4G0	Abemaciclib	Q9H4G0	0.000408829104674697	-0.940558390331764	0.986658568735928	672.46620972854	672.46620972854		TRUE	0.99181754582905	0.057578179283961	-14.860953366583	-13.8197507127233	0.0236522578630524	1	0	0	0.0886591374182074	0	0	1	0	0	1	0	0	Band 4.1-like protein 1	9347764	EPB41L1	0.134216960494145	0.0241058108095724	0.0247861390186006	0.0225183755960172	-0.140324024645194	R_Bin_1
non-regulated	Abemaciclib:P11912	Abemaciclib	P11912	0.0089588057938957	-0.975933156407763	0.999999557077787	657.519498380965	657.519498380965	181488.634105186	TRUE	0.991017669751694	0.0602411997562334	-14.3183993404126	-13.2771966865529	0.0254590032712067	1	0	0.101828714870293	0	0	0	1	0	1	0	0	0	B-cell antigen receptor complex-associated protein alpha chain	19013310	CD79A	0.262257109767083	0.0305537106098497	0.0509179313788378	-1.18188625555238e-05	-0.14576653471058	R_Bin_1
non-regulated	Abemaciclib:Q9H019	Abemaciclib	Q9H019	0.00904305967265892	-0.975639162113399	0.999999613119612	652.258529199956	652.258529199956	178193.136422751	TRUE	0.990849161702726	0.060797869646607	-14.2080203393844	-13.1668176855247	0.0256943380194365	1	0	0.102769723990592	0	0	0	1	0	1	1	0	0	Mitochondrial fission regulator 1-like	35438781	MTFR1L	0.37678548449363	0.0308361894113857	0.0513886051812907	-1.21275480718941e-05	-0.145793420685445	R_Bin_1
non-regulated	Abemaciclib:Q9BYT3	Abemaciclib	Q9BYT3	0.000518833552483563	-0.613498808266168	0.673960569660535	675.020111965836	675.020111965836		TRUE	0.86693966265622	0.234984520328116	2.01555835716667	3.0567610110264	0.030742027132948	1	0	0.0103734173952876	0	0	0	1	0	1	0	0	0	Serine/threonine-protein kinase 33	74915752	STK33	0.526959207309227	0.0303575090662377	0.0317033214058146	0.0297807313405699	-0.143153526211294	R_Bin_1
non-regulated	Abemaciclib:O00481	Abemaciclib	O00481	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Butyrophilin subfamily 3 member A1	0	BTN3A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:O14917;Q9NPG4	Abemaciclib	O14917;Q9NPG4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protocadherin-17	0	PCDH17;PCDH12	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:O75387	Abemaciclib	O75387	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Large neutral amino acids transporter small subunit 3	0	SLC43A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:O75618	Abemaciclib	O75618	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	1	Death effector domain-containing protein	0	DEDD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:O95415	Abemaciclib	O95415	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Brain protein I3	0	BRI3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:O95996	Abemaciclib	O95996	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Adenomatous polyposis coli protein 2	0	APC2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:P01009	Abemaciclib	P01009	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-1-antitrypsin	0	SERPINA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:P08910	Abemaciclib	P08910	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Monoacylglycerol lipase ABHD2	0	ABHD2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:P10073	Abemaciclib	P10073	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger and SCAN domain-containing protein 22	0	ZSCAN22	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:P78337	Abemaciclib	P78337	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pituitary homeobox 1	0	PITX1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Abemaciclib:Q06828	Abemaciclib	Q06828	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fibromodulin	0	FMOD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
