.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	MLN-8054:P07205	MLN-8054	P07205	-5.94646443224951	0.250979391222503	11.7141233782268	702.975883870373	702.975883870373	1994.31956578535	FALSE	0.995256132107748	0.612395638911546	13.5098651742152	14.5510678280749	2.8951344811348	1	0	0	0	10.4589959201884	11.7140244450291	1	0	0	0	1	1	Phosphoglycerate kinase 2	3953681	PGK2	0.0436065153264076	0.250979391282139	0.250979391222503	11.714121783538	2.42706028530602	R_Bin_1
up, low confidence	MLN-8054:Q6NSI4	MLN-8054	Q6NSI4	-4.10945900526746	0.948040351856578	15.1116120945539	4016.34818094642	4016.34818094642	82464.7515866626	FALSE	0.999972345622464	0.0469414520219433	-17.3118638529818	-16.2706611991221	2.07839857033086	1	0.941087544600479	0.907564183619716	0.943512643797438	0.994633428588813	14.7857561012834	2	1	1	3	1	2	RPA-related protein RADX	5262997.4	RADX	0.0542516352443247	0.00574207427504969	0.948040351856578	14.7857561841617	1.97501047481599	R_Bin_1
non-regulated	MLN-8054:P98160	MLN-8054	P98160	0.000404933429071641	-1.01658124500965	1.01644850408192	692.835140134167	692.835140134167		TRUE	0.999663549531619	0.0118331728205781	-33.8477952160411	-32.8065925621814	0.000568948344079295	1	0	0	0.00294121543876017	0	0	1	0	0	1	0	0	Basement membrane-specific heparan sulfate proteoglycan core protein	31805336.3333333	HSPG2	0.300628446838528	0.00104284423508538	0.00175368682219279	-0.000615791284474421	-0.142773108130321	R_Bin_1
non-regulated	MLN-8054:Q96Q42	MLN-8054	Q96Q42	-7.77418522015191e-07	1.00001793631928	-0.989638807139463	9.94397516516035e+119	9.94397516516035e+119		TRUE	0.999998676238816	0.000738765639916606	-67.1319718116223	-66.0907691577626	0.0052950756885885	1	0.00491627866014723	0.00486256738428831	0.00597679443198619	0.0056695404233096	0.00490207541863627	4	3	3	1	2	5	Alsin	27879058740.5	ALS2	0.997691419776837	0.000411863879782744	0.00529730170695453	0.00529284967022636	-0.142060446016275	R_Bin_1
non-regulated	MLN-8054:Q15582	MLN-8054	Q15582	0.000398993388578862	-0.988435562146835	1.00004098196372	640.267159600481	640.267159600481		TRUE	0.998958181139325	0.0207093858343081	-27.1316331017511	-26.0904304478914	0.00639933966255386	1	0	0	0.0326916481809242	0	0	1	0	0	1	0	0	Transforming growth factor-beta-induced protein ig-h3	92919263	TGFBI	0.504681287674747	0.00685605096478015	0.00754111676972979	0.00525756150646795	-0.141923095766259	R_Bin_1
non-regulated	MLN-8054:Q71UM5	MLN-8054	Q71UM5	0.000356891624971194	-0.982016668415895	0.99999271062136	654.917571151986	654.917571151986		TRUE	0.997725974001246	0.0305194415147109	-22.478310448137	-21.4371077942772	0.009523959709784	1	0	0	0.0482271474546349	0	0	1	0	0	1	0	1	40S ribosomal protein S27-like	42859863	RPS27L	0.357829934590227	0.00993115024065655	0.0105419352135503	0.00850598345215814	-0.141479224358439	R_Bin_1
non-regulated	MLN-8054:Q96N96	MLN-8054	Q96N96	0.000587609724216783	-0.982874805025286	1.00178071813503	652.123296467219	652.123296467219		TRUE	0.997525084827025	0.0318291856031482	-21.9740734735137	-20.9328708196539	0.0103352917577947	1	0	0	0.0502307883639722	0	0	1	0	0	1	0	0	Spermatogenesis-associated protein 13	10858221	SPATA13	0.12043093497499	0.0110066117290644	0.0120135880094705	0.00865699214167526	-0.141421977475315	R_Bin_1
non-regulated	MLN-8054:O75864	MLN-8054	O75864	0.0140082421876343	-0.995422261837429	1.00000132335039	721.976553416249	721.976553416249		TRUE	0.996807214423397	0.0360016389902012	-20.4959037560937	-19.454701102234	0.0241337615726141	1	0.0804799588671172	0	0	0	0	1	2	1	1	0	1	Protein phosphatase 1 regulatory subunit 37	65675449	PPP1R37	0.435423880979864	0.0241441756993394	0.0642957800215461	-0.0160755360497881	-0.149755425045753	R_Bin_1
non-regulated	MLN-8054:O94916	MLN-8054	O94916	0.0148831526549587	-0.996670957547323	1.00000188555465	800.952609557397	800.952609557397		TRUE	0.99638625463785	0.0382781434193385	-19.7601285505023	-18.7189258966425	0.0256567652389939	1	0.0855648122923233	0	0	0	0	1	1	0	0	0	0	Nuclear factor of activated T-cells 5	12555945	NFAT5	0.140310375785559	0.025669674729931	0.0683425504176466	-0.0170876235661223	-0.150191269625056	R_Bin_1
non-regulated	MLN-8054:Q17R89	MLN-8054	Q17R89	0.00960135222137704	-0.974274626434269	1.00000368679948	659.834231925007	659.834231925007	210610.5513686	TRUE	0.989691122078908	0.0644911690951768	-13.5003377210958	-12.4591350672361	0.0272572567039556	1	0	0.109013050224916	0	0	0	1	0	1	0	0	0	Rho GTPase-activating protein 44	9539337	ARHGAP44	0.0999102218802103	0.0327127420454525	0.0545167010150069	-1.6831755428881e-05	-0.145971801434998	R_Bin_1
non-regulated	MLN-8054:O14977	MLN-8054	O14977	0.000401782792033008	-0.930587095295565	0.984869143578769	672.643808548621	672.643808548621		TRUE	0.988804947302858	0.0672413393251164	-12.9992186121697	-11.9580159583099	0.027729253671319	1	0	0	0.103568153981352	0	0	1	0	0	1	0	0	Antizyme inhibitor 1	146037743	AZIN1	0.588431447992818	0.0281722694035892	0.0288367918597185	0.0266217144342653	-0.13989805274339	R_Bin_1
non-regulated	MLN-8054:Q86YN1	MLN-8054	Q86YN1	0.00588081161069278	-0.955088196203453	0.999999815375297	510.411931539252	510.411931539252	156738.751274944	TRUE	0.993588019357865	0.0504612293256706	-16.4442136716499	-15.4030110177901	0.0304494862007899	1	0	0.0661524439587262	0.0695510423959538	0	0	1	0	1	1	0	0	Dolichyldiphosphatase 1	104206523	DOLPP1	0.524560728485315	0.0363847176974417	0.04699151254145	0.0139044074892885	-0.142760040044651	R_Bin_1
non-regulated	MLN-8054:Q9HBK9	MLN-8054	Q9HBK9	-2.03091334321122e-05	0.999868172916707	-0.936639727263661	8761952840260450	8761952840260450		TRUE	0.995240073151556	0.0432148563506541	-18.3044653375549	-17.2632626836951	0.0319411957249206	1	0.0615669831194872	0	0	0.0383628887434593	0.0597628730719417	1	1	0	0	1	1	Arsenite methyltransferase	116923876	AS3MT	0.546748749519046	0.0307608520868928	0.0319977944067033	0.0318845970416486	-0.136308511936239	R_Bin_1
non-regulated	MLN-8054:A6NCN2	MLN-8054	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	MLN-8054:O00423	MLN-8054	O00423	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Echinoderm microtubule-associated protein-like 1	0	EML1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	MLN-8054:O14715;Q99666	MLN-8054	O14715;Q99666	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	RANBP2-like and GRIP domain-containing protein 8	0	RGPD8;RGPD5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	MLN-8054:O60243	MLN-8054	O60243	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Heparan-sulfate 6-O-sulfotransferase 1	0	HS6ST1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	MLN-8054:O75387	MLN-8054	O75387	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Large neutral amino acids transporter small subunit 3	0	SLC43A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	MLN-8054:O75954	MLN-8054	O75954	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetraspanin-9	0	TSPAN9	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
