.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Tucidinostat:P56749	Tucidinostat	P56749	-6.80251476411732	1.70541052326668	281.264464731384	7865.37618279036	7865.37618279036		FALSE	0.999501774708454	3.37073064491892	33.9759403659393	35.017143019799	8.19473149626481	1	0	1.77044664999093	5.75562000296992	0	235.593554533944	1	0	1	1	0	1	Claudin-12	4160172	CLDN12	0.0507006369426752	1.20541052326668	1.70541052326668	235.593652074155	33.62722702922	R_Bin_1
non-regulated	Tucidinostat:O15021	Tucidinostat	O15021	-14.1188201503212	0.624745953014492	9.97827164083862	269.497001530581	269.497001530581	40505.4772848522	FALSE	0.859132028855203	3.08854733626455	32.926796364459	33.9679990183187	3.56106485402379	1	1.54701836767075	0	0	12.9200479174622	7.03681377620751	1	2	0	0	1	1	Microtubule-associated serine/threonine-protein kinase 4	3430355.66666667	MAST4	0.0467515923566879	0.773513083536976	0.624745953014492	9.97827164083862	1.83723307229748	R_Bin_1
non-regulated	Tucidinostat:Q96BF3	Tucidinostat	Q96BF3	0.000196718213373343	-0.957645371827179	1.00210845051226	731.157086376054	731.157086376054	122541.967769992	TRUE	0.987138984329065	0.0720014667926458	-12.1784394440544	-11.1372367901947	0.0225342442792857	1	0	0	0.11381403692177	0	0	1	0	0	1	0	0	Transmembrane and immunoglobulin domain-containing protein 2	24865844	TMIGD2	0.289936305732484	0.0227561669957954	0.0230890509308109	0.0219794374983978	-0.139605313230807	R_Bin_1
non-regulated	Tucidinostat:Q6AHZ1	Tucidinostat	Q6AHZ1	0.000401366839002038	-0.93009719880972	0.984788089112133	672.654236639416	672.654236639416		TRUE	0.988637361870505	0.0677375872215029	-12.9109825928232	-11.8697799389634	0.0279328935295564	1	0	0	0.104338391660911	0	0	1	0	0	1	0	1	Zinc finger protein 518A	26425334.3333333	ZNF518A	0.300636942675159	0.0283753187063637	0.0290389553331776	0.0268268306808414	-0.139876045952545	R_Bin_1
non-regulated	Tucidinostat:P52741	Tucidinostat	P52741	0.00053110588999196	-0.613559154407704	0.674016943708339	675.030714441477	675.030714441477		TRUE	0.866982082516095	0.234943477964588	2.01346225578356	3.05466490964329	0.0307521816924123	1	0	0.0104535232682731	0	0	0	1	0	1	0	0	0	Zinc finger protein 134	83809052	ZNF134	0.518471337579618	0.0303585326860576	0.0317363032493546	0.0297680585054047	-0.143155814950522	R_Bin_1
non-regulated	Tucidinostat:Q9P227	Tucidinostat	Q9P227	0.0125425716988267	-0.970587227348627	1.00002718119265	980.44411413164	980.44411413164	134338.168977549	TRUE	0.982155613860989	0.0846078483766974	-10.2423529425651	-9.20115028870538	0.0359274538543306	1	0	0.143156312048821	0	0.000970043300875756	0	1	0	1	0	1	0	Rho GTPase-activating protein 23	37165774	ARHGAP23	0.366369426751592	0.0430402384576848	0.07144715048489	0.000370952778036671	-0.146864176632748	R_Bin_1
non-regulated	Tucidinostat:P27987	Tucidinostat	P27987	0.0139989033110306	-0.971215824293148	1.00000565514886	823.943580940993	823.943580940993	139193.430321724	TRUE	0.995128649448351	0.0439260099545276	-18.1085978170428	-17.067395163183	0.0368702757901504	1	0.0794031499252879	0	0.0652904799644192	0	0	1	1	0	1	0	0	Inositol-trisphosphate 3-kinase B	14207181	ITPKB	0.184713375796178	0.0275355769545646	0.0765161914866056	-0.00282421831834101	-0.147797684851756	R_Bin_1
non-regulated	Tucidinostat:A5D8V7	Tucidinostat	A5D8V7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Coiled-coil domain-containing protein 151	0	CCDC151	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tucidinostat:O15503	Tucidinostat	O15503	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Insulin-induced gene 1 protein	0	INSIG1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tucidinostat:O43739	Tucidinostat	O43739	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cytohesin-3	0	CYTH3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
