.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	LMK235:P02545	LMK235	P02545	-1.28064299711164	0.936355248433947	9.02606327497588	1241.63623236836	1241.63623236836	64.0989432752106	FALSE	0.999853875849049	0.0591780866654635	-14.5320615469574	-13.4908588930977	2.43935422960968	1	0.884423081371272	0.940497929852994	1.24732938676943	4.42404387819087	8.50294673624863	3	2	2	5	11	12	Prelamin-A/C	36368050.1666667	LMNA	0.365245984570634	0.00730172234926546	0.936401484953547	8.5029105920201	1.38401221510338	R_Bin_1
up	LMK235:P53814	LMK235	P53814	-1.1681997803879	0.955545308448602	8.15983090324061	1206.43820329277	1206.43820329277	108.824650839334	FALSE	0.999573287954406	0.0889204526170624	-9.64577118427671	-8.60456853041699	2.32281425155298	1	0.85794663894765	1.04447867866778	1.31996092473144	4.16526406597154	7.59812554894948	2	3	4	2	5	7	Smoothelin	24997790.6	SMTN	0.294802074111547	0.0262056257730713	0.955668213624393	7.5983131256924	1.23394463633951	R_Bin_1
up	LMK235:P52943	LMK235	P52943	-1.97621676894142	0.59424362530459	8.90472909574019	1094.25121588521	1094.25121588521	331.606909313238	FALSE	0.990431315855353	0.526692292754181	11.7007205843705	12.7419232382303	2.19640573571623	1	0	0.787426638478272	0.663118689014964	4.38071304005853	8.80113746424993	1	0	1	1	1	1	Cysteine-rich protein 2	6656978.5	CRIP2	0.0835968129505502	0.0981787257932917	0.594243711892163	8.80115133285291	1.48638624262748	R_Bin_1
up	LMK235:Q14764	LMK235	Q14764	-1.97562457454883	1.02863884887408	5.02285976318666	380.034155791946	380.034155791946	27.888445580652	FALSE	0.999675238568269	0.0542304175504183	-15.5797738098723	-14.5385711560126	2.16358552476636	1	0.995700073699376	1.09468251186794	1.29375000150709	4.50874094969729	5.01630232062646	2	2	2	3	11	10	Major vault protein	25569060.2	MVP	0.298596180599469	0.015081135248788	1.0286391869751	5.01662218468801	0.880562906307577	R_Bin_1
up	LMK235:Q96CV9	LMK235	Q96CV9	-0.676692932400827	0.366747654669238	5.20211562462055	157.437194600616	157.437194600616	205.017283411746	FALSE	0.925852425767877	0.823162757582558	17.0591699743767	18.1003726282364	2.14245099655421	1	0	1.63509147480941	1.98969024231899	4.43968000591513	4.78611785232648	1	0	2	2	4	4	Optineurin	5914038.33333333	OPTN	0.0719615530542557	0.472890178362518	0.399708552057213	4.92731712548755	0.93154937276821	R_Bin_1
non-regulated	LMK235:P49796	LMK235	P49796	0.00040076408301829	-1.14893407405897	1.11151284626576	418.534112912135	418.534112912135	7209.07748909473	TRUE	0.972509742074048	0.105734652552262	-7.56748520082227	-6.52628254696255	-0.0181256524545891	1	0	0	0	0	0.0733553512955499	1	0	0	0	0	1	Regulator of G-protein signaling 3	4805387.5	RGS3	0.0605792335904894	0.0186471335229439	-0.0168219504590896	-0.0194293554876361	-0.132377806957779	R_Bin_1
non-regulated	LMK235:Q92835	LMK235	Q92835	0.00062634590123027	-0.99092035836342	0.981108252394803	259.432961424178	259.432961424178	1618.72641053677	TRUE	0.998353767276783	0.0260262698628963	-24.38940044791	-23.3481977940502	-0.00425616162560961	1	0	0	0	0.0168100584884193	0.0154446514329082	1	0	0	0	1	2	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	670432807.333333	INPP5D	0.855823953458961	0.013045019572455	-0.00247861028083451	-0.00603371578598888	-0.139209901924863	R_Bin_1
non-regulated	LMK235:Q96FB5	LMK235	Q96FB5	0.000658238638859014	-0.974336680872401	1.00192220141247	652.897204165397	652.897204165397		TRUE	0.99487025395066	0.0456819010274188	-17.6382511671729	-16.5970485133132	0.014777353253977	1	0	0	0.0721488596781571	0	0	1	0	0	1	0	0	Protein RRNAD1	13052250	RRNAD1	0.176678892120906	0.0155261821609456	0.0166494203739495	0.0129052814228651	-0.140795746866338	R_Bin_1
non-regulated	LMK235:O15085	LMK235	O15085	0.000543735363406999	-0.970604172298383	1.01713396102053	603.004070852459	603.004070852459		TRUE	0.995039603916749	0.044606749786279	-17.9240550783012	-16.8828524244415	0.0240614582439521	1	0	0.0667164616707522	0.0388093221858304	0	0	1	0	1	1	0	0	Rho guanine nucleotide exchange factor 11	208338174	ARHGEF11	0.686606804097635	0.0240614581921843	0.0256168559652531	0.0225060579218987	-0.143654489699569	R_Bin_1
non-regulated	LMK235:O00444	LMK235	O00444	5.89087553631023e-05	-0.971530208468665	1.01962575239192	490.847183059231	490.847183059231	48258.531064958	TRUE	0.992820292733746	0.0534465906948087	-15.7544831292707	-14.713280475411	0.0241281862083469	1	0	0.0550271393903111	0.0754445429884228	0	0	1	0	1	1	0	0	Serine/threonine-protein kinase PLK4	56290583.5	PLK4	0.445681042114582	0.0275473303465226	0.0242969894647168	0.0239593829489005	-0.142273788468625	R_Bin_1
up	LMK235:Q53GT1	LMK235	Q53GT1	-0.283965929378422	1.00083106777934	4.02588723861135	747.48730519418	747.48730519418	2033.98232719415	FALSE	0.940433655391775	0.302332814466469	5.03966400765355	6.08086666151327	1.97361204999316	1	1.31023127360558	1.99786720218018	1.85924086851318	2.47568877516355	3.16335248010321	1	2	1	1	2	1	Kelch-like protein 22	10691966	KLHL22	0.143923106108511	0.170169147041358	1.2234510878082	3.0464652738287	0.40498595918637	R_Bin_1
non-regulated	LMK235:Q7L804	LMK235	Q7L804	0.00991780299971549	-0.973453520778485	0.999999312310617	661.382444060015	661.382444060015	167667.708261033	TRUE	0.989000394080144	0.0665948700713133	-13.1151467517167	-12.073944097857	0.0281449135008884	1	0	0.112569270590595	0	0	0	1	0	1	0	0	0	Rab11 family-interacting protein 2	15503804.5	RAB11FIP2	0.205387631212849	0.0337778203585548	0.05628962519793	-1.59432833103379e-05	-0.14607340773116	R_Bin_1
non-regulated	LMK235:A0A1B0GTU1	LMK235	A0A1B0GTU1	0.000623629283697287	-0.933745156980785	1.00168666931916	660.293737750737	660.293737750737		TRUE	0.970196043211773	0.109228444909039	-7.17737916833063	-6.1361765144709	0.0348877088628849	1	0	0	0.172677568467863	0	0	1	0	0	2	0	0	Zinc finger CCCH domain-containing protein 11B	56080082.5	ZC3H11B	0.445048691033262	0.0355825088500518	0.036624704532823	0.0331507092547085	-0.137923498043775	R_Bin_1
non-regulated	LMK235:A2RU49	LMK235	A2RU49	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Hydroxylysine kinase	0	HYKK	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:A6NNY8	LMK235	A6NNY8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ubiquitin carboxyl-terminal hydrolase 27	0	USP27X	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:C9JVW0	LMK235	C9JVW0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative transmembrane protein INAFM1	0	INAFM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O14681	LMK235	O14681	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Etoposide-induced protein 2.4 homolog	0	EI24	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O14977	LMK235	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O43325	LMK235	O43325	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	LYR motif-containing protein 1	0	LYRM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O60290	LMK235	O60290	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 862	0	ZNF862	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O60296	LMK235	O60296	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	1	0	0	1	Trafficking kinesin-binding protein 2	0	TRAK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O60299	LMK235	O60299	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leucine zipper putative tumor suppressor 3	0	LZTS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O75425	LMK235	O75425	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	1	0	0	1	Motile sperm domain-containing protein 3	0	MOSPD3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O75509	LMK235	O75509	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tumor necrosis factor receptor superfamily member 21	0	TNFRSF21	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O75973	LMK235	O75973	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	C1q-related factor	0	C1QL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O94808	LMK235	O94808	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	0	GFPT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:O95833	LMK235	O95833	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Chloride intracellular channel protein 3	0	CLIC3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P01834	LMK235	P01834	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Immunoglobulin kappa constant	0	IGKC	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P12838	LMK235	P12838	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neutrophil defensin 4	0	DEFA4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P25311	LMK235	P25311	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc-alpha-2-glycoprotein	0	AZGP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P36959	LMK235	P36959	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	GMP reductase 1	0	GMPR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P41273	LMK235	P41273	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tumor necrosis factor ligand superfamily member 9	0	TNFSF9	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P49918	LMK235	P49918	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cyclin-dependent kinase inhibitor 1C	0	CDKN1C	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P51553	LMK235	P51553	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	0	IDH3G	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:P51857	LMK235	P51857	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Aldo-keto reductase family 1 member D1	0	AKR1D1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q07889	LMK235	Q07889	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Son of sevenless homolog 1	0	SOS1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q13277	LMK235	Q13277	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Syntaxin-3	0	STX3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q13772	LMK235	Q13772	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Nuclear receptor coactivator 4	0	NCOA4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q13835	LMK235	Q13835	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Plakophilin-1	0	PKP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q14585	LMK235	Q14585	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 345	0	ZNF345	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q29983	LMK235	Q29983	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	MHC class I polypeptide-related sequence A	0	MICA	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q5R3I4	LMK235	Q5R3I4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetratricopeptide repeat protein 38	0	TTC38	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q5T2S8	LMK235	Q5T2S8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Armadillo repeat-containing protein 4	0	ARMC4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q5TF39	LMK235	Q5TF39	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Sodium-dependent glucose transporter 1	0	MFSD4B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q6H8Q1	LMK235	Q6H8Q1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	1	0	0	0	2	Actin-binding LIM protein 2	0	ABLIM2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	LMK235:Q6P597	LMK235	Q6P597	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Kinesin light chain 3	0	KLC3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
