.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	R-547:Q8NB50;Q6AZW8	R-547	Q8NB50;Q6AZW8	-6.52786721800421	1.37396808260504	61.2978189754353	7876.93460813361	7876.93460813361		FALSE	0.987405720450677	3.60852891899446	34.7939882641458	35.8351909180055	2.77315142081357	0	1	5.87280270835254	0	0	50.8736250085433	1	1	1	1	1	1	Zinc finger protein 62 homolog	0	ZFP62;ZNF660	0	1.37396808261755	1.37396808260504	50.8737532824338	7.01415206669611	R_Bin_1
up	R-547:Q9C0D5	R-547	Q9C0D5	-6.47102013643344	1.17473027491883	11.0864070907163	2319.92072247814	2319.92072247814	53523.8798147548	FALSE	0.987794121553557	0.710543978373859	15.2936927856406	16.3348954395003	2.43332509292629	1	1.14092189860992	0.587959604567489	1.97082760308615	1.21628799633543	11.0856264064944	2	1	1	3	2	1	Protein TANC1	23738451.2	TANC1	0.297044902136369	0.10426932561387	1.17473027491883	11.0856307058664	1.48677423783335	R_Bin_1
up	R-547:Q96S99	R-547	Q96S99	-0.327142662778139	0.988778266283619	3.17556218839518	23.2682370236665	23.2682370236665	53.8313536564169	FALSE	0.968464262398314	0.205608254666852	0.41299484799678	1.45419750185651	2.12503556383706	1	1.46559922842163	2.13128716975506	2.16435113792483	2.75007785560349	2.90409155547277	2	2	2	2	2	3	Pleckstrin homology domain-containing family F member 1	19481586.6666667	PLEKHF1	0.260585902520148	0.136218981245533	1.3035770773845	2.91109010660273	0.383055932202263	R_Bin_1
non-regulated	R-547:Q5JVG2;P51508;Q96RE9	R-547	Q5JVG2;P51508;Q96RE9	0.000603483965612603	-0.999924042539971	1.00401348265859	693.360670372623	693.360670372623		TRUE	0.999945585231767	0.00475762426236587	-44.7816960659474	-43.7404934120877	0.00297823358204155	1	0	0.00421589107279958	0	0	0	2	0	1	0	0	0	Zinc finger protein 484	19694980.2	ZNF484;ZNF81;ZNF300	0.263144428809006	0.00228208029686128	0.00471861459729872	0.00123784881226718	-0.142977596887794	R_Bin_1
non-regulated	R-547:O15231	R-547	O15231	0.000419876285376571	-0.995090661140257	0.999989309891067	638.428588371924	638.428588371924		TRUE	0.999744854502975	0.0102787277870341	-35.5377593802759	-34.4965567264162	0.00307866385212507	1	0	0	0.0161331274228867	0	0	1	0	0	1	0	0	Zinc finger protein 185	726294451.5	ZNF185	0.873864653959319	0.00356087498286245	0.0042841903370977	0.00187313614188622	-0.142396196359346	R_Bin_1
non-regulated	R-547:Q99541	R-547	Q99541	0.00274613964977497	-0.998824956326522	1.00000000026013	651.758488159108	651.758488159108	10.0000000090192	TRUE	0.999879455000671	0.00706556483968478	-40.0358817919095	-38.9946791380497	0.00473960042742996	1	0.0157989231356924	0	0	0	0	1	1	0	0	0	0	Perilipin-2	158746826	PLIN2	0.657541256236408	0.00473967654944696	0.012638508194693	-0.00315965311508526	-0.144211336268774	R_Bin_1
non-regulated	R-547:O00458	R-547	O00458	0.000867611173307109	-0.993142902355518	1.00000000129295	2093.01639084973	2093.01639084973	10.0000009154551	TRUE	0.999792617811503	0.00925258006821305	-36.7998480680988	-35.7586454142391	0.0052410310660025	1	0.0143469627672533	0	0	0	0.00936962482703798	1	1	0	0	0	1	Interferon-related developmental regulator 1	44479925.5	IFRD1	0.416783932454906	0.00617798467528092	0.00772963409918304	0.00275241296589801	-0.142748364690473	R_Bin_1
non-regulated	R-547:P0DMN0;P0DMM9	R-547	P0DMN0;P0DMM9	0.00284613716276464	-0.992226980336534	0.999999920885919	644.440137179058	644.440137179058	898955.258193635	TRUE	0.999094360289176	0.0193086898606169	-27.972014378118	-26.9308117242583	0.00815952209559031	1	0	0.0326377233312304	0	0	0	1	0	1	0	0	0	Sulfotransferase 1A4	234179898	SULT1A4;SULT1A3	0.722399897658948	0.00979151200274042	0.0163190015608174	-3.3960555545498e-07	-0.143789649238035	R_Bin_1
non-regulated	R-547:Q9NY46	R-547	Q9NY46	0.000625165367855733	-0.975674360191091	1.00189404497811	652.905734651382	652.905734651382		TRUE	0.995351140046561	0.0435078270057318	-18.2233870982954	-17.1821844444356	0.0140455882129464	1	0	0	0.0687131347078974	0	0	1	0	0	1	0	0	Sodium channel protein type 3 subunit alpha	10321917	SCN3A	0.147243187923756	0.0147572634428968	0.0158247718750008	0.0122664005121182	-0.140893910436917	R_Bin_1
non-regulated	R-547:Q53GT1	R-547	Q53GT1	0.00150133959531459	-0.97258860309643	0.999999987514424	95.3338757674612	95.3338757674612	122526.181833681	TRUE	0.999258574068951	0.0173428001130094	-29.2605480409425	-28.2193453870828	0.0145227033490319	1	0.0205223317998224	0	0.0238325118851734	0.0239966509953211	0	1	1	0	1	1	0	Kelch-like protein 22	524317267	KLHL22	0.839452475374185	0.011145936082217	0.0187846413149024	0.0102607450462475	-0.141878415157952	R_Bin_1
non-regulated	R-547:Q9BYT3	R-547	Q9BYT3	0.00799524861705408	-0.978522956110351	0.999999559346356	660.498729860731	660.498729860731	169371.241301226	TRUE	0.992840331628808	0.0538451468039179	-15.6653300328697	-14.6241273790099	0.0227543713468908	1	0	0.0910166938261518	0	0	0	1	0	1	0	0	0	Serine/threonine-protein kinase 33	19714872	STK33	0.263528207752335	0.0273071414338338	0.0455078100882413	-7.54666125768466e-06	-0.145457619823604	R_Bin_1
