.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Mocetinostat:Q8N165	Mocetinostat	Q8N165	-6.29595863600783	0.530496954876377	377.156005803909	7480.53602597376	7480.53602597376	6817.508377393	FALSE	0.999988690899795	0.704309230159653	15.1879327500383	16.229135403898	10.8316831154635	1	0	0.953171863775227	0.70050613052063	0	324.984279441568	1	0	1	1	0	1	Serine/threonine-protein kinase PDIK1L	5402951.75	PDIK1L	0.0669959473150963	0.446088977011236	0.530496954876377	324.983943501306	46.2762494707024	R_Bin_1
up	Mocetinostat:Q9H1B5	Mocetinostat	Q9H1B5	-0.88067229728803	1.31778606707503	12.1118043328096	11.7616287216881	11.7616287216881	7.19674186251815	FALSE	0.975644719539707	1.20271320937155	21.609346161049	22.6505488149087	7.62883007092451	1	2.97269192470318	5.84879649664832	11.469576159841	10.7662923080255	12.6861942411908	1	1	1	1	1	1	Xylosyltransferase 2	2884531	XYLT2	0.0477456940222898	0.576094627569455	1.47748657353934	12.0834849306498	2.49807291483182	R_Bin_1
up	Mocetinostat:Q13885;Q9BVA1	Mocetinostat	Q13885;Q9BVA1	-64.8013852463971	0.339064476995228	19.9178883952351	524.017431633461	524.017431633461	10	FALSE	0.956147221565303	3.42355379241072	34.162535598392	35.2037382522517	5.35476009434931	1	0.117237667418942	0.118726790466405	0.120290964172128	23.2986417296658	16.5371348422885	2	3	2	2	1	2	Tubulin beta-2A chain	509671262.833333	TUBB2A;TUBB2B	0.821175278622087	0.441381166290529	0.339064476995228	19.9178883952351	4.20661287348254	R_Bin_1
up	Mocetinostat:Q15811	Mocetinostat	Q15811	-4.02090744561898	1.10706469143195	19.5886165417152	3581.21537520533	3581.21537520533		FALSE	0.999051077867734	0.36141479000242	7.18163828293623	8.22284093679595	2.76337033548048	1	0.796813378516801	1.49799405674984	1.13347223216922	1.21582461973432	19.2957963057872	1	1	1	2	1	1	Intersectin-1	30002680.6	ITSN1	0.326367781155015	0.0667309029897703	1.10706469143195	19.2957969655576	2.63918552651451	R_Bin_1
non-regulated	Mocetinostat:P27987	Mocetinostat	P27987	0.00576917537572394	-0.984503894416768	0.999999856807335	666.584944696664	666.584944696664	287844.077186459	TRUE	0.996271651130725	0.0389779619832201	-19.5427204264787	-18.501517772619	0.0164718842022279	1	0	0.0658854549189182	0	0	0	1	0	1	0	0	0	Inositol-trisphosphate 3-kinase B	14207181	ITPKB	0.18984295845998	0.0197670657352116	0.0329438574540607	-3.29496568640675e-06	-0.144739584426255	R_Bin_1
non-regulated	Mocetinostat:O60674	Mocetinostat	O60674	0.00976691434423028	-0.973836739623924	1.00000361389905	659.779537976334	659.779537976334	201232.387163948	TRUE	0.989334028037703	0.0655873233069594	-13.2980881151453	-12.2568854612856	0.0277205336291966	1	0	0.11086605018817	0	0	0	1	0	1	0	0	0	Tyrosine-protein kinase JAK2	38032205	JAK2	0.375506585612969	0.0332688455532281	0.0554431697136124	-1.75129772679306e-05	-0.146024744291091	R_Bin_1
non-regulated	Mocetinostat:Q96BR9	Mocetinostat	Q96BR9	0.0181114939717006	-0.994153356200576	1.00000401651428	725.51835962417	725.51835962417		TRUE	0.994637394730161	0.0465363302112599	-17.415877706312	-16.3746750524523	0.0311810144938806	1	0.104010449408928	0	0	0	0	1	1	0	0	0	0	Zinc finger and BTB domain-containing protein 8A	7041505.33333333	ZBTB8A	0.0910587639311044	0.0312035224766423	0.0830180308721837	-0.020758147240779	-0.151772324235051	R_Bin_1
non-regulated	Mocetinostat:F8VTS6;A6NLU0	Mocetinostat	F8VTS6;A6NLU0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ret finger protein-like 4A-like protein 1	0	RFPL4AL1;RFPL4A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Mocetinostat:O15516	Mocetinostat	O15516	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Circadian locomoter output cycles protein kaput	0	CLOCK	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Mocetinostat:O75326	Mocetinostat	O75326	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	1	0	0	0	1	Semaphorin-7A	0	SEMA7A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
