.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Molibresib:Q567V2	Molibresib	Q567V2	-2.35308937749178	0.608028687413758	19.1423771634948	1036.85732953977	1036.85732953977	102.562933821198	FALSE	0.99805841441672	0.534664708933983	11.8810007226843	12.922203376544	4.26104016101833	1	0	0.828299773356786	0.678908939753561	9.48084571212738	19.0532824883019	1	0	1	2	1	1	Mpv17-like protein 2	12355467.4	MPV17L2	0.178852353320438	0.112120787620721	0.608028693999908	19.0532964262273	3.38741596412253	R_Bin_1
non-regulated	Molibresib:Q9BZ72	Molibresib	Q9BZ72	-21.168010380129	0.570525212317171	12.3944984902788	360.479696468702	360.479696468702		FALSE	0.99162511404424	0.887224429991626	17.9584983253957	18.9997009792554	3.98370552456319	1	0	1.28210087417214	0	12.7354878155372	12.0535086026791	1	0	1	0	1	1	Membrane-associated phosphatidylinositol transfer protein 2	8916206	PITPNM2	0.124693745970342	0.5	0.570525212317171	12.3944984902788	2.63405444530957	R_Bin_1
up	Molibresib:Q6PGQ7	Molibresib	Q6PGQ7	-8.55123231693506	0.335485698766689	6.91476589987026	34.1524427468364	34.1524427468364	664.369501741913	FALSE	0.907368129811831	1.82106061164641	26.587415032655	27.6286176865147	3.58115635270333	0	1	0	7.00230521595136	5.14526578027272	8.59607775374647	0	1	0	2	1	2	Protein aurora borealis	0	BORA	0	0.500090307322977	0.335485698766689	6.91476589987026	1.78338546644291	R_Bin_1
non-regulated	Molibresib:O94876	Molibresib	O94876	-15.3267265285052	0.200002040179151	27.8082329063481	4156.91500654402	4156.91500654402		FALSE	0.998742092784867	0.632455526309572	13.8966415127355	14.9378441665953	2.30735246278956	0	0	0	0	1	27.8081932014594	0	0	0	0	1	2	Transmembrane and coiled-coil domains protein 1	0	TMCC1	0	0.200002040179151	0.200002040179151	27.8081932742059	4.0583133144942	R_Bin_1
up	Molibresib:Q8NAN2	Molibresib	Q8NAN2	-6.0727655606163	0.483292141890046	3.46304284787766	8.72622294084044	8.72622294084044	41.6818409895502	FALSE	0.865055900343841	0.909261320613862	18.2529130762341	19.2941157300938	2.30634050318131	1	0	2.55660802410895	3.91783245192041	2.5865417943656	3.88477705062368	1	0	1	1	1	1	Mitoguardin 1	3580920	MIGA1	0.0460348162475822	0.469044306069177	0.483292141894921	3.46304284787766	0.672706716115047	R_Bin_1
up	Molibresib:O75446	Molibresib	O75446	-188.497857055411	0.987102678830027	6.7751011238389	745.325953571729	745.325953571729	10	FALSE	0.968269277232515	0.855266793219969	17.5182841742004	18.5594868280601	2.29279197760162	1	1.53852113945552	1.41644706827674	0	6.7786797639641	6.77152263398271	3	3	1	1	2	2	Histone deacetylase complex subunit SAP30	48014140.5	SAP30	0.433655705996132	0.221120855308343	0.987102678830027	6.7751011238389	1.23318977071893	R_Bin_1
up	Molibresib:Q9NPB0	Molibresib	Q9NPB0	-1.37791027478346	1.19590541371138	3.78527330987877	108.048511525674	108.048511525674	29.2644954872215	FALSE	0.988691182736752	0.207414870802747	0.517974596390321	1.55917725025005	2.21460453928922	1	1.29357821922198	1.4110430203019	2.38499305277222	3.78542355457272	3.68251489086744	1	3	3	3	2	2	SAYSvFN domain-containing protein 1	7379249.5	SAYSD1	0.101611863313991	0.106581352541125	1.1960764587856	3.78022844055026	0.624630299795992	R_Bin_1
up	Molibresib:O60268	Molibresib	O60268	-5.87886184792193	1.22415483019708	5.83937725131565	887.997999723782	887.997999723782	2302.42752585534	FALSE	0.888981810088103	1.14329747494286	21.0013853205177	22.0425879743775	2.19508472560015	1	2.05039638183936	1.84282491124045	0	4.30629952107989	5.83939050719671	1	2	2	1	2	3	Uncharacterized protein KIAA0513	10161056.5	KIAA0513	0.145325596389426	0.421412455612121	1.22415483019708	5.83937421706325	0.832052486927563	R_Bin_1
non-regulated	Molibresib:Q5SXM2	Molibresib	Q5SXM2	-5.04048948706363	0.287513958073316	66.8935198101766	7525.87733975794	7525.87733975794	31805.4314807702	FALSE	0.999678128147788	0.62285487590896	13.7130852370273	14.754287890887	2.18258289659932	1	0.42462287001117	0	0	0	54.060023793158	1	1	0	0	0	1	snRNA-activating protein complex subunit 4	5575647	SNAPC4	0.0710509348807221	0.287513969653643	0.287513958073316	54.059955377141	7.54360715302162	R_Bin_1
non-regulated	Molibresib:P38435	Molibresib	P38435	-5.49786091075747	0.196288782725366	65.6583329353327	7326.74811162815	7326.74811162815	46278.8595324399	FALSE	0.999687477403297	0.632661751007827	13.9005537135178	14.9417563673775	2.14199763083188	1	0	0	0	0	55.6330351043956	1	0	0	0	0	1	Vitamin K-dependent gamma-carboxylase	4734463	GGCX	0.0598323662153449	0.196288784553206	0.196288782725366	55.6330086726388	7.80471930062794	R_Bin_1
