.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Cyclophosphamid:P07996	Cyclophosphamid	P07996	-4.75005251572157	0.945544126754283	11.3864088806867	2410.64062831799	2410.64062831799		FALSE	0.998198809449064	0.285123353818566	4.33638554934126	5.37758820320098	2.23676468436397	1	0.940705573642294	0.639341826045692	1.20214383277171	1.10292693901722	11.374294193395	1	1	1	2	2	1	Thrombospondin-1	5991119	THBS1	0.0764115432873275	0.0296472131788534	0.945544126754283	11.3742937240641	1.51202677342359	R_Bin_1
non-regulated	Cyclophosphamid:Q6PFW1	Cyclophosphamid	Q6PFW1	0.00968235415772746	-0.988336049026871	1.00000857906964	723.653287516379	723.653287516379		TRUE	0.999558320469811	0.0133706327315038	-32.3819487586314	-31.3407461047717	0.0208978825581515	1	0.0486636579294146	0.0134724802403665	0.0146539529622568	0	0	2	1	1	1	1	0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	8448572.8	PPIP5K1	0.121204516938519	0.00897504724443247	0.0485822138964288	-0.00680203281132408	-0.146994557173324	R_Bin_1
non-regulated	Cyclophosphamid:Q58FF6	Cyclophosphamid	Q58FF6	-0.000142322272872478	1.00035604092235	-0.960507733957442	8177430912171490000	8177430912171490000		TRUE	0.993986811044846	0.0490583588009153	-16.7825503107023	-15.7413476568425	0.0227214521179753	1	0	0	0.0781595449644048	0.0361060092683272	0	1	0	0	1	1	0	Putative heat shock protein HSP 90-beta 4	296966754	HSP90AB4P	0.754579673776663	0.0228820991176245	0.0231230691314444	0.0223198344787777	-0.137529212206589	R_Bin_1
non-regulated	Cyclophosphamid:Q13794	Cyclophosphamid	Q13794	0.00949136547367663	-0.974565654064447	1.0000037334649	659.870984796336	659.870984796336	217476.452402381	TRUE	0.989925066721021	0.0637626318495165	-13.636669602368	-12.5954669485083	0.0269493566306813	1	0	0.107781493437608	0	0	0	1	0	1	0	0	0	Phorbol-12-myristate-13-acetate-induced protein 1	13131317.3333333	PMAIP1	0.19711417816813	0.0323431519949183	0.0539009587937083	-1.63947957005917e-05	-0.145936614098217	R_Bin_1
non-regulated	Cyclophosphamid:O43313	Cyclophosphamid	O43313	0.0179006223059219	-0.994057288145868	1.00000372155144	718.809557433152	718.809557433152		TRUE	0.994763513017958	0.0459914270232925	-17.5572172144616	-16.5160145606019	0.0308165661085375	1	0.102793841678069	0	0	0	0	1	1	0	0	0	0	ATM interactor	11972004	ATMIN	0.180677540777917	0.0308382328318111	0.0820511428416961	-0.0205163403409421	-0.151668043572406	R_Bin_1
non-regulated	Cyclophosphamid:Q12894	Cyclophosphamid	Q12894	0.0119195262151685	-0.971787411393479	1.00000238979635	782.852910891689	782.852910891689	39634.1125359972	TRUE	0.999405148388882	0.0153533029232525	-30.7227098347201	-29.6815071808604	0.0329533134164688	1	0.0449875906234512	0.0452381635325334	0.040748790525037	0	0	1	2	1	1	0	0	Interferon-related developmental regulator 2	257651761.5	IFRD2	0.732747804265998	0.0104589283223731	0.0667361779699256	-0.000859093096114316	-0.146841489853653	R_Bin_1
non-regulated	Cyclophosphamid:O15525	Cyclophosphamid	O15525	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	1	0	0	1	Transcription factor MafG	0	MAFG	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cyclophosphamid:O60299	Cyclophosphamid	O60299	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leucine zipper putative tumor suppressor 3	0	LZTS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cyclophosphamid:P48668	Cyclophosphamid	P48668	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cytoskeletal 6C	0	KRT6C	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cyclophosphamid:P98177	Cyclophosphamid	P98177	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Forkhead box protein O4	0	FOXO4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
