.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	AMG-900:Q96GS6	AMG-900	Q96GS6	-5.66828296040503	0.198879695693267	661.483873362974	7038.45989671579	7038.45989671579	7261.17553357127	FALSE	0.999997148907388	0.634132143671575	13.9284109994791	14.9696136533388	21.7224299804266	0	0	0	1	0	582.007225497175	0	0	0	1	0	1	Alpha/beta hydrolase domain-containing protein 17A	0	ABHD17A	0	0.198879695693291	0.198879695693267	582.007142781325	83.1724607853107	R_Bin_1
up	AMG-900:P04792	AMG-900	P04792	-7.10817955829112	0.737403751907368	13.0884805495552	974.35996400163	974.35996400163	2006.63194117158	FALSE	0.981025927416452	1.15181711685794	21.0904755759117	22.1316782297714	3.23621990114518	1	1.96087351315114	0	0	7.48141129471872	13.0884583050633	1	1	0	0	2	2	Heat shock protein beta-1	3779593	HSPB1	0.0474476019030475	0.500000000000045	0.737403751907368	13.0884797490928	2.20011156771484	R_Bin_1
up	AMG-900:Q06945;P35716	AMG-900	Q06945;P35716	-4.48442234643037	1.21079793315667	11.6717569263815	2134.82887330785	2134.82887330785		FALSE	0.999190995358754	0.190807745581375	-0.483481093432618	0.557721560427108	2.61486236839443	1	1.32931582383696	1.18596918595107	1.32792668185828	1.54832816376193	11.6614834608109	2	1	3	4	1	1	Transcription factor SOX-4	16957449.8333333	SOX4;SOX11	0.236980840941237	0.0709730318334989	1.21079793315667	11.6614832583908	1.5458974805639	R_Bin_1
up	AMG-900:P22415	AMG-900	P22415	-4.30605759075795	-0.00333856586701204	3.1687402213224	1.19600901536445	1.19600901536445	1.4158373677022	FALSE	0.964768342267752	0.427212200971514	9.18869283557874	10.2298954894385	2.48482662074118	0	1	3.28214000758035	2.66005601866899	3.2787045534205	3.45373347567189	0	2	1	1	1	1	Upstream stimulatory factor 1	0	USF1	0	0.11185146917013	-0.00326603090112768	3.1687402213224	0.670934201420274	R_Bin_1
non-regulated	AMG-900:Q9BQK8	AMG-900	Q9BQK8	8.20326501603292e-05	-1.07098687796435	1.02012757436998	693.15766308192	693.15766308192	12700.3555028491	TRUE	0.995550645492365	0.043042526163364	-18.3524140449838	-17.311211391124	-0.0252972497780202	1	0	0	0.00167737013621332	0	0	1	0	0	1	0	0	Phosphatidate phosphatase LPIN3	5784495685	LPIN3	0.986241481290986	0.0254947421069697	-0.0250503843760519	-0.0255441151898286	-0.142809217996108	R_Bin_1
non-regulated	AMG-900:Q05481;Q9P255;O75437;A6NK75	AMG-900	Q05481;Q9P255;O75437;A6NK75	0.000254515116094789	-1.0040486333529	1.00632066247407	669.033151873586	669.033151873586	7996.39228834292	TRUE	0.998948886105488	0.0208101022160259	-27.0734147080298	-26.03221205417	0.00152641257228908	1	0	0.0302847548734312	0	0	0	1	0	3	0	0	0	Zinc finger protein 91	791989046	ZNF91;ZNF492;ZNF254;ZNF98	0.885688568856886	0.00167368284868352	0.00226276361159261	0.000790061253705732	-0.143722421567812	R_Bin_1
non-regulated	AMG-900:Q9UHL0	AMG-900	Q9UHL0	0.000412841571314907	-0.995136584151721	0.999989597435134	638.422827641341	638.422827641341		TRUE	0.999750540516164	0.0101638864425277	-35.6725866206671	-34.6313839668074	0.00304531449216477	1	0	0	0.0159541945578883	0	0	1	0	0	1	0	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832840426899833	0.00351945752136923	0.00423067078959971	0.00185995703000008	-0.142401308726917	R_Bin_1
non-regulated	AMG-900:Q9BYB0	AMG-900	Q9BYB0	0.00184010549390892	-0.994955765402108	0.999999994363732	640.337000618391	640.337000618391	708891.423851386	TRUE	0.999621903335827	0.0125011614260451	-33.1888186862905	-32.1476160324308	0.00528272759807152	1	0	0.021130841299406	0	0	0	1	0	1	0	1	0	SH3 and multiple ankyrin repeat domains protein 3	243183559	SHANK3	0.737173717371737	0.00633930301751173	0.0105654776993915	-1.25728334188224e-07	-0.143460881179983	R_Bin_1
non-regulated	AMG-900:Q969R2	AMG-900	Q969R2	0.00521265989066261	-0.998092194349635	1.00000022625509	693.391549502384	693.391549502384		TRUE	0.999563729020852	0.013407576641129	-32.3488377174408	-31.3076350635811	0.00899317309158438	1	0.0299791288580738	0	0	0	0	1	1	0	0	0	0	Oxysterol-binding protein 2	66747137	OSBP2	0.503407483605503	0.0089937040981114	0.0239788034400332	-0.00599486915433745	-0.145426782473549	R_Bin_1
non-regulated	AMG-900:Q9C000	AMG-900	Q9C000	0.000665987682055109	-0.99411148418461	1.01747892810604	567.119631727681	567.119631727681		TRUE	0.998154008250189	0.0272951633690096	-23.8181630889	-22.7769604350403	0.0126505419928665	1	0.0405046442570265	0.0190463990350038	0	0	0.0230972785832703	1	1	1	0	0	1	NACHT, LRR and PYD domains-containing protein 1	590539387	NLRP1	0.857914362864858	0.0123198292223305	0.0145785107555562	0.0107225684945177	-0.143573541111135	R_Bin_1
