.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Riviciclib:Q8IZU2	Riviciclib	Q8IZU2	-2.53464211261252	0.249864326107208	37.162537935848	5403.91687926983	5403.91687926983		FALSE	0.999026446083075	0.612679937693874	13.5154347660254	14.5566374198851	2.46703245816962	1	0	0	0	0.75645379759575	30.752449413984	2	0	0	0	1	1	WD repeat-containing protein 17	7423456.6	WDR17	0.0991095625241967	0.249866518776948	0.249864326144486	30.7526356037047	4.31518881322021	R_Bin_1
up	Riviciclib:P02042;P68871;P02100;P69891;P69892	Riviciclib	P02042;P68871;P02100;P69891;P69892	-5.50841315598093	1.51902484397458	5.01262199609684	1613.39039831664	1613.39039831664		FALSE	0.947047349735014	0.527240298369789	11.7131996898377	12.7544023436974	2.07283363657004	1	2.03495105964342	1.62152873036011	1.41957228024322	1.75287874170048	5.01244719784482	1	1	1	1	1	1	Hemoglobin subunit delta	11071200.6666667	HBD;HBB;HBE1;HBG1;HBG2	0.151632468705639	0.100978613667943	1.51902484397458	5.01247093393054	0.543258931007954	R_Bin_1
non-regulated	Riviciclib:O75596	Riviciclib	O75596	0.000225486817725735	-0.989607702118807	0.999993433688919	793.679818940891	793.679818940891		TRUE	0.999381882650663	0.015972306126816	-30.2484010693825	-29.2071984155228	0.00555432624486827	1	0	0	0.0252199206111665	0	0	1	0	0	1	0	0	C-type lectin domain family 3 member A	206869738	CLEC3A	0.7022841656988	0.00581257773422883	0.00619995475072444	0.00490869753605427	-0.142136573696824	R_Bin_1
non-regulated	Riviciclib:Q99075	Riviciclib	Q99075	0.00437763472432192	-0.998214676534811	1.00000001209103	664.961443889758	664.961443889758		TRUE	0.999692800516641	0.0112601874461355	-34.4433980993466	-33.4021954454868	0.00755307781768264	1	0.0251778904643812	0	0	0	0	1	1	0	0	0	0	Proheparin-binding EGF-like growth factor	55113007.6666667	HBEGF	0.457736482126726	0.00755338810411255	0.0201397458586237	-0.00503499961529952	-0.14501524775409	R_Bin_1
non-regulated	Riviciclib:O00757;P09467	Riviciclib	O00757;P09467	0.00407619482351349	-0.989122871513414	0.999999988002498	683.135536972368	683.135536972368	385242.214759667	TRUE	0.998140016379664	0.027608230632873	-23.6813100599629	-22.6401074061032	0.0116668284394113	1	0	0.0466666671197075	0	0	0	1	0	1	0	0	0	Fructose-1,6-bisphosphatase isozyme 2	58474188	FBP2;FBP1	0.469479932894567	0.0140004806989927	0.0233336894199664	-1.17525018639153e-06	-0.14419047620342	R_Bin_1
non-regulated	Riviciclib:Q8NCM8	Riviciclib	Q8NCM8	0.000498148277833022	-0.975225996506417	1.00100099019502	253.971902098145	253.971902098145		TRUE	0.998841942713086	0.0217437330687894	-26.5467703602269	-25.5055677063671	0.0134002360589714	1	0.0331433308127946	0	0	0	0.0203995519148733	1	1	0	0	0	1	Cytoplasmic dynein 2 heavy chain 1	285032974.5	DYNC2H1	0.753129436056265	0.0134002363683026	0.0148169772956053	0.0119834934172073	-0.142783778081829	R_Bin_1
non-regulated	Riviciclib:Q96LJ7	Riviciclib	Q96LJ7	0.0116189855402265	-0.994949268086516	1.00000061552229	647.49987983654	647.49987983654		TRUE	0.997813216887299	0.0298478859428767	-22.7453091594415	-21.7041065055818	0.0200133286953237	1	0.0667298288311314	0	0	0	0	1	2	0	0	0	0	Dehydrogenase/reductase SDR family member 1	111257353.5	DHRS1	0.587301587301587	0.0200190657304268	0.0533353135165986	-0.0133347063367775	-0.14857684247124	R_Bin_1
non-regulated	Riviciclib:Q9UBU7	Riviciclib	Q9UBU7	0.00794064112938825	-0.97866807304992	0.999999558836266	660.518884041677	660.518884041677	170311.835519408	TRUE	0.992937626335983	0.0534817313268111	-15.7465958344692	-14.7053931806095	0.0226007747516825	1	0	0.090402373414129	0	0	0	1	0	1	0	0	0	Protein DBF4 homolog A	16567417.3333333	DBF4	0.222738417860369	0.0271227843497005	0.0452006220078296	-7.37997799205026e-06	-0.145440067811832	R_Bin_1
non-regulated	Riviciclib:O60237	Riviciclib	O60237	0.00995039932254391	-0.973368843857087	0.999999289559262	661.468146478389	661.468146478389	167001.517577319	TRUE	0.988928292204628	0.0668105798428534	-13.0763399486054	-12.0351372947457	0.0282360808990315	1	0	0.112933920189093	0	0	0	1	0	2	0	0	0	Protein phosphatase 1 regulatory subunit 12B	17140499.5	PPP1R12B	0.228287520970448	0.0338872555072716	0.0564719355533016	-1.60784479551479e-05	-0.146083826291117	R_Bin_1
non-regulated	Riviciclib:O60353	Riviciclib	O60353	0.000399712526023074	-0.92823039059181	0.9844853686264	672.695444233737	672.695444233737		TRUE	0.987980460781762	0.0696480086926157	-12.5772280197848	-11.5360253659251	0.0287118649975981	1	0	0	0.10730752134048	0	0	1	0	0	1	0	0	Frizzled-6	19294198	FZD6	0.252032520325203	0.0291519674390096	0.0298121199780075	0.0276116089861124	-0.139791213675986	R_Bin_1
non-regulated	Riviciclib:A6NKD9	Riviciclib	A6NKD9	0.000313641410240845	-0.886925630041012	0.945632275701743	4108.78991541115	4108.78991541115		TRUE	0.977994598227498	0.0925585163093583	-9.16458469613037	-8.12338204227064	0.0300526699817841	1	0	0.0914740506104399	0	0	0.117122907066461	1	0	1	0	0	1	Coiled-coil domain-containing protein 85C	71164752	CCDC85C	0.508968899212802	0.0459024560604521	0.0308798237261588	0.0292255154776742	-0.128738843293661	R_Bin_1
non-regulated	Riviciclib:Q9BST9	Riviciclib	Q9BST9	0.0175349010269925	-0.993728241574767	1.00000347814569	700.378510913943	700.378510913943		TRUE	0.994979678245818	0.045041822876565	-17.8075798703368	-16.766377216477	0.0301822024201724	1	0.100673702687065	0	0	0	0	1	1	0	0	0	0	Rhotekin	85634827	RTKN	0.541489224416054	0.0302023975671814	0.08036805784315	-0.0200953077097275	-0.151486317373177	R_Bin_1
non-regulated	Riviciclib:Q9UPV9	Riviciclib	Q9UPV9	0.018321434685355	-0.993959775410323	1.00000415064221	720.553804786147	720.553804786147		TRUE	0.994511869386496	0.047072283979226	-17.2784648079558	-16.2372621540961	0.0315392452700186	1	0.10520733550626	0	0	0	0	1	1	0	0	0	0	Trafficking kinesin-binding protein 1	38030226.5	TRAK1	0.381855723319138	0.0315624906183453	0.0839690646009727	-0.0209960633933628	-0.151874914471965	R_Bin_1
non-regulated	Riviciclib:A6NFY4	Riviciclib	A6NFY4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	1	0	0	1	Nuclear envelope integral membrane protein 2	0	NEMP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O00623	Riviciclib	O00623	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Peroxisome assembly protein 12	0	PEX12	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O14681	Riviciclib	O14681	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Etoposide-induced protein 2.4 homolog	0	EI24	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O14717	Riviciclib	O14717	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	tRNA (cytosine(38)-C(5))-methyltransferase	0	TRDMT1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O43361	Riviciclib	O43361	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Zinc finger protein 749	0	ZNF749	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O60513	Riviciclib	O60513	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Beta-1,4-galactosyltransferase 4	0	B4GALT4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O95455	Riviciclib	O95455	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	dTDP-D-glucose 4,6-dehydratase	0	TGDS	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Riviciclib:O95620	Riviciclib	O95620	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	0	DUS4L	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
