.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Actinomycin D:P31947	Actinomycin D	P31947	0.00915269006539257	-0.996043745030937	1.0000002314061	648.963707019571	648.963707019571		TRUE	0.998647452082214	0.023521590142416	-25.6036525891057	-24.562449935246	0.0157742436664223	1	0.052589964220043	0	0	0	0	1	1	0	0	0	0	14-3-3 protein sigma	13755183	SFN	0.212771233725976	0.0157770526062695	0.0420482153649362	-0.0105124844991135	-0.147364854076004	R_Bin_1
non-regulated	Actinomycin D:Q6P499	Actinomycin D	Q6P499	0.000688926809562481	-0.940696328891675	0.999715824228499	651.752562929298	651.752562929298		TRUE	0.97534007265432	0.0994125561042151	-8.30733623950779	-7.26613358564807	0.030520965585331	1	0	0	0.157128122134772	0	0	1	0	0	1	0	0	NIPA-like protein 3	31320730	NIPAL3	0.365158090514569	0.0312904900604602	0.0324447709810212	0.0285971548894328	-0.138367767939007	R_Bin_1
non-regulated	Actinomycin D:O60936	Actinomycin D	O60936	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Nucleolar protein 3	0	NOL3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P01903;P01906	Actinomycin D	P01903;P01906	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HLA class II histocompatibility antigen, DR alpha chain	0	HLA-DRA;HLA-DQA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P07948	Actinomycin D	P07948	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tyrosine-protein kinase Lyn	0	LYN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P18847	Actinomycin D	P18847	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cyclic AMP-dependent transcription factor ATF-3	0	ATF3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P51513	Actinomycin D	P51513	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	RNA-binding protein Nova-1	0	NOVA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P52849	Actinomycin D	P52849	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2	0	NDST2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:P78386;Q9NSB2	Actinomycin D	P78386;Q9NSB2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cuticular Hb5	0	KRT85;KRT84	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q14722	Actinomycin D	Q14722	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Voltage-gated potassium channel subunit beta-1	0	KCNAB1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q6DKI2;Q3B8N2	Actinomycin D	Q6DKI2;Q3B8N2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Galectin-9C	0	LGALS9C;LGALS9B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q8NFX7	Actinomycin D	Q8NFX7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Syntaxin-binding protein 6	0	STXBP6	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q8TAU3	Actinomycin D	Q8TAU3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 417	0	ZNF417	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q9H040	Actinomycin D	Q9H040	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	SprT-like domain-containing protein Spartan	0	SPRTN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q9H6Y5	Actinomycin D	Q9H6Y5	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	PDZ domain-containing protein MAGIX	0	MAGIX	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q9NRY6	Actinomycin D	Q9NRY6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Phospholipid scramblase 3	0	PLSCR3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q9NSB4	Actinomycin D	Q9NSB4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cuticular Hb2	0	KRT82	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q9NXC2	Actinomycin D	Q9NXC2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glucose-fructose oxidoreductase domain-containing protein 1	0	GFOD1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Actinomycin D:Q5JPE7;P69849	Actinomycin D	Q5JPE7;P69849	0.022628050774243	-0.992365207421208	1.00000968349873	715.804247942995	715.804247942995		TRUE	0.99159770721513	0.0581217255209715	-14.7482030088272	-13.7070003549674	0.0389179486184894	1	0.129871209817467	0	0	0	0	1	1	0	0	0	0	Nodal modulator 2	74221182	NOMO2;NOMO3	0.52548047117173	0.0389615601967672	0.10352762087437	-0.0258895362358554	-0.153988960841497	R_Bin_1
non-regulated	Actinomycin D:O00124	Actinomycin D	O00124	0.000207021587623831	-0.891103648701049	0.975372715664676	675.471936227899	675.471936227899		TRUE	0.976044061621482	0.0980205618886114	-8.47655007296969	-7.43534741910997	0.0424302783075888	1	0	0	0.149302476796156	0	0	1	1	0	1	0	0	UBX domain-containing protein 8	9314702	UBXN8	0.142343459392436	0.042652708530082	0.042986353711415	0.0418742027637872	-0.138591357805824	R_Bin_1
non-regulated	Actinomycin D:Q9Y365	Actinomycin D	Q9Y365	0.00041068213307292	-0.898532591197075	0.999992302881797	668.108689993726	668.108689993726		TRUE	0.934152266226522	0.162567982991247	-2.40552208137195	-1.36431942751222	0.0513244810411304	1	0	0	0.257036504727056	0	0	1	0	0	1	0	0	START domain-containing protein 10	61822176	STARD10	0.492002479851209	0.0517733067059125	0.0524465439958384	0.0502024169788873	-0.135513242722084	R_Bin_1
