.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Selumetinib:Q13885;Q9BVA1	Selumetinib	Q13885;Q9BVA1	-3.93969595783735	1.13844769666624	298.676867614882	5956.08506018951	5956.08506018951		FALSE	0.999987057373897	0.61143027692414	13.4909338113446	14.5321364652044	15.3543117101011	1	1.73818455059479	1.27027924041829	0.545635605180007	1.40206074905245	264.48364188471	2	2	2	2	2	1	Tubulin beta-2A chain	47231044.3333333	TUBB2A;TUBB2B	0.446615404008572	0.135139618471301	1.13844769666624	264.483665760132	37.5910055538196	R_Bin_1
non-regulated	Selumetinib:Q9NWL6	Selumetinib	Q9NWL6	-13.6151779610907	0.250017767471519	8.52713800306063	378.603779693028	378.603779693028	35731.6675538519	FALSE	0.933404907230102	1.80518057710599	26.4823135665746	27.5235162204343	2.60408149882653	1	0	0	0	10.2252722854038	6.82900875526515	1	0	0	0	1	1	Asparagine synthetase domain-containing protein 1	5129832	ASNSD1	0.06630530694567	0.500000055559501	0.250017767471519	8.52713800306063	1.70916744664392	R_Bin_1
up	Selumetinib:Q9HD89	Selumetinib	Q9HD89	-0.506214246953837	1.00297613780116	3.22506406079097	1.72119538613759	1.72119538613759	1.44330368509341	FALSE	0.974698565353292	0.217742638939129	1.10108838551747	2.1422910393772	2.59945689695325	1	1.97586444458462	2.5714266241666	2.88341488575195	3.38642486602625	3.03732219884963	1	1	1	1	1	1	Resistin	15735209	RETN	0.244422034539266	0.125043607429093	1.42843975675682	3.19777936004594	0.420865157718811	R_Bin_1
up	Selumetinib:Q06278	Selumetinib	Q06278	0.000583304726282866	3.92310359197362	1.0636319924296	592.621811739766	592.621811739766		FALSE	0.950885001614281	0.221463993753208	1.3044429030325	2.34564555689222	2.49214574213083	1	2.42809111048417	2.6459736997369	2.53871129140342	2.65161084765455	2.29651504464152	1	1	1	2	1	2	Aldehyde oxidase	9267119.6	AOX1	0.145972519853775	0.156166459937969	2.48974538507594	2.4945461037775	0.201310629325293	R_Bin_1
non-regulated	Selumetinib:Q5SVS4;O95258	Selumetinib	Q5SVS4;O95258	3.13670179903985e-05	-0.974740779215984	1.00792716519118	456.982435578058	456.982435578058		TRUE	0.998404484206869	0.0254921399010284	-24.6382353495152	-23.5970326956555	0.0166347169967592	1	0.03519257847169	0	0	0.0247835745053121	0	1	1	1	0	1	1	Kidney mitochondrial carrier protein 1	116593678.333333	SLC25A30;SLC25A14	0.612378671372747	0.016634716996858	0.0167242161488862	0.0165452178441802	-0.143749343197118	R_Bin_1
non-regulated	Selumetinib:Q9BUF5	Selumetinib	Q9BUF5	0.0006715373358706	-0.971666436829173	1.00370691767307	586.025847219509	586.025847219509		TRUE	0.996677917013395	0.0368165605889316	-20.2273042157784	-19.1861015619187	0.0169884405115594	1	0	0	0	0.00382356075852396	0.0556548485131375	1	0	0	0	1	1	Tubulin beta-6 chain	2223942284.25	TUBB6	0.95461994201437	0.0177520560515292	0.0188974740320482	0.0150794021692887	-0.134578716433107	R_Bin_1
non-regulated	Selumetinib:Q6ZPD9	Selumetinib	Q6ZPD9	0.00040404682840516	-0.933416949399802	0.985350224049901	672.586701689243	672.586701689243		TRUE	0.989735338273468	0.064415291363737	-13.5144647536619	-12.4732620998021	0.0265591875598132	1	0	0	0.0991900275615062	0	0	1	0	0	1	0	0	Probable C-mannosyltransferase DPY19L3	40320636	DPY19L3	0.416109920584899	0.0270054697573675	0.0276748918900184	0.025443482161312	-0.140023142069671	R_Bin_1
non-regulated	Selumetinib:P08069	Selumetinib	P08069	0.00873204548386248	-0.965902957726555	1.00000016379794	769.060143158588	769.060143158588		TRUE	0.997223463409656	0.033202061587578	-21.4673336951265	-20.4261310412668	0.030740544708299	1	0.06293988963075	0.0195087821792883	0	0.046560888704676	0	1	1	1	0	1	0	Insulin-like growth factor 1 receptor	260198742	IGF1R	0.745997730997101	0.0215920800598014	0.0554291626818568	0.00604040313776166	-0.144818450998786	R_Bin_1
non-regulated	Selumetinib:O15417	Selumetinib	O15417	-3.97540069497296	0.440321145438066	11.0815466052546	1915.51754432466	1915.51754432466	9225.25794438365	FALSE	0.991343484166663	0.63353087455181	13.9170274852887	14.9582301391484	1.96887485922895	1	0	0.759133512304824	0	1.18625143328478	11.0665984872837	1	1	1	0	2	2	Trinucleotide repeat-containing gene 18 protein	7316912.33333333	TNRC18	0.109416362032018	0.379566751655506	0.440321145438066	11.0666467202541	1.51807466354194	R_Bin_1
non-regulated	Selumetinib:Q9NY46	Selumetinib	Q9NY46	0.000401738756125842	-0.934606496677399	0.999995041968403	662.747839431455	662.747839431455		TRUE	0.972167836248298	0.105572530422943	-7.58589882885107	-6.54469617499134	0.0332854367096098	1	0	0	0.16691539949017	0	0	1	0	0	1	0	0	Sodium channel protein type 3 subunit alpha	38867066	SCN3A	0.40791629900416	0.0337328314176389	0.0344039223302197	0.032166950035345	-0.138088131443138	R_Bin_1
