.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Rigosertib:Q9NQZ6	Rigosertib	Q9NQZ6	-3.66478837430133	0.439899613529799	37.1974733331595	3482.69198825691	3482.69198825691	70690.8478972065	FALSE	0.999254206006166	0.633610956699356	13.9185442622558	14.9597469161155	3.82850461294212	1	0.759458019559108	0	0	0.81583912096311	36.4431418780091	1	1	0	0	1	1	Zinc finger C4H2 domain-containing protein	4595199.33333333	ZC4H2	0.0580547876350842	0.37972901866424	0.4398996135298	36.443150286551	5.06813864840736	R_Bin_1
up	Rigosertib:Q96L34	Rigosertib	Q96L34	-2.38559668171022	1.16416052655217	6.05616685632392	243.835209925232	243.835209925232	88.6280808564553	FALSE	0.996566884408039	0.2250673430146	1.49811858131646	2.53932123517619	2.74242619878504	1	1.42054083249336	1.07365282697601	1.68641329948101	5.89165459624449	6.05672714910418	2	2	1	1	2	1	MAP/microtubule affinity-regulating kinase 4	13810876	MARK4	0.218145262628801	0.0471298707294809	1.16416056721907	6.05547233127179	1.12313535740798	R_Bin_1
up	Rigosertib:P14635	Rigosertib	P14635	-2.27711425063911	1.19891069351949	4.7860739700898	217.51186084482	217.51186084482	83.7599956899308	FALSE	0.996015874806061	0.176845476399588	-1.39536129620228	-0.354158642342558	2.39179720455285	1	1.33770723021793	1.2631050478738	1.72023968301153	4.67992775079258	4.78390788591654	4	4	4	4	5	4	G2/mitotic-specific cyclin-B1	184960448.166667	CCNB1	0.694521236491581	0.031341299571226	1.19891078366024	4.78548656359807	0.840095303612697	R_Bin_1
up	Rigosertib:P04004	Rigosertib	P04004	-6.01127192195743	1.04390904347873	4.32312499051112	146.120232342562	146.120232342562	603.646614294986	FALSE	0.933410263248083	0.700316256020852	15.1197069927691	16.1609096466288	2.24765843004665	1	1.00006681053461	1.13171468156793	1.34818070310124	5.01927736988266	3.62695391038201	1	1	1	1	2	2	Vitronectin	12311140	VTN	0.195903493340035	0.0658571773473611	1.04390904347873	4.32312499048069	0.725967635756786	R_Bin_1
up	Rigosertib:O95235	Rigosertib	O95235	-2.18408395977657	1.08140230827732	4.39666044686208	203.641931696511	203.641931696511	35.5836883024989	FALSE	0.999100550698454	0.0771650172511935	-11.3473228162158	-10.3061201623561	2.20284451697408	1	1.15348729095135	1.0954811347282	1.66011606548626	4.29765945425546	4.39553194003704	16	14	16	16	23	25	Kinesin-like protein KIF20A	298280625.333333	KIF20A	0.767655189746168	0.00499341063183656	1.08140250491807	4.39598924460309	0.770708889167302	R_Bin_1
up	Rigosertib:P53350	Rigosertib	P53350	-2.03326094568496	1.06050936968922	4.33184672009376	221.462108209279	221.462108209279	24.0687958443643	FALSE	0.999514853726764	0.0555605760508594	-15.288990704177	-14.2477880503172	2.14329690759636	1	1.073937747869	1.11472210367111	1.60119532559836	4.18817812954316	4.32851946927698	14	15	13	20	24	24	Serine/threonine-protein kinase PLK1	370242714.833333	PLK1	0.800829354109073	0.00775043460285285	1.06050988593746	4.33043385831145	0.756336906095275	R_Bin_1
up	Rigosertib:O14965	Rigosertib	O14965	-3.0171429786857	1.10111443643793	4.04028820990252	213.416716808691	213.416716808691	133.520736642582	FALSE	0.997886524820913	0.107649451150918	-7.35211583113414	-6.31091317727441	2.08335026733819	1	1.08932821452689	1.21459213370825	1.37176009538998	4.01361133028853	4.03941298007277	8	9	7	7	10	12	Aurora kinase A	107451749.333333	AURKA	0.597134958532295	0.00633609256841528	1.10111443670307	4.04026146354696	0.689345205980871	R_Bin_1
up	Rigosertib:P49454	Rigosertib	P49454	-3.91184433695473	1.15058183235129	3.62209614128265	149.017080210447	149.017080210447	143.415120467882	FALSE	0.995392433766422	0.132498641454484	-4.85980862879787	-3.81860597493814	2.0536230278738	1	1.23233308571948	1.2196558041578	1.57895238152393	3.64271651340843	3.59964435798813	29	33	29	32	52	52	Centromere protein F	376471894	CENPF	0.802965569238502	0.0457309908672605	1.15058183235224	3.62209596470047	0.588247675724961	R_Bin_1
non-regulated	Rigosertib:Q9BUF5	Rigosertib	Q9BUF5	0.000649922684708639	-0.882623198458994	0.872334300768426	19.004818070381	19.004818070381	360.174228693171	TRUE	0.974568033357538	0.101607638731548	-8.04525273499231	-7.00405008113259	-0.00528964111421788	1	0	0.00676920933171453	0.00452811348214833	0.0568211809875792	0.00353549385540268	1	0	2	1	1	1	Tubulin beta-6 chain	2223942284.25	TUBB6	0.954762503141493	0.011098566122488	-0.00364820654236919	-0.00693107500878487	-0.137545716674566	R_Bin_1
non-regulated	Rigosertib:O14715;Q99666	Rigosertib	O14715;Q99666	0.000267603300700908	-1.00399047646502	1.00632877751568	669.008837445291	669.008837445291	7838.95626169081	TRUE	0.998938320934909	0.0209137065608899	-27.013820211265	-25.9726175574053	0.0015796092480084	1	0	0.0304853146308476	0	0	0	1	0	1	0	0	0	RANBP2-like and GRIP domain-containing protein 8	578169013	RGPD8;RGPD5	0.858507162603669	0.00173444889545293	0.00235380708694133	0.000805411084472185	-0.143728151846596	R_Bin_1
