.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Copanlisib:Q99442	Copanlisib	Q99442	-0.563234955143635	2.79169915480757	28.3406817743183	11905.8689430733	11905.8689430733	29241.9684428606	FALSE	0.945024022116788	1.81461829193822	26.5448876701122	27.5860903239719	5.32916446871011	1	3.74949460522953	4.08241825934319	5.32218426951512	6.81576993322965	15.2157949686909	3	2	2	3	3	3	Translocation protein SEC62	7285814.83333333	SEC62	0.115023180052625	0.86932335575922	2.82701152462219	14.9391205332835	2.32907333821791	R_Bin_1
up	Copanlisib:P00747;P08519	Copanlisib	P00747;P08519	-3.78202313835334	1.98319285978207	18.9583246651399	1475.92111651233	1475.92111651233	4241.26564707734	FALSE	0.982672035299766	1.42475229981234	23.6423616996068	24.6835643534665	4.80565780651594	1	1.7448191700871	3.66336884339282	1.52193354783936	5.14908558810969	18.9454381172743	2	3	2	1	1	4	Plasminogen	12078506	PLG;LPA	0.194211251722842	0.350138120668344	1.98319285978207	18.9461100964467	2.79424441556817	R_Bin_1
up	Copanlisib:Q16629	Copanlisib	Q16629	-0.0945861769708861	0.99866060399075	7.17672671756885	80.7219613336332	80.7219613336332	753.705779840051	FALSE	0.929473410978174	0.591168695294568	13.0865396700797	14.1277423239394	3.95415541382774	1	3.7138811034119	3.53409370163861	4.262991595847	3.8581614381283	5.22083300385578	5	5	4	4	6	5	Serine/arginine-rich splicing factor 7	127804972.833333	SRSF7	0.619596541786744	0.349816065753811	3.14123280108751	4.77980581278947	0.636168683361042	R_Bin_1
up	Copanlisib:Q7L5D6	Copanlisib	Q7L5D6	-0.143565957607688	1.01694193066091	8.14868173516338	561.276688556332	561.276688556332	2147.01560652279	FALSE	0.963337149235884	0.466719134218078	10.2500544777947	11.2912571316544	3.89408107227249	1	3.48134377586476	3.34069081070065	3.82516026944881	4.59536855277725	5.60248026531742	3	2	2	1	1	2	Golgi to ER traffic protein 4 homolog	9455150.33333333	GET4	0.154617215887733	0.305555298283866	2.61833565614395	5.30970702853404	0.766827003316363	R_Bin_1
up	Copanlisib:Q15102	Copanlisib	Q15102	0.00449315640577342	6.50387972698947	1.00000099023968	568.711569735785	568.711569735785		FALSE	0.946945816640179	0.418891832022911	8.95267541436856	9.99387806822829	3.73407745132617	1	3.71383690394137	3.43020903025345	4.03515957873891	4.0533050610291	3.47346674074896	5	4	5	4	7	6	Platelet-activating factor acetylhydrolase IB subunit gamma	431782224.166667	PAFAH1B3	0.811051246710939	0.296474149590233	3.69849389981648	3.76966498488217	0.399733963528384	R_Bin_1
non-regulated	Copanlisib:P10073	Copanlisib	P10073	-6.17633142586152	1.26671023618477	99.3642190573978	8076.45969159512	8076.45969159512	186051.208472925	FALSE	0.995727257126711	3.2731265461933	33.6233339138923	34.664536567752	3.42108226908092	1	5.33380949250968	0	0	0	78.6746578323445	1	1	0	0	0	1	Zinc finger and SCAN domain-containing protein 22	1323576	ZSCAN22	0.0280666583134946	1.26671023626624	1.26671023618477	78.6746351404413	10.6391960195484	R_Bin_1
up	Copanlisib:P56385	Copanlisib	P56385	-0.123476150627772	0.999934052877289	5.1708799810773	3.41972840699852	3.41972840699852	40.6301277162308	FALSE	0.951257537651918	0.391297364252502	8.13493618463816	9.17613883849788	3.35879505237178	1	2.98724746285284	3.25494233980079	3.15002455835716	4.1812298518803	3.91627349958058	2	3	3	3	2	2	ATP synthase subunit e, mitochondrial	27280151.8	ATP5ME	0.335922816689638	0.242350328036085	2.63770648288234	4.03715633644477	0.515954196672618	R_Bin_1
up	Copanlisib:A0PJZ3	Copanlisib	A0PJZ3	-0.0882470468425101	0.998711008653926	4.98623091552601	20.0504675332097	20.0504675332097	175.157952610808	FALSE	0.972849300474491	0.241663392263998	2.35187246691028	3.39307512077	3.03170753104251	1	2.78854064406436	2.8750887609801	3.22386863438741	3.06519866275847	3.69992145639556	2	2	2	3	1	1	Glucoside xylosyltransferase 2	3930593.25	GXYLT2	0.0537526625736123	0.132260024533174	2.53446861266204	3.52567218667843	0.41938174889907	R_Bin_1
up	Copanlisib:O15533	Copanlisib	O15533	-0.14528981509742	1.01422591515346	5.9932137484083	529.206206924517	529.206206924517	3358.94485121735	FALSE	0.812459748762859	0.806860238366561	16.8191282641565	17.8603309180162	3.02755273159808	1	2.73407301350504	3.02594464148582	2.70028819771755	2.94513722207595	4.70591509792602	2	2	3	2	2	2	Tapasin	36731459.6666667	TAPBP	0.387545420373387	0.58857571283692	2.12674948962928	4.02729711751226	0.538203190616416	R_Bin_1
up	Copanlisib:Q9Y236	Copanlisib	Q9Y236	-1.09631712718256	-0.0282295608449426	14.1418313682797	1032.41585050672	1032.41585050672	22.7138650853259	FALSE	0.999966796079586	0.0492506734192012	-16.7356008430667	-15.694398189207	2.85668002476186	0	0	0	1	6.9313388642899	13.0567203266586	0	0	0	1	1	1	Oxidative stress-induced growth inhibitor 2	0	OSGIN2	0	0.0159970473034848	-0.0276660570658763	13.0563283590081	2.48793194931893	R_Bin_1
up	Copanlisib:P26373	Copanlisib	P26373	-0.474292737510215	0.998570424888173	3.03008632939989	0.0713695547752773	0.0713695547752773	0.357253995964385	FALSE	0.930411095943707	0.340573123429575	6.46888093236873	7.51008358622846	2.80207574492374	1	2.57465361009888	2.88258503504114	2.78703455128886	3.39086047819167	2.793707359966	8	6	8	9	7	9	60S ribosomal protein L13	378655405.166667	RPL13	0.794386668337301	0.204376536162296	2.09540518783393	3.02275288096282	0.323474483438745	R_Bin_1
up	Copanlisib:P52815	Copanlisib	P52815	0.000201876946666968	4.55459909383189	0.981566066582976	152429.49925502	152429.49925502		FALSE	0.810997495811941	0.551323710538458	12.2491882618158	13.2903909156755	2.76655329263814	1	3.20032133245964	2.60187232376345	2.19613787929962	2.83214807282803	3.01658322043219	2	2	2	2	1	1	39S ribosomal protein L12, mitochondrial	14194626.6666667	MRPL12	0.221651422127553	0.341691373257237	2.76551524101206	2.76759134495251	0.244933196537208	R_Bin_1
up	Copanlisib:P53675	Copanlisib	P53675	0.0116234835491359	4.58856333184225	0.999993120993162	779.106651997196	779.106651997196		FALSE	0.819896900623744	0.536949159548048	11.93216364564	12.9733662994997	2.76088066830714	1	2.53797048767086	2.71964815526494	3.3900746675318	2.39700976013896	2.81968373061221	1	1	1	2	2	1	Clathrin heavy chain 2	28840629	CLTCL1	0.345445432903145	0.293391538208293	2.70092078571176	2.82089033761115	0.267027513792349	R_Bin_1
up	Copanlisib:O14949	Copanlisib	O14949	-0.17545359962745	1.00429985167485	5.17452250277459	260.19915414736	260.19915414736	2231.21725403354	FALSE	0.887582830599138	0.544832993725929	12.1070744348719	13.1482770887317	2.73679051326486	1	2.3494758066965	2.06906261855906	3.36880865226637	2.97311239013235	3.88315141922791	2	2	1	1	2	2	Cytochrome b-c1 complex subunit 8	94717630.6666667	UQCRQ	0.566470367121915	0.400695293731504	1.84270431868944	3.73496686119022	0.502468939432983	R_Bin_1
up	Copanlisib:P02765	Copanlisib	P02765	-0.295131131298111	0.995075619873585	7.70907264057057	2344.74334937147	2344.74334937147	5250.76742920057	FALSE	0.986103760130852	0.285062309445599	4.33381609687831	5.37501875073804	2.73375848341682	1	1.59735807529533	2.06153171919032	3.13163850614648	3.63484189719541	5.17971195634896	2	2	2	2	2	2	Alpha-2-HS-glycoprotein	49805596.6666667	AHSG	0.449191830597669	0.179186850356681	1.32279105023126	5.05980012950823	0.802317658125748	R_Bin_1
up	Copanlisib:Q9NZ45	Copanlisib	Q9NZ45	-0.148713803975687	1.00036302116283	3.23515046150864	0.0182334072627777	0.0182334072627777	0.0178198042114147	FALSE	0.990977564062301	0.109810946294392	-7.11355472959402	-6.0723520757343	2.65632410490471	1	2.48012160507127	2.531456285388	2.73127817157953	2.98096122117848	2.90040874627385	4	6	5	6	4	4	CDGSH iron-sulfur domain-containing protein 1	251535982.5	CISD1	0.730735496804912	0.0675486908980689	2.25841186857589	2.96049006398047	0.320125270453783	R_Bin_1
up	Copanlisib:Q8NBX0	Copanlisib	Q8NBX0	-0.209235383002502	1.00857111535046	4.15183149437585	19.4816606378987	19.4816606378987	101.729044566059	FALSE	0.953963429116342	0.308425168918186	5.27907366044989	6.32027631430962	2.65139043075404	1	2.25752705352437	2.27730560649668	2.7211157017953	3.50409253538946	3.34799565471584	6	7	8	9	8	8	Saccharopine dehydrogenase-like oxidoreductase	344185259	SCCPDH	0.780102744017041	0.171933855401154	1.7917435848086	3.48172358504636	0.454956708984945	R_Bin_1
up	Copanlisib:Q9NWZ5	Copanlisib	Q9NWZ5	-0.489242804440771	0.998183846343828	2.81938162129756	0.0547194184194807	0.0547194184194807	0.183401547292608	FALSE	0.973536477990593	0.185200353409359	-0.841418569580325	0.199784084279401	2.64026924011144	1	2.44634077576468	2.73063334504276	2.67509903014353	3.00510477316363	2.68696823293899	4	5	3	3	4	4	Uridine-cytidine kinase-like 1	21430375.8333333	UCKL1	0.298834732489663	0.113405683567967	2.04212583316701	2.81454129213842	0.287302824056931	R_Bin_1
up	Copanlisib:Q9Y2U5	Copanlisib	Q9Y2U5	0.000305445894328984	4.2433993933692	0.999398860915731	644.701265325735	644.701265325735	345428.000399226	FALSE	0.905532933900279	0.337904931097029	6.3744977085115	7.41570036237123	2.62065228409423	1	2.69603927501038	2.5204087145871	2.79641672407107	2.25348486694746	2.83730051868418	2	2	1	2	2	2	Mitogen-activated protein kinase kinase kinase 2	6367655.83333333	MAP3K2	0.0981080065154743	0.195350754506051	2.61922631342164	2.62207825553631	0.23242421082046	R_Bin_1
up	Copanlisib:Q8WVC0	Copanlisib	Q8WVC0	-0.153979027767475	1.00708982901269	4.89855273210974	350.318434240923	350.318434240923	1194.78835318796	FALSE	0.960573504862493	0.275610797230936	3.92919925143279	4.97040190529251	2.61759844634077	1	2.31874975772049	2.40239779212099	2.53878512893696	2.9728006128221	3.65668850435261	5	5	4	4	7	7	RNA polymerase-associated protein LEO1	47861139.3333333	LEO1	0.439669214384162	0.200601701083519	1.86922180535303	3.4440254268425	0.439485212110967	R_Bin_1
up	Copanlisib:O60906	Copanlisib	O60906	-0.270107764666417	0.980056084520488	6.67580366508578	2295.89699368763	2295.89699368763	8754.60765342378	FALSE	0.927540423107657	0.556218489419178	12.3552568684904	13.3964595223501	2.53187394200928	1	1.41942726642981	2.26363407160116	2.97400629692356	2.89561713209501	4.66625071219273	4	3	4	2	4	4	Sphingomyelin phosphodiesterase 2	8432668.83333333	SMPD2	0.135571983460719	0.281952746645554	1.33463215244908	4.38654375638457	0.670577010950904	R_Bin_1
up	Copanlisib:P04234	Copanlisib	P04234	-0.110162590152664	0.998620743826695	3.86919692692427	9.28196702634876	9.28196702634876	143.190754288142	FALSE	0.942912759571799	0.274386819464263	3.87578899291037	4.91699164677009	2.52756568095024	1	2.2451478403496	2.40503131581211	2.83656580579736	2.50126138773626	3.08594565832901	3	4	4	4	4	3	T-cell surface glycoprotein CD3 delta chain	36783515.4	CD3D	0.387921313118657	0.170764355169283	2.08298106950537	2.96021313595629	0.332274383536865	R_Bin_1
up	Copanlisib:Q6GMV2	Copanlisib	Q6GMV2	0.036055390513891	4.20750449354374	1.0000996120922	554.919893317244	554.919893317244	36077.0040643686	FALSE	0.922519010777384	0.293935693198636	4.70165481836326	5.74285747222298	2.52134213310732	1	2.55958367498536	2.37213718024443	2.31415080009484	2.90167531968557	2.62481416699247	4	2	2	2	2	3	SET and MYND domain-containing protein 5	54925329	SMYD5	0.4676105751159	0.188901433019369	2.35653583652891	2.68732322366694	0.259781696826097	R_Bin_1
