.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Ravoxertinib:Q53GT1	Ravoxertinib	Q53GT1	0.00193356734162307	-0.994713486326291	0.999999986480502	644.762743618313	644.762743618313	581596.546727922	TRUE	0.999582461110769	0.0131345079294264	-32.5957618165499	-31.5545591626902	0.00555036446183534	1	0	0.0222013958149018	0	0	0	1	0	1	0	0	0	Kelch-like protein 22	524317267	KLHL22	0.837176165803109	0.00666046983513785	0.0111007437260671	-1.34828036180146e-07	-0.143491468451854	R_Bin_1
non-regulated	Ravoxertinib:Q99541	Ravoxertinib	Q99541	0.000607205862237825	-0.974150941318065	0.986391589135999	640.33182125066	640.33182125066		TRUE	0.999369343478176	0.0161481911021315	-30.1169808871714	-29.0757782333116	0.00701557574440933	1	0	0.0201310847563928	0	0	0	1	0	1	0	0	0	Perilipin-2	158746826	PLIN2	0.653497409326425	0.0073582155349447	0.00872877021247431	0.00530237763116159	-0.143432316707326	R_Bin_1
non-regulated	Ravoxertinib:P22413	Ravoxertinib	P22413	0.00365052080222199	-0.995130963032622	1.0000016977027	594.592293554852	594.592293554852	81073.1777810898	TRUE	0.999918242400336	0.00580427570006734	-42.3955393076581	-41.3543366537984	0.00777739748503848	1	0.0135073307539843	0.014899998475714	0	0	0	1	1	1	0	0	0	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	621055356	ENPP1	0.856476683937824	0.00386498934924273	0.0182577909865264	-0.00270378212847699	-0.144440628306791	R_Bin_1
non-regulated	Ravoxertinib:Q13885;Q9BVA1	Ravoxertinib	Q13885;Q9BVA1	0.000560842750889427	-0.973298650631006	0.99897405224205	183.562769374484	183.562769374484		TRUE	0.999984308018749	0.00252340558161567	-52.3913644097794	-51.3501617559197	0.0133240343858874	1	0.0146589735784362	0.0117887382462631	0.0127731373509988	0.0119798467680235	0.0145423009441634	2	1	2	1	1	1	Tubulin beta-2A chain	5241117074.33333	TUBB2A;TUBB2B	0.98199481865285	0.00112137106757819	0.0149158877790537	0.0117321793033728	-0.140981185045877	R_Bin_1
non-regulated	Ravoxertinib:P31629	Ravoxertinib	P31629	0.00697601590835085	-0.98123599312692	0.999999438415937	660.958745364467	660.958745364467	186661.700476022	TRUE	0.994547687427087	0.0470520315680022	-17.2836288070144	-16.2424261531546	0.0198833327445073	1	0	0.0795336364780753	0	0	0	1	0	1	0	0	0	Transcription factor HIVEP2	13700195	HIVEP2	0.186269430051814	0.0238612135964206	0.0397658092631253	-4.78591080677049e-06	-0.145129532470802	R_Bin_1
non-regulated	Ravoxertinib:P12829	Ravoxertinib	P12829	0.00745908050367882	-0.979948807589188	0.999999543204841	660.700040229962	660.700040229962	177957.305373578	TRUE	0.993767147240462	0.0502742321721743	-16.4887653793823	-15.4475627255225	0.0212451615536165	1	0	0.0849804124090993	0	0	0	1	0	1	0	0	0	Myosin light chain 4	226870191	MYL4	0.714637305699482	0.0254957090904041	0.042489437366219	-6.00569253939032e-06	-0.14528515464026	R_Bin_1
non-regulated	Ravoxertinib:O00180	Ravoxertinib	O00180	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Potassium channel subfamily K member 1	0	KCNK1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ravoxertinib:O00592	Ravoxertinib	O00592	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Podocalyxin	0	PODXL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ravoxertinib:O14715;Q99666	Ravoxertinib	O14715;Q99666	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	RANBP2-like and GRIP domain-containing protein 8	0	RGPD8;RGPD5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ravoxertinib:O43741	Ravoxertinib	O43741	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	5'-AMP-activated protein kinase subunit beta-2	0	PRKAB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
