.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	NFAT activation inhibitor III:O15231	NFAT activation inhibitor III	O15231	0.00308345476879164	-0.991618289752519	0.999999982787103	652.142130798135	652.142130798135	517936.43756008	TRUE	0.998936754144196	0.0209119285726266	-27.0148404400842	-25.9736377862245	0.00883699724853199	1	0	0.0353477135393457	0	0	0	1	0	1	0	0	0	Zinc finger protein 185	726294451.5	ZNF185	0.873526396719631	0.0106045240303053	0.0176740316981632	-5.25006179419307e-07	-0.143867077529696	R_Bin_1
non-regulated	NFAT activation inhibitor III:P12277;P06732	NFAT activation inhibitor III	P12277;P06732	0.00354933258191129	-0.990433254415314	1.00000002096691	666.178248939471	666.178248939471	467608.871260892	TRUE	0.998590490355135	0.0240564810186075	-25.3338240399404	-24.2926213860807	0.0101658864313012	1	0	0.0406630320436426	0	0	0	1	0	1	0	0	0	Creatine kinase B-type	79020131	CKB;CKM	0.531522296258329	0.0121992520375224	0.0203317955045086	-7.71409617850161e-07	-0.144018943772676	R_Bin_1
non-regulated	NFAT activation inhibitor III:P12829	NFAT activation inhibitor III	P12829	0.00040678112933159	-0.937271202340497	0.986039910180799	672.517479199907	672.517479199907		TRUE	0.990904268161685	0.0606740964042746	-14.2324750258492	-13.1912723719895	0.0249823067238712	1	0	0	0.09341656500636	0	0	1	0	0	1	0	0	Myosin light chain 4	226870191	MYL4	0.717580727831881	0.0254326730573558	0.0261082213673326	0.0238563909877336	-0.140188098142675	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q13510	NFAT activation inhibitor III	Q13510	0.00974430397850342	-0.973896526802356	1.00000362404036	659.786962998604	659.786962998604	202121.700363962	TRUE	0.989383144982267	0.0654376604446409	-13.325502049152	-12.2842993952923	0.0276572795227339	1	0	0.110613051446302	0	0	0	1	0	1	0	0	0	Acid ceramidase	20770430	ASAH1	0.270374167093798	0.0331929168408111	0.05531667298648	-1.74182705134918e-05	-0.146017515755609	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q2M1Z3	NFAT activation inhibitor III	Q2M1Z3	0.0175531701030133	-0.993736790886886	1.00000349434457	700.988160627308	700.988160627308		TRUE	0.994969037002154	0.0450890470251597	-17.7950050480675	-16.7538023942078	0.0302137677514401	1	0.10077914918697	0	0	0	0	1	1	0	0	0	0	Rho GTPase-activating protein 31	17764311	ARHGAP31	0.241799077396207	0.0302340317623375	0.080451831229763	-0.0201162627995146	-0.151495355644598	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q6PFW1	NFAT activation inhibitor III	Q6PFW1	0.0113154766062456	-0.970549364054887	0.999998992340477	709.336186178748	709.336186178748	158433.175746033	TRUE	0.98569538826625	0.0758456633615286	-11.5542709717857	-10.5130683179259	0.0320558728501197	1	0	0.128207696663195	0	0	0	1	0	1	0	0	0	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	16331104.6666667	PPIP5K1	0.224243977447463	0.0384729514903537	0.0641113279759675	-2.40686695081038e-05	-0.146520219904663	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q96I76	NFAT activation inhibitor III	Q96I76	0.0199846324609209	-0.99331215784195	1.00000590361337	717.254428843007	717.254428843007		TRUE	0.993460343327876	0.0513388122543654	-16.2373128518627	-15.196110198003	0.0343899204952837	1	0.114732983020274	0	0	0	0	1	1	0	0	0	0	G patch domain-containing protein 3	47339052.3333333	GPATCH3	0.427857508969759	0.034420021148548	0.0915312195908938	-0.0228879528282223	-0.152691398544595	R_Bin_1
non-regulated	NFAT activation inhibitor III:O00592	NFAT activation inhibitor III	O00592	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Podocalyxin	0	PODXL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:O95158	NFAT activation inhibitor III	O95158	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neurexophilin-4	0	NXPH4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P02771	NFAT activation inhibitor III	P02771	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	1	0	0	0	1	Alpha-fetoprotein	0	AFP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P08174	NFAT activation inhibitor III	P08174	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complement decay-accelerating factor	0	CD55	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P13591	NFAT activation inhibitor III	P13591	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neural cell adhesion molecule 1	0	NCAM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P20023	NFAT activation inhibitor III	P20023	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Complement receptor type 2	0	CR2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P26842	NFAT activation inhibitor III	P26842	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CD27 antigen	0	CD27	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P35325;P22532;P22531;P35326;Q9BYE4	NFAT activation inhibitor III	P35325;P22532;P22531;P35326;Q9BYE4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Small proline-rich protein 2B	0	SPRR2B;SPRR2D;SPRR2E;SPRR2A;SPRR2G	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P42357	NFAT activation inhibitor III	P42357	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Histidine ammonia-lyase	0	HAL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P48378	NFAT activation inhibitor III	P48378	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	DNA-binding protein RFX2	0	RFX2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:P55345	NFAT activation inhibitor III	P55345	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein arginine N-methyltransferase 2	0	PRMT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q14088	NFAT activation inhibitor III	Q14088	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras-related protein Rab-33A	0	RAB33A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q16829;Q16828	NFAT activation inhibitor III	Q16829;Q16828	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Dual specificity protein phosphatase 7	0	DUSP7;DUSP6	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q53GL0	NFAT activation inhibitor III	Q53GL0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pleckstrin homology domain-containing family O member 1	0	PLEKHO1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q53TS8	NFAT activation inhibitor III	Q53TS8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	C2 calcium-dependent domain-containing protein 6	0	C2CD6	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q5JWR5	NFAT activation inhibitor III	Q5JWR5	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein dopey-1	0	DOP1A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q6P0Q8	NFAT activation inhibitor III	Q6P0Q8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Microtubule-associated serine/threonine-protein kinase 2	0	MAST2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q7L4E1	NFAT activation inhibitor III	Q7L4E1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Mitoguardin 2	0	MIGA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q86SR1	NFAT activation inhibitor III	Q86SR1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Polypeptide N-acetylgalactosaminyltransferase 10	0	GALNT10	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	NFAT activation inhibitor III:Q86TS9	NFAT activation inhibitor III	Q86TS9	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	39S ribosomal protein L52, mitochondrial	0	MRPL52	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
