.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Vorinostat:Q9H040	Vorinostat	Q9H040	-6.90714016450153	9.4288662795532	153.742742100719	7113.7145598367	7113.7145598367	96339.16762429	FALSE	0.895646711610742	29.0329091299612	59.8155458226909	60.8567484765506	13.8750130125597	1	0	0	46.1447986705792	0	141.197437185637	1	0	0	1	0	1	SprT-like domain-containing protein Spartan	117789	SPRTN	0.045184153904569	9.4288662795532	9.4288662795532	141.204294170858	21.3466281313933	R_Bin_1
non-regulated	Vorinostat:Q8TE82	Vorinostat	Q8TE82	-6.02132170386881	0.200896523776015	141.584395463678	7080.09916880013	7080.09916880013		FALSE	0.999939184495131	0.632628565756	13.899924256362	14.9411269102217	4.69324506359339	1	0	0	0	0	125.870707975898	1	0	1	0	0	1	SH3 domain and tetratricopeptide repeat-containing protein 1	9817555	SH3TC1	0.112390836602962	0.200896524288507	0.200896523776015	125.870981995787	17.8386725679854	R_Bin_1
up, low confidence	Vorinostat:Q8TD31	Vorinostat	Q8TD31	-4.02644644586112	0.500192282419096	11.7754653612415	2163.07144108474	2163.07144108474	25633.4219661429	FALSE	0.99434543471903	0.543466377625786	12.0769367682458	13.1181394221055	2.00097962194307	1	0.713339890023594	0.287514541287164	0	0.983319769500627	11.7515058390105	2	2	3	1	1	1	Coiled-coil alpha-helical rod protein 1	19766425.4	CCHCR1	0.220731552967979	0.212912676601882	0.500192282419096	11.7518108791724	1.5508558369199	R_Bin_1
non-regulated	Vorinostat:O60936	Vorinostat	O60936	0.000342005094093559	-0.989736292101018	0.997450789768849	1174.04450538057	1174.04450538057		TRUE	0.999525244775581	0.0139722624767389	-31.8537879830566	-30.8125853291969	0.00447134900498069	1	0.014428042681992	0	0	0.0195014911750309	0	1	1	0	0	1	0	Nucleolar protein 3	334040407	NOL3	0.73775471459309	0.00701840885088759	0.0054494113833069	0.00349328583341046	-0.142422275843454	R_Bin_1
non-regulated	Vorinostat:Q96Q42	Vorinostat	Q96Q42	-1.50239839690929e-05	0.999719488306788	-0.9888082194374	2.60879316302016e+38	2.60879316302016e+38		TRUE	0.999994261872054	0.00153719375179762	-58.3391751547693	-57.2979725009096	0.00609051525285164	1	0.00513793778820941	0.00574013090429358	0.00580316668038563	0.00501970049833016	0.00759393387391701	4	6	5	2	4	3	Alsin	27879058740.5	ALS2	0.997721807366156	0.00101169610955044	0.00613350969109894	0.00604752081302196	-0.141780628763542	R_Bin_1
non-regulated	Vorinostat:Q9H707	Vorinostat	Q9H707	0.000352690322997325	-0.988620111605996	0.999993351949656	640.251958276324	640.251958276324		TRUE	0.999024207118856	0.0200459446152832	-27.5223548985862	-26.4811522447265	0.00621404343398239	1	0	0	0.0316532497941081	0	0	1	0	0	1	0	0	Zinc finger protein 552	43828773	ZNF552	0.37020630299962	0.00661778134409735	0.00722338741603823	0.00520469872740836	-0.141952764291597	R_Bin_1
non-regulated	Vorinostat:Q16659	Vorinostat	Q16659	0.00387225775296121	-0.998293380557155	0.999999947330017	643.43127330133	643.43127330133	10.0000000231662	TRUE	0.999759869865873	0.0099605466780572	-35.9150938458533	-34.8738911919935	0.00668143344279488	1	0.0222720130598561	0	0	0	0	1	1	0	0	0	0	Mitogen-activated protein kinase 6	78595248	MAPK6	0.479432983166688	0.00668164588866882	0.0178158540986724	-0.00445395220254174	-0.144766172547988	R_Bin_1
non-regulated	Vorinostat:Q96G23	Vorinostat	Q96G23	0.000598216475519234	-0.977132529523261	1.00200970965525	652.844021227473	652.844021227473		TRUE	0.995767209971677	0.0415328833514827	-18.7808515344869	-17.7396488806272	0.0133346835873262	1	0	0	0.06558583141648	0	0	1	1	1	2	1	0	Ceramide synthase 2	251550298	CERS2	0.694215922035185	0.0140162227627659	0.0150385276565292	0.0116308359767494	-0.140983261959529	R_Bin_1
non-regulated	Vorinostat:Q9NXB0	Vorinostat	Q9NXB0	0.000267970822648138	-0.969456402237356	1.0061905052376	464.785742154016	464.785742154016		TRUE	0.997663197826273	0.0307674054275282	-22.3812069638212	-21.3400043099615	0.0187227789297178	1	0	0.045252153360904	0.0301937318625458	0	0	1	0	1	3	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.572712314896848	0.0187227789241008	0.0194846690144894	0.0179608885628468	-0.143287383471382	R_Bin_1
non-regulated	Vorinostat:O15230	Vorinostat	O15230	0.00779304983348126	-0.981924476513684	0.999999982674961	508.149665121014	508.149665121014		TRUE	0.999411108305342	0.0154365489300015	-30.6578212785919	-29.6166186247321	0.0197579991267664	1	0.0292031087790871	0.0389277616994411	0	0.00843724845161176	0	1	1	1	0	1	0	Laminin subunit alpha-5	232495347.5	LAMA5	0.680293633717251	0.00930605197100672	0.041975559607271	-0.00246674872670072	-0.145749295505196	R_Bin_1
non-regulated	Vorinostat:Q13885;Q9BVA1	Vorinostat	Q13885;Q9BVA1	-1.42533523074568e-05	0.999178357445151	-0.951190950510173	1.86893162315003e+142	1.86893162315003e+142		TRUE	0.99917749296741	0.0180334870677869	-28.7919122692312	-27.7507096153715	0.0262464058849053	1	0.0282153855368137	0.025611581433548	0.0142899377659839	0.0167277392203121	0.0465196361005858	2	2	2	2	1	2	Tubulin beta-2A chain	3024281303.16667	TUBB2A;TUBB2B	0.955701809897481	0.0107215649137105	0.0262864120787427	0.026206399686013	-0.137519611488975	R_Bin_1
non-regulated	Vorinostat:P20226;Q6SJ96	Vorinostat	P20226;Q6SJ96	0.000377477740515245	-0.944195036771458	0.999992484029848	651.122036364176	651.122036364176		TRUE	0.979682229743308	0.0903041107530169	-9.46048154308584	-8.41927888922611	0.0284536926550065	1	0	0	0.142773389972031	0	0	1	0	0	1	0	0	TATA-box-binding protein	91274922.5	TBP;TBPL2	0.508416656119479	0.0288761521697531	0.0295098404874447	0.0273975439492858	-0.138777903143656	R_Bin_1
non-regulated	Vorinostat:O00192	Vorinostat	O00192	0.000394848629050841	-0.942383278750968	0.999996368959536	662.105714566333	662.105714566333		TRUE	0.978320780536912	0.0932557881410796	-9.07452380141077	-8.03332114755105	0.0293897204282947	1	0	0	0.147439928906613	0	0	1	0	0	1	0	0	Armadillo repeat protein deleted in velo-cardio-facial syndrome	106115260	ARVCF	0.534742437666118	0.0298312098891309	0.0304934429849093	0.0282859968676112	-0.138644573459811	R_Bin_1
non-regulated	Vorinostat:A0A024RBG1;Q9NZJ9	Vorinostat	A0A024RBG1;Q9NZJ9	-4.36488210504654e-05	1.00609995304145	-0.946527162100416	1.65708696332613e+45	1.65708696332613e+45		TRUE	0.995241465435687	0.0432567884632843	-18.2928271782002	-17.2516245243404	0.0319313618030586	1	0.04160980789772	0	0.0424319499377766	0	0.0700965927606369	1	1	0	1	0	1	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1061606442	NUDT4B;NUDT4	0.883938741931401	0.0319068307970946	0.0320540168325948	0.0318087067283919	-0.135197557427206	R_Bin_1
non-regulated	Vorinostat:P27987	Vorinostat	P27987	0.00063972419329649	-0.932943393956345	1.00171768264941	660.292892447856	660.292892447856		TRUE	0.969453126214479	0.110574990621501	-7.030350067934	-5.98914741407428	0.0353273871272906	1	0	0	0.174805715622796	0	0	1	0	0	1	0	0	Inositol-trisphosphate 3-kinase B	4532210.75	ITPKB	0.0570813821035312	0.0360398349744663	0.0371085021076634	0.0335462678975217	-0.137862693839349	R_Bin_1
non-regulated	Vorinostat:Q9BZG8	Vorinostat	Q9BZG8	0.000281504483457413	-0.956886161053354	1.0317782793124	178.67015234748	178.67015234748		TRUE	0.98494789611261	0.076796158498918	-11.4048219029107	-10.363619249051	0.0376884131858429	1	0	0.0769518268895344	0	0	0.107641902694179	1	1	2	1	0	1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1	11161834.5	DPH1	0.131249208960891	0.0386370419514545	0.0384940556558915	0.0368827705037016	-0.129678351811961	R_Bin_1
non-regulated	Vorinostat:A2RU49	Vorinostat	A2RU49	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Hydroxylysine kinase	0	HYKK	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	Vorinostat	A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Nuclear pore complex-interacting protein family member B5	0	NPIPB5;NPIPB12;NPIPB11;NPIPB13;NPIPB3;NPIPB4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:C9JVW0	Vorinostat	C9JVW0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative transmembrane protein INAFM1	0	INAFM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:O14810	Vorinostat	O14810	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complexin-1	0	CPLX1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:O15021	Vorinostat	O15021	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Microtubule-associated serine/threonine-protein kinase 4	0	MAST4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:O75052	Vorinostat	O75052	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	2	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	0	NOS1AP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:O75800	Vorinostat	O75800	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger MYND domain-containing protein 10	0	ZMYND10	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Vorinostat:O75973	Vorinostat	O75973	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	C1q-related factor	0	C1QL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
