.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	GDC-0349:P16260	GDC-0349	P16260	-13.7338924172843	0.250004936301785	26.2531037868655	287.850034731502	287.850034731502	32492.4916655317	FALSE	0.964729515340885	4.05959288004479	36.2073783254034	37.2485809792632	8.26429266312553	1	0	0	0	30.2662428028819	22.2399641528693	1	0	1	0	1	1	Graves disease carrier protein	445541	SLC25A16	0.036221681812364	0.500006424724665	0.250004936301785	26.2531037868655	5.62852997637121	R_Bin_1
non-regulated	GDC-0349:Q92835	GDC-0349	Q92835	0.000425365815774149	-0.99505481551633	0.999989081897162	638.433085641591	638.433085641591		TRUE	0.999740372305858	0.0103683512874599	-35.4335810840585	-34.3923784301987	0.00310469070917838	1	0	0	0.0162727640872145	0	0	1	0	0	1	0	0	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	670432807.333333	INPP5D	0.854217330090874	0.00359319750956139	0.00432595631496524	0.00188342382945661	-0.142392206740365	R_Bin_1
non-regulated	GDC-0349:Q9Y283	GDC-0349	Q9Y283	0.00280523885603279	-0.998866692017141	1.0000000023917	667.534309456975	667.534309456975	10.0000000102687	TRUE	0.999874189481657	0.0072177758931686	-39.7801150462708	-38.738912392411	0.00484169918489584	1	0.0161392650829104	0	0	0	0	1	1	0	0	0	0	Inversin	14774962	INVS	0.188403942147703	0.00484178097093935	0.0129107416814149	-0.00322771481468132	-0.144240508435678	R_Bin_1
non-regulated	GDC-0349:Q8TDG4	GDC-0349	Q8TDG4	0.000382177070711995	-0.988577295427895	0.999994936633264	640.285209855502	640.285209855502		TRUE	0.998998432660007	0.020307559673554	-27.3667587619547	-26.3255561080949	0.00628033717017215	1	0	0	0.0320598313269768	0	0	1	0	0	1	0	0	Helicase POLQ-like	25647960.5	HELQ	0.292589274286446	0.00671782058616466	0.00737404470087932	0.00518662871761355	-0.141941147676372	R_Bin_1
non-regulated	GDC-0349:Q86YN6	GDC-0349	Q86YN6	0.000547335532959156	-0.978269874440601	1.00001936817853	642.447406707071	642.447406707071		TRUE	0.996543596570216	0.0375640157394081	-19.9861185678612	-18.9449159140014	0.0116899249338946	1	0	0	0.0593403912670107	0	0	1	0	0	1	0	1	Peroxisome proliferator-activated receptor gamma coactivator 1-beta	47578148	PPARGC1B	0.40854985280942	0.0123132275113608	0.0132481784259617	0.0101316687449423	-0.141161703106657	R_Bin_1
non-regulated	GDC-0349:P14222	GDC-0349	P14222	0.00680084375501274	-0.981596927736723	0.999999859600429	650.40927625292	650.40927625292	234820.552454588	TRUE	0.99481945484202	0.0458757671525721	-17.5874329883166	-16.5462303344568	0.0193871332102905	1	0	0.0775452947817159	0	0	0	1	0	1	0	0	0	Perforin-1	32468857	PRF1	0.332906693971586	0.0232658436206256	0.0387742927564981	-5.2274314251699e-06	-0.145072722708049	R_Bin_1
non-regulated	GDC-0349:Q9H707	GDC-0349	Q9H707	0.00832405142288756	-0.977672400291162	0.999999637248828	662.07014699782	662.07014699782	195458.755377777	TRUE	0.992241824636257	0.0560277519327734	-15.1885116766915	-14.1473090228318	0.0236780083181474	1	0	0.0947061989098455	0	0	0	1	0	1	0	0	0	Zinc finger protein 552	15371951.5	ZNF552	0.1973633687444	0.0284159510720692	0.0473559705247676	-9.52575457058291e-06	-0.145563034254567	R_Bin_1
non-regulated	GDC-0349:Q9BY31	GDC-0349	Q9BY31	0.000618808542471416	-0.937322642110238	0.989863953209019	649.407700945903	649.407700945903		TRUE	0.984608366582864	0.0787013479101456	-11.1107539455531	-10.0695512916933	0.0271716876401854	1	0	0	0.123788697313654	0	0	1	0	0	1	0	0	Zinc finger protein 717	15427506	ZNF717	0.198131319595546	0.0278581796661603	0.0288879135396618	0.0254554579304452	-0.139320322933896	R_Bin_1
non-regulated	GDC-0349:A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	GDC-0349	A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Nuclear pore complex-interacting protein family member B5	0	NPIPB5;NPIPB12;NPIPB11;NPIPB13;NPIPB3;NPIPB4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O14681	GDC-0349	O14681	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Etoposide-induced protein 2.4 homolog	0	EI24	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O15455	GDC-0349	O15455	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Toll-like receptor 3	0	TLR3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O43405	GDC-0349	O43405	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cochlin	0	COCH	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O43739	GDC-0349	O43739	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cytohesin-3	0	CYTH3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O60831	GDC-0349	O60831	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	PRA1 family protein 2	0	PRAF2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:O95670	GDC-0349	O95670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	V-type proton ATPase subunit G 2	0	ATP6V1G2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P0CG13	GDC-0349	P0CG13	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Chromosome transmission fidelity protein 8 homolog	0	CHTF8	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P11912	GDC-0349	P11912	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	B-cell antigen receptor complex-associated protein alpha chain	0	CD79A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P13647	GDC-0349	P13647	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cytoskeletal 5	0	KRT5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P15918	GDC-0349	P15918	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	V(D)J recombination-activating protein 1	0	RAG1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P19440;Q9BX51;A6NGU5	GDC-0349	P19440;Q9BX51;A6NGU5	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutathione hydrolase 1 proenzyme	0	GGT1;GGTLC1;GGT3P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P22413	GDC-0349	P22413	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	0	ENPP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P42338	GDC-0349	P42338	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	0	PIK3CB	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GDC-0349:P42357	GDC-0349	P42357	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Histidine ammonia-lyase	0	HAL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
