.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Methotrexate:Q9Y2G0	Methotrexate	Q9Y2G0	-5.07589887353429	0.744983119030074	62.919612626241	558.079873065315	558.079873065315	1053.34723884175	FALSE	0.999820805044019	0.663199550316193	14.4662337740334	15.5074364278931	16.3328213680118	1	0	1.25388357523462	0.729484950978696	59.8578636791114	62.9197907772031	1	0	1	1	2	1	Protein EFR3 homolog B	5417724.33333333	EFR3B	0.0590571355367666	0.140296678078294	0.744983119030074	62.919585588495	13.9613756085455	R_Bin_1
non-regulated	Methotrexate:Q8IZ40	Methotrexate	Q8IZ40	-3.84015024682003	0.622056638156315	343.347710938198	6786.19271073645	6786.19271073645		FALSE	0.999974407858382	0.912994496625202	18.3020808982104	19.3432835520702	13.765856349341	1	1.48827142863026	0	0	0.840909759509796	280.251424048214	1	1	0	0	1	1	REST corepressor 2	9439061	RCOR2	0.113886753779144	0.500000002291114	0.622056638156315	280.251632276337	39.8375724352488	R_Bin_1
up	Methotrexate:Q9Y236	Methotrexate	Q9Y236	-1.17966981754757	0.621602976521448	7.53877603591224	259.012054618859	259.012054618859	108.066225710829	FALSE	0.986982790713991	0.56173548188124	12.4736954602016	13.5148981140613	2.82366242461529	1	0	1.0587088224853	2.26798320389516	6.4045607003866	7.426071202544	1	0	1	1	1	1	Oxidative stress-induced growth inhibitor 2	2798953	OSGIN2	0.0384319754035357	0.171639594034145	0.622253551324116	7.4470750175361	1.50152321415113	R_Bin_1
up	Methotrexate:P00374	Methotrexate	P00374	-1.4996026744602	0.969206719310353	3.32302070454227	5.9502529946017	5.9502529946017	2.92048985239556	FALSE	0.976230674549521	0.274775007975707	3.89275398457743	4.93395663843715	2.48727250995883	1	1.08342867050974	2.60409880087784	3.10897561935251	3.6304578208836	3.17992276673515	4	7	5	7	7	7	Dihydrofolate reductase	356665284.666667	DHFR	0.767870868562644	0.090329509631013	0.974332114522348	3.32298643955904	0.5441593743792	R_Bin_1
up	Methotrexate:P04818	Methotrexate	P04818	-0.963043892186141	0.945546009158064	2.84020944805234	8.36672808526296	8.36672808526296	4.48552494555727	FALSE	0.978398438638355	0.200054980772876	0.084429456401347	1.12563211026107	2.1094463809382	1	1.07601984971881	2.04070991500205	2.59525557083397	2.67895876986814	3.03176662232963	10	9	9	9	10	9	Thymidylate synthase	1397515273.66667	TYMS	0.919164745067896	0.0861179532980934	0.971846016976252	2.83815191788517	0.443491300797945	R_Bin_1
non-regulated	Methotrexate:Q5SVS4;O95258	Methotrexate	Q5SVS4;O95258	0.00338280166365992	-0.988914883509419	0.99999999541991	503.026808108005	503.026808108005	136940.97887033	TRUE	0.99990118404762	0.00636454038194674	-41.2897731050185	-40.2485704511588	0.0101961473195175	1	0.0122616087669298	0.0142048671748762	0.0148322171528892	0	0	1	1	1	1	1	0	Kidney mitochondrial carrier protein 1	357191518.333333	SLC25A30;SLC25A14	0.768383294901358	0.00406533122861854	0.019877856117696	0.000513850469150423	-0.143890213609222	R_Bin_1
non-regulated	Methotrexate:Q06278	Methotrexate	Q06278	0.000684999411148542	-1.00653448229722	1.03277078275312	645.729497159691	645.729497159691		TRUE	0.9960288833694	0.040304842394154	-19.1410178904216	-18.0998152365618	0.0141716040360778	1	0	0.0524281447644182	0	0	0	1	0	1	0	0	0	Aldehyde oxidase	10716480	AOX1	0.133230848065591	0.014573670614893	0.0161819302177528	0.0121612723955968	-0.144355089850412	R_Bin_1
non-regulated	Methotrexate:Q9UKA2	Methotrexate	Q9UKA2	0.000650068032671018	-0.974654940160596	1.00190901296237	652.902871857592	652.902871857592		TRUE	0.994990896246675	0.0451465433388073	-17.7797127259502	-16.7385100720905	0.0145995607247365	1	0	0	0.0713030588625409	0	0	1	0	0	1	0	0	F-box/LRR-repeat protein 4	18754078.5	FBXL4	0.229823212913144	0.0153392087166471	0.0164486757455971	0.0127504411652962	-0.140819912603927	R_Bin_1
non-regulated	Methotrexate:Q9HBK9	Methotrexate	Q9HBK9	0.000413433427411513	-0.949867447191234	0.988556137426668	672.359601214771	672.359601214771		TRUE	0.994028469221262	0.0492634135556361	-16.7324970912528	-15.6912944373931	0.0199568047625851	1	0	0	0.0759773194980758	0	0	1	0	0	1	0	0	Arsenite methyltransferase	89022946	AS3MT	0.526646169613118	0.0204181327985739	0.0211101235931994	0.018803484775882	-0.140686362300055	R_Bin_1
non-regulated	Methotrexate:Q8IZU2	Methotrexate	Q8IZU2	0.0119643889263032	-0.994917716182639	1.00000339151846	653.817049668026	653.817049668026		TRUE	0.997680114619449	0.0307345972118254	-22.3940097542632	-21.3528071004035	0.0206074725994593	1	0.0687114125903253	0	0	0	0	1	1	0	0	0	0	WD repeat-containing protein 17	212311185.5	WDR17	0.683832949013579	0.0206137563267528	0.0549172085456169	-0.0137307952572519	-0.148746692507742	R_Bin_1
