.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Tanespimycin:P04792	Tanespimycin	P04792	-0.8639644577546	5.48687971038823	117.205281101849	10969.2811907172	10969.2811907172	98114.7975893652	FALSE	0.925032142446928	9.57142013301983	46.4997650771133	47.5409677309731	12.8355595317136	1	0	17.184985050188	6.06240059035844	17.7216373762523	59.1778563005456	1	0	3	3	2	3	Heat shock protein beta-1	3779593	HSPB1	0.049473143150861	2.90660177767548	5.49181793359596	59.1148968046087	9.51233169061872	R_Bin_1
up	Tanespimycin:P17066	Tanespimycin	P17066	-1.24044151867687	2.29727978881866	38.8835823332917	1638.75469923334	1638.75469923334	2108.40793590143	FALSE	0.986261167770882	2.49086339248295	30.3459387447142	31.3871413985739	8.30527971923184	1	0.96571336762719	5.33155921544671	3.04491746807928	15.1797529249124	35.3714238715745	3	4	7	7	8	9	Heat shock 70 kDa protein 6	38448492.6	HSPA6	0.394114623490105	0.827557318801923	2.29749628880173	35.374602723264	6.06321703663888	R_Bin_1
up	Tanespimycin:P50454	Tanespimycin	P50454	-0.909887757766894	1.45684728223482	19.06567485275	2406.38995458144	2406.38995458144	2580.81727643027	FALSE	0.995650635786001	0.577847707712816	12.8130468946739	13.8542495485336	4.04275610761962	1	1.43947264525517	2.22705015050344	2.19709035960047	6.94380049862516	15.2801189772059	10	9	13	13	18	18	Serpin H1	455604443.5	SERPINH1	0.831148804934464	0.107699161986803	1.45866335964603	15.2828985124169	2.51096053300676	R_Bin_1
up	Tanespimycin:O95817	Tanespimycin	O95817	-1.71035613845994	1.34702080383196	7.84224194539678	749.821101715424	749.821101715424	194.067611439786	FALSE	0.989959092043406	0.442283500348898	9.60473562445021	10.6459382783099	2.81275336992588	1	1.21199595190075	1.85316395037772	1.52683353845758	5.37985059555316	7.76529211738343	12	10	14	13	15	14	BAG family molecular chaperone regulator 3	204656333.333333	BAG3	0.710742739655616	0.077978813734744	1.34702233504713	7.76581780441758	1.31439126017012	R_Bin_1
up	Tanespimycin:O94900	Tanespimycin	O94900	0.0279863477577565	3.84174998091293	1.00001436793018	841.544363893356	841.544363893356		FALSE	0.945071625084072	0.215947058317942	1.00172199194914	2.04292464580886	2.35582689071318	1	2.31251570044837	2.32537084109898	2.21978492253364	2.66430282092553	2.37119140741101	2	1	1	2	1	2	Thymocyte selection-associated high mobility group box protein TOX	29962091	TOX	0.343484965304549	0.128820496000096	2.24214001791593	2.47007359207534	0.223020927997748	R_Bin_1
up	Tanespimycin:O60496	Tanespimycin	O60496	-1.4425245687639	1.01893837035494	5.03746143482654	503.168639906157	503.168639906157	58.233620135791	FALSE	0.998640323064997	0.103180263174082	-7.86094629786985	-6.81974364401012	2.06578469684069	1	0.93212589442651	1.14792487244684	1.36532545138649	3.95145523756909	4.98327323221055	5	4	4	5	8	9	Docking protein 2	125442967.666667	DOK2	0.622847597018761	0.014318945089925	1.01895674638591	4.98431497251676	0.834050136269147	R_Bin_1
non-regulated	Tanespimycin:Q9Y236	Tanespimycin	Q9Y236	-4.71001189661778	0.250643878687583	8.82806420588154	953.590323269285	953.590323269285	360.666919152232	FALSE	0.988866910802282	0.612415943055066	13.5102630308747	14.5514656847344	2.00204230137771	1	0	0	0	5.01728377274309	8.82800058302148	1	0	0	0	1	1	Oxidative stress-induced growth inhibitor 2	1894800	OSGIN2	0.0373939861218196	0.250643880727053	0.250643878687583	8.82793050569124	1.54833869238105	R_Bin_1
non-regulated	Tanespimycin:A5PL33	Tanespimycin	A5PL33	0.000407176160902212	-1.00086711335531	1.00504705412092	693.30313524527	693.30313524527		TRUE	0.999943361592192	0.00485514857433503	-44.5382008918809	-43.4969982380211	0.00272042528131098	1	0.00286691057675356	0	0	0	0	1	1	0	0	0	0	Protein KRBA1	265908619.5	KRBA1	0.752505782575174	0.00225026054537303	0.00389583644548464	0.0015450129628356	-0.143102878049436	R_Bin_1
non-regulated	Tanespimycin:Q9UPV0	Tanespimycin	Q9UPV0	0.000629834017600146	-0.975473916730746	1.0018925427165	652.90760714472	652.90760714472		TRUE	0.995284038139918	0.0438178192874721	-18.138190522851	-17.0969878689913	0.0141519514377132	1	0	0	0.0692032344954557	0	0	1	0	0	1	0	0	Centrosomal protein of 164 kDa	151707179	CEP164	0.658828064764842	0.0148688681367788	0.0159442386734102	0.0123596600725007	-0.140879907585844	R_Bin_1
non-regulated	Tanespimycin:Q9C000	Tanespimycin	Q9C000	0.000307259152095191	-0.985578330031738	1.01674734866754	499.3029847192	499.3029847192	7832.54882023572	TRUE	0.999055112572981	0.0194953457930177	-27.8565682175908	-26.815365563731	0.0160089176637075	1	0.0282917504610665	0.0200619021456559	0.0251558393020189	0	0.0153356028286989	1	1	1	1	0	1	NACHT, LRR and PYD domains-containing protein 1	590539387	NLRP1	0.858134155744025	0.0105377989691345	0.0168943083536741	0.015123526531255	-0.14294580857381	R_Bin_1
non-regulated	Tanespimycin:Q5SQH8	Tanespimycin	Q5SQH8	0.00962381098236355	-0.97421521267392	1.00000367709612	659.826768360225	659.826768360225	209914.231553942	TRUE	0.989643029492289	0.0646398998363053	-13.4726949594036	-12.4314923055439	0.0273201152120604	1	0	0.109264472607104	0	0	0	1	0	1	0	0	0	Uncharacterized protein C6orf136	13126096	C6orf136	0.189282960678489	0.0327881950773332	0.0546424063371308	-1.69225048824995e-05	-0.145978984931632	R_Bin_1
non-regulated	Tanespimycin:Q8N141;Q9Y2G7;Q9ULD5	Tanespimycin	Q8N141;Q9Y2G7;Q9ULD5	0.012883291745522	-0.966789295544029	0.999998550059638	722.844961091259	722.844961091259	142362.52410603	TRUE	0.981499174174529	0.0861574680839802	-10.0245575807449	-8.98335492688517	0.0364160714808415	1	0	0.14564028558807	0	0	0	1	0	1	0	0	0	Zinc finger protein 82 homolog	108889723.4	ZFP82;ZFP30;ZNF777	0.59432022616294	0.0437080709456849	0.0728317659346199	-3.58988832183105e-05	-0.147018293873945	R_Bin_1
non-regulated	Tanespimycin:O15231	Tanespimycin	O15231	0.00104783249139941	-0.931032794138528	0.99999983309988	2221.96901821386	2221.96901821386	1326385.86476189	TRUE	0.987572088163983	0.0698015398246313	-12.5508044946003	-11.5096018407406	0.0366345195277678	1	0	0.0360159428489729	0.119854488779963	0.024405565142725	0	1	0	1	1	1	0	Zinc finger protein 185	573081855.333333	ZNF185	0.855178617322025	0.0360521381304208	0.0395463880502523	0.0337226249243326	-0.138369850246881	R_Bin_1
non-regulated	Tanespimycin:Q8IZU2	Tanespimycin	Q8IZU2	0.0205043629226485	-0.898897550788985	0.999975583601287	8.15076394880902	8.15076394880902	141.947681005877	TRUE	0.997956932728186	0.0285321853339006	-23.2862842146554	-22.2450815607957	0.0373584187104189	1	0.0927733449058416	0.0380595757530594	0	0	0	1	1	1	0	0	0	WD repeat-containing protein 17	94700868.25	WDR17	0.571318427139553	0.0201912118029396	0.0933454602055198	-0.0185675367315798	-0.15189656029916	R_Bin_1
non-regulated	Tanespimycin:A6NCN2	Tanespimycin	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tanespimycin:O00220	Tanespimycin	O00220	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tumor necrosis factor receptor superfamily member 10A	0	TNFRSF10A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tanespimycin:O15061	Tanespimycin	O15061	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Synemin	0	SYNM	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tanespimycin:O15120	Tanespimycin	O15120	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	1	0	0	1	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	0	AGPAT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Tanespimycin:O43741	Tanespimycin	O43741	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	5'-AMP-activated protein kinase subunit beta-2	0	PRKAB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
