.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	SRT2104:Q8N2U0	SRT2104	Q8N2U0	-7.95914251360709	0.287765133265336	13.2397217199364	2.73126947400617	2.73126947400617	17.9258474336988	FALSE	0.940699528955941	2.61096852720407	30.9110408412301	31.9522434950898	9.51842452265801	1	0	16.1809648230972	13.0875342919468	12.3281762596457	11.3597683216252	1	0	1	1	1	1	Transmembrane protein 256	779504	TMEM256	0.0234765234765235	0.811890163488745	0.287765133313211	13.2397217199364	2.44828399588322	R_Bin_1
up	SRT2104:O60749	SRT2104	O60749	0.0309542430414599	4.79742787757443	0.999985852314256	718.055413469699	718.055413469699		FALSE	0.998163117176664	0.0513869427931116	-16.2260680280704	-15.1848653742107	2.80725457156523	1	2.67211318495308	2.82418761043463	2.85044111456747	2.87182016781107	2.98611739454892	8	8	6	7	5	6	Sorting nexin-2	237311902.166667	SNX2	0.722152847152847	0.0353074304893521	2.63940841203496	2.97606262083104	0.30159889787004	R_Bin_1
up	SRT2104:Q9P013	SRT2104	Q9P013	0.0068820532766487	4.18681803186416	1.00000030361411	591.848926704915	591.848926704915		FALSE	0.846459146090938	0.43554317231275	9.42044975435627	10.461652408216	2.5773501665099	1	2.46198636854165	2.40983357696419	3.12530299826678	2.38216135868726	2.5390181893134	2	1	1	1	1	1	Spliceosome-associated protein CWC15 homolog	40542442.3333333	CWC15	0.410714285714286	0.187663281134581	2.54579922910914	2.6089095011061	0.233459581094469	R_Bin_1
up	SRT2104:Q8WVD3	SRT2104	Q8WVD3	0.000239008709780328	4.08676637376741	0.997526608325031	11156.4160664484	11156.4160664484		FALSE	0.889487855889461	0.349607351029952	6.78305071120842	7.82425336506814	2.54106371333924	1	2.9526524833268	2.35508996632533	2.43761348835906	2.56638839931294	2.37285936549604	2	1	1	1	1	1	E3 ubiquitin-protein ligase RNF138	26532469.6666667	RNF138	0.333291708291708	0.177514078657414	2.54000113580734	2.54212629155421	0.165372231356353	R_Bin_1
up	SRT2104:Q86XA9	SRT2104	Q86XA9	-6.08783215055601	0.473222560122692	10.4146589778306	912.959260907822	912.959260907822	681.127937214421	FALSE	0.990541270371322	0.672236567179011	14.6286464215955	15.6698490754552	2.54072453466487	0	1	0.895609905380973	0	6.78977425828415	10.4136933390682	0	1	1	0	2	1	HEAT repeat-containing protein 5A	0	HEATR5A	0	0.447804952684712	0.473222560122692	10.4146543128318	1.95834798756607	R_Bin_1
up	SRT2104:Q9P2S5	SRT2104	Q9P2S5	-3.09921814963456	0.999997846844803	2.42716418612695	0.747739445838337	0.747739445838337	0.931493809820045	FALSE	0.970174769110585	0.158897951419415	-2.67953116083877	-1.63832850697904	2.17759597751477	1	2.01483133940271	2.48526762174866	2.29283367080341	2.35078509663114	2.5794433570654	1	2	1	1	3	1	WD repeat-containing protein WRAP73	126151500.5	WRAP73	0.618881118881119	0.0674718366119094	1.0027883456201	2.42716418612672	0.248932688744772	R_Bin_1
up	SRT2104:Q9GZU1	SRT2104	Q9GZU1	-6.29192966949147	0.333909594101846	4.35132749299746	76.5733543041976	76.5733543041976	641.888810378406	FALSE	0.934658086876144	0.877164083293273	17.8216515166504	18.8628541705101	2.03408014855496	1	0	0	3.71991589361434	3.69096623132963	5.01169266342069	1	0	0	2	2	1	Mucolipin-1	11659570	MCOLN1	0.190809190809191	0.497140736612415	0.333909594101846	4.35132749299726	0.995750797277334	R_Bin_1
up, low confidence	SRT2104:P35080	SRT2104	P35080	0.000369386403024625	3.05259300927846	0.995352419049554	97594.809446562	97594.809446562		FALSE	0.910494105101085	0.20667260689561	0.474953848816801	1.51615650267653	2.02244628980849	1	2.11070560532547	2.22222291801478	1.96640031707132	1.95896992650761	1.84969302717863	3	3	3	2	3	2	Profilin-2	102221032.166667	PFN2	0.580294705294705	0.131381173883134	2.02135268573543	2.02353989618162	0.101069585671317	R_Bin_1
up	SRT2104:P49069	SRT2104	P49069	-0.740931757572438	1.03268868072547	2.53859543474948	5.23980856081307	5.23980856081307	6.24615739975476	FALSE	0.932121863435055	0.270792480074529	3.71755592107554	4.75875857493527	2.01223056096468	1	1.45983180319676	1.81845670429714	2.64060195302188	2.28632307056387	2.59191442568792	3	5	1	1	2	3	Calcium signal-modulating cyclophilin ligand	67070996.6666667	CAMLG	0.507617382617383	0.126443496809949	1.10878823009608	2.53303092451338	0.321748319407591	R_Bin_1
non-regulated	SRT2104:Q8WTP8	SRT2104	Q8WTP8	2.51795435354022e-06	-0.981306041247538	1.00002321266676	654.231324416665	654.231324416665		TRUE	0.997858943156383	0.0296201205933406	-22.8372307730404	-21.7960281191807	0.00936236427915202	1	0	0	0.0468335123058837	0	0	1	1	0	1	0	0	Apoptosis-enhancing nuclease	611329483.5	AEN	0.854020979020979	0.00936523611890067	0.00936954387852129	0.00935518467978524	-0.141519042505546	R_Bin_1
