.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Vincristine:Q9UM47	Vincristine	Q9UM47	-5.26120733336141	0.719771258875173	717.634066588953	12120.02610635	12120.02610635	28590.9379639503	FALSE	0.999898827212275	1.2413346216284	21.988631315522	23.0298339693817	4.40912172470729	1	2.10292256311136	0.491763449332912	0	0	191.898152630812	2	1	1	0	0	1	Neurogenic locus notch homolog protein 3	12942667.8	NOTCH3	0.202947845804989	0.500000003914651	0.719771258875173	191.897942054235	27.0768637718684	R_Bin_1
up	Vincristine:O95235	Vincristine	O95235	-0.47230460458681	0.999911287291077	4.56101789335323	0.0704797976084503	0.0704797976084503	0.0209972902684704	FALSE	0.999820168673244	0.0292807489214778	-22.9755141349741	-21.9343114811143	4.16127259659885	1	3.7652468250801	4.26904901700617	4.4157173693644	4.52898535984215	4.55825218053831	16	26	27	22	23	26	Kinesin-like protein KIF20A	298280625.333333	KIF20A	0.767195767195767	0.0155811465046303	2.92723387185055	4.54793500230035	0.577975567409598	R_Bin_1
up	Vincristine:P53350	Vincristine	P53350	-0.390519933343364	0.99992589714648	4.50765006677266	0.0306906741610365	0.0306906741610365	0.0194868664560937	FALSE	0.998991532369755	0.0679198158722651	-12.8787433626069	-11.8375407087472	4.13164631711117	1	3.78907314987861	4.17786466592877	4.39580771724202	4.37044096934085	4.53034891927282	14	21	23	25	24	25	Serine/threonine-protein kinase PLK1	370242714.833333	PLK1	0.800453514739229	0.0391306339008901	3.15128098303562	4.48315670647854	0.56039403160183	R_Bin_1
up	Vincristine:Q9BW19	Vincristine	Q9BW19	-0.0697681904718853	0.999683016221149	5.54135041365837	3.28640511681914	3.28640511681914	16.8472921966733	FALSE	0.99878449962465	0.0587974380209945	-14.6094979405922	-13.5682952867325	3.44714217115475	1	3.17409622285682	3.40280999032747	3.49000727852056	3.68630984027851	3.92854446626435	13	16	19	18	17	18	Kinesin-like protein KIFC1	310520494.5	KIFC1	0.774754346182918	0.0414674308502152	2.99522509282513	3.88979631889938	0.464758870622283	R_Bin_1
up	Vincristine:Q96HE9	Vincristine	Q96HE9	-0.181510198087944	1.00151662551151	4.58726162729403	0.335542346855417	0.335542346855417	0.794789169928865	FALSE	0.989852843291266	0.18137362118383	-1.09196802531873	-0.0507653714590006	3.44497943024249	1	3.03698341936028	3.21696519733806	3.60212364322048	4.09944025031694	4.00962855454827	2	2	2	2	2	3	Proline-rich protein 11	9097959.8	PRR11	0.142857142857143	0.105854490609237	2.59820190172706	4.10840723491628	0.532019191756964	R_Bin_1
up	Vincristine:Q562F6	Vincristine	Q562F6	0.0216160273771922	5.81776135466087	0.999976215916871	681.966883093367	681.966883093367		FALSE	0.979108779413691	0.223283541702603	1.40263207992329	2.44383473378302	3.329043799311	1	3.14708996480538	3.24163373362116	3.63089342300713	3.41433252383937	3.36079287828475	11	21	19	21	23	22	Shugoshin 2	94068994.6666667	SGO2	0.572562358276644	0.105075147398067	3.17973489377691	3.47876341305689	0.371284335940334	R_Bin_1
up	Vincristine:P49454	Vincristine	P49454	0.0359520762569162	5.9168591363937	0.999864437120953	824.158965465344	824.158965465344		FALSE	0.967286994137352	0.283898462805227	4.28472245160299	5.32592510546271	3.31494250264272	1	3.02305913861465	3.31956855889168	3.66753395338187	3.2499431713846	3.56730724911381	29	61	55	58	54	62	Centromere protein F	376471894	CENPF	0.802595112118922	0.178482863012214	3.06331996413804	3.56859513581167	0.396147249667688	R_Bin_1
up	Vincristine:P53814	Vincristine	P53814	-0.379012528330465	1.00047940568016	3.61357566544731	0.0584407850172106	0.0584407850172106	0.130499876567606	FALSE	0.982531072575882	0.20964788162048	0.646475095245203	1.68767774910493	3.2624870098716	1	2.99426798095242	3.11666367368262	3.63593464096738	3.64535052355622	3.44912076477594	3	3	5	3	5	3	Smoothelin	15460603.3333333	SMTN	0.239732930209121	0.153352746724289	2.43956940614188	3.58671064542365	0.42051778339931	R_Bin_1
up	Vincristine:Q13126	Vincristine	Q13126	-19.5477072875455	0.50012200783031	4.45920992600485	3.6870095014428	3.6870095014428	9412.73237025078	FALSE	0.957250338322561	0.683149357100382	14.8218848292364	15.8630874830961	3.21854192646107	1	0	4.61834113075652	4.90384813683076	4.27578726173986	4.0388335452153	1	0	1	1	1	2	S-methyl-5'-thioadenosine phosphorylase	2518444	MTAP	0.0322499370118418	0.43250729580773	0.50012200783031	4.45920992600485	0.808772471924866	R_Bin_1
up	Vincristine:P00747;P08519	Vincristine	P00747;P08519	-0.309544407355455	1.01261687640988	5.19252089605438	40.9385448761204	40.9385448761204	32.5981011536337	FALSE	0.996976210795826	0.114772404386573	-6.58326443421775	-5.54206178035802	3.03586156302562	1	2.09386634395442	2.56556319281887	3.36633089650933	4.15805874420297	4.49815181137835	2	4	4	5	4	6	Plasminogen	21602006.2	PLG;LPA	0.301839254220207	0.0817423640340422	1.57478462629315	4.54793921725043	0.69954582746651	R_Bin_1
up	Vincristine:P04004	Vincristine	P04004	0.00872560263582756	4.98131256551188	0.999997535287703	659.209324394658	659.209324394658		FALSE	0.841351292658315	0.553732983593205	12.3015137626148	13.3427164164745	2.96428485046837	1	2.64827934722289	3.35262505268408	2.72011963503896	3.4512620160079	2.69911284004408	1	1	2	1	2	1	Vitronectin	12311140	VTN	0.193877551020408	0.356749914020674	2.91432123253773	3.01427063012449	0.293485908255152	R_Bin_1
up	Vincristine:O95067	Vincristine	O95067	0.0771601460741374	4.3026828894612	0.998681625183671	1.51565562713801	1.51565562713801	11.359383741299	FALSE	0.890613358061782	0.446046558943373	9.7064027306575	10.7476053845172	2.84035950819967	1	2.2873179050679	3.21814573796625	2.8601311183966	3.23016195345524	2.96510568381838	3	5	3	3	3	4	G2/mitotic-specific cyclin-B2	50714069.3333333	CCNB2	0.459939531368103	0.281194036586609	2.47805725885021	3.19063092083356	0.35131559841955	R_Bin_1
up	Vincristine:Q96GD4;Q9UQB9	Vincristine	Q96GD4;Q9UQB9	0.029406893376031	4.87035495131761	0.999974685527933	1088.07592866207	1088.07592866207		FALSE	0.99080425438814	0.116980157206277	-6.35462544855287	-5.31342279469315	2.83481617787422	1	2.71058199923897	2.74140087607267	2.9846807904188	2.98365708241331	2.91679619783852	6	6	8	7	7	7	Aurora kinase B	109763127.333333	AURKB;AURKC	0.600277147896196	0.07099997057856	2.67232662499288	2.99825829841841	0.304185318658907	R_Bin_1
up	Vincristine:Q9NYZ3	Vincristine	Q9NYZ3	-0.0616562512002869	0.998962412196776	4.27601654646592	4.02207725050847	4.02207725050847	62.1918171920011	FALSE	0.96331577211861	0.232051401286318	1.86482951753885	2.90603217139857	2.74043608357148	1	2.69256774234857	2.53612385020507	2.85944830189998	2.71298811190792	3.18761645124869	7	9	8	8	8	9	G2 and S phase-expressed protein 1	117846978.5	GTSE1	0.614638447971781	0.155012714555461	2.45167882025274	3.02495087177823	0.323504794760469	R_Bin_1
up	Vincristine:Q53HL2	Vincristine	Q53HL2	0.0852560162867197	4.09989530033395	1.0031572493362	1.97353341787649	1.97353341787649	11.4841522401917	FALSE	0.963092492337353	0.236347158801638	2.08494349702829	3.12614615088801	2.73025017472069	1	2.36839767603497	2.70196911470617	3.08051375485532	2.89206520523235	2.97778117107239	6	6	6	6	7	7	Borealin	152678009.166667	CDCA8	0.660367850844041	0.1257452184626	2.35572933947204	3.09100158125104	0.338241516660092	R_Bin_1
up	Vincristine:O15392	Vincristine	O15392	0.0219975972052172	4.41889380598314	0.999823449738187	676.170467322863	676.170467322863	87473.771545583	FALSE	0.877993797087842	0.404269179036603	8.52629395483504	9.56749660869476	2.65187218868112	1	2.74103731950232	2.23779775568914	3.02831741736286	2.5676988658949	2.79212582933553	4	4	4	4	4	5	Baculoviral IAP repeat-containing protein 5	85825686.6666667	BIRC5	0.556689342403628	0.254443913320503	2.5440539847053	2.75999667121987	0.263746669929403	R_Bin_1
