.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Cisplatin:P15559	Cisplatin	P15559	-5.6468921703437	0.249980687089484	142.111161537877	809.816698031135	809.816698031135	461.295365645729	FALSE	0.999965077198761	0.61258772984034	13.513628639456	14.5548312933157	31.2294819649865	0	1	0	0	109.051188827211	142.110870159601	0	1	0	0	1	2	NAD(P)H dehydrogenase [quinone] 1	0	NQO1	0	0.249980688276289	0.249980687089484	142.111064343569	29.5630833508468	R_Bin_1
up	Cisplatin:Q9Y2H2	Cisplatin	Q9Y2H2	-7.31123346508007	1.55840605988958	6.70232151218807	2850.85411888521	2850.85411888521	33045.8549258399	FALSE	0.817856423673939	1.56651555358298	24.7806311354197	25.8218337892795	2.11952701191792	1	0.901886916024814	3.5284338295922	1.17473486666497	1.19083855550052	6.70185985129493	2	1	2	2	1	1	Phosphatidylinositide phosphatase SAC2	14546795	INPP5F	0.198971061093248	0.471038626616333	1.55840605988958	6.70178885990933	0.772070148913558	R_Bin_1
up	Cisplatin:Q9C0D5	Cisplatin	Q9C0D5	-20.2432754561051	0.900033682321574	5.33503988789008	565.681039062187	565.681039062187	131954.53055004	FALSE	0.927284460902288	1.01501423272293	19.5732176299784	20.6144202838382	2.00672636392459	1	1.97478897269131	0.608162117177414	0	5.34409188110915	5.32591743108205	2	3	1	0	3	1	Protein TANC1	23738451.2	TANC1	0.293504823151125	0.195918941411293	0.900033682321574	5.33503988789008	0.88940953609961	R_Bin_1
non-regulated	Cisplatin:Q9BST9	Cisplatin	Q9BST9	0.00236393718320691	-0.993525183816978	0.99999998628475	640.490055068442	640.490055068442	879500.511064932	TRUE	0.999375584695352	0.0160480988576609	-30.1915926393095	-29.1503899854497	0.00678160229238666	1	0	0.0271262841699998	0	0	0	1	0	1	0	0	0	Rhotekin	85634827	RTKN	0.542893890675241	0.00813798233998964	0.0135632334537114	-2.47583962886822e-07	-0.143632179547714	R_Bin_1
non-regulated	Cisplatin:Q92692	Cisplatin	Q92692	0.00243753366335892	-0.993324358601905	0.999999986602905	640.503815278845	640.503815278845	666130.256254743	TRUE	0.999336043087002	0.0165460024166184	-29.8249430133277	-28.783740359468	0.00699201010735637	1	0	0.0279678992296187	0	0	0	1	0	1	0	0	0	Nectin-2	12090558	NECTIN2	0.166688102893891	0.00839047705474494	0.0139840498746285	-2.69422028020827e-07	-0.143656225692275	R_Bin_1
non-regulated	Cisplatin:Q8NCM8	Cisplatin	Q8NCM8	0.000331492651900073	-0.959467774957339	1.00104483174885	225.36585524744	225.36585524744		TRUE	0.996472409191555	0.0376995512340119	-19.9428990458859	-18.9016963920262	0.0211076022065864	1	0	0.0580130541979731	0	0.0339274842719826	0	1	0	2	0	1	0	Cytoplasmic dynein 2 heavy chain 1	285032974.5	DYNC2H1	0.754212218649518	0.0212946571639502	0.0220428764697428	0.0201723275562234	-0.141606588610915	R_Bin_1
non-regulated	Cisplatin:Q9NXD2	Cisplatin	Q9NXD2	0.000276266992219659	-0.949971549063701	0.996315232933908	386.345182947394	386.345182947394	19862.285059359	TRUE	0.984424666269549	0.0790137734409025	-11.0632111197161	-10.0220084658564	0.0235082846874788	1	0	0.00773073522295709	0.126292195676018	0	0	1	0	1	1	0	0	Myotubularin-related protein 10	118820276	MTMR10	0.601929260450161	0.0235082846818344	0.0242820893027019	0.0227344797886777	-0.139469672558484	R_Bin_1
non-regulated	Cisplatin:Q53GT1	Cisplatin	Q53GT1	0.000596634570737137	-1.03651708989195	1.09422279259128	676.195372104717	676.195372104717		TRUE	0.982913938570258	0.0834342802880867	-10.4099662206886	-9.36876356682889	0.0298262017522086	1	0	0	0	0	0.066513399598308	1	0	0	0	0	1	Kelch-like protein 22	524317267	KLHL22	0.838585209003215	0.0305580049310227	0.0316557055334845	0.0279966941445458	-0.133355228628813	R_Bin_1
non-regulated	Cisplatin:P12829	Cisplatin	P12829	0.0175747091293523	-0.993747409009607	1.00000351331195	701.727677485251	701.727677485251		TRUE	0.994956473340481	0.0451447376597194	-17.7801926870011	-16.7389900331414	0.0302509913614556	1	0.100903499482191	0	0	0	0	1	1	0	0	0	1	Myosin light chain 4	226870191	MYL4	0.716784565916399	0.0302713369694165	0.0805506192488006	-0.0201409737209939	-0.151506014241331	R_Bin_1
non-regulated	Cisplatin:Q8IWC1	Cisplatin	Q8IWC1	0.010813088258856	-0.971832592833189	0.999999099275053	709.196069587353	709.196069587353	162281.938773619	TRUE	0.986928933431257	0.0725330781878387	-12.0901648310789	-11.0489621772192	0.030655232164221	1	0	0.122607756331647	0	0	0	1	0	1	0	0	0	MAP7 domain-containing protein 3	36293306	MAP7D3	0.374147909967846	0.0367914561874715	0.0613102087087614	-2.11268678208532e-05	-0.146360221609476	R_Bin_1
