.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Thalidomide:Q68DC2	Thalidomide	Q68DC2	-3.84955174923823	0.929671442961063	873.59338934313	4609.87634510719	4609.87634510719	14426.0250845926	FALSE	0.999991399965917	1.57125228078953	24.8168612025606	25.8580638564203	60.6725853590599	1	0	2.71950494448108	0	3.35455302211274	831.45249506986	1	0	1	0	1	1	Ankyrin repeat and SAM domain-containing protein 6	4588038	ANKS6	0.0590349075975359	0.500000000003437	0.929671442961064	831.452283716106	118.845903699176	R_Bin_1
up, low confidence	Thalidomide:O00458	Thalidomide	O00458	-3.82062153930784	0.663580422373949	53.5132653253778	3954.52435335503	3954.52435335503	35964.0673129377	FALSE	0.99971731320729	0.556960361214436	12.3712515361146	13.4124541899743	4.96075783527812	1	0.747545448088657	0.908093246495077	0	0.938010154557826	52.0296510944945	1	1	1	0	1	1	Interferon-related developmental regulator 1	2644220.25	IFRD1	0.0427361396303901	0.164238921758815	0.663580422373949	52.02963454411	7.28033018129671	R_Bin_1
up	Thalidomide:P04792	Thalidomide	P04792	-5.89000397322601	0.332909792245764	7.20337811218186	87.4318842986373	87.4318842986373	217.040021320881	FALSE	0.982420721394224	0.732067997141287	15.6518034878014	16.6930061416611	3.16136958079059	1	0	0	5.06021648539469	7.65347440747186	6.75329299426963	1	0	0	2	1	1	Heat shock protein beta-1	3779593	HSPB1	0.0503080082135524	0.391507216564373	0.332909792245764	7.20337811217669	1.62248870511881	R_Bin_1
up	Thalidomide:O15265	Thalidomide	O15265	-9.62643169937382	0.335079612919148	5.47629638987346	33.3535513492345	33.3535513492345	618.33870982586	FALSE	0.951862868373773	1.00159809149541	19.4135478034599	20.4547504573197	2.88189706691135	1	0	0	5.59493114291113	4.60497188480669	6.22887728578473	1	0	0	1	1	1	Ataxin-7	2645411	ATXN7	0.042864476386037	0.50002366139772	0.335079612919148	5.47629638987346	1.30154952075014	R_Bin_1
non-regulated	Thalidomide:Q8WWL2	Thalidomide	Q8WWL2	-5.00891239108675	0.196968335478617	82.4056897245512	7303.520061479	7303.520061479	98854.7844723727	FALSE	0.999792592129303	0.633084529604784	13.9085700805099	14.9497727343696	2.71551602393771	0	0	1	0	0	68.2941420128366	0	0	1	0	0	1	Protein spire homolog 2	0	SPIRE2	0	0.196968354516482	0.196968335478617	68.2941603893743	9.72773457326237	R_Bin_1
up	Thalidomide:Q9UKY1	Thalidomide	Q9UKY1	-5.44324912367597	0.961410500790069	11.240144071058	1697.59987338757	1697.59987338757		FALSE	0.997312732576492	0.341198549499898	6.49089743803232	7.53210009189205	2.54539552851218	1	0.557554168714649	1.17173391962002	1.11635732197214	1.5073990525383	11.2394837744363	1	1	1	1	1	1	Zinc fingers and homeoboxes protein 1	16839853	ZHX1	0.236652977412731	0.0967671212106589	0.961410500790069	11.239483813215	1.54261648360013	R_Bin_1
non-regulated	Thalidomide:P84157	Thalidomide	P84157	0.000688469549237763	-1.06476730056367	1.04152979395175	683.040443229005	683.040443229005		TRUE	0.993435612924439	0.0518705612354832	-16.1136604350587	-15.072457781199	-0.0105048167088646	1	0	0.0460793057232031	0	0	0	1	0	1	0	0	0	Matrix-remodeling-associated protein 7	4253059	MXRA7	0.0563398357289528	0.0121743286683117	-0.00841793222520515	-0.012591707023369	-0.144173694449234	R_Bin_1
non-regulated	Thalidomide:P98160	Thalidomide	P98160	0.000400948500731862	-1.01655093364339	1.01641091865354	692.830809774443	692.830809774443		TRUE	0.999665918515988	0.0117917583014197	-33.8898672742752	-32.8486646204155	0.000559036899096129	1	0	0	0.00280439233276085	0	0	1	0	0	1	0	0	Basement membrane-specific heparan sulfate proteoglycan core protein	11045762	HSPG2	0.160292607802875	0.00102825353748426	0.00173207728222735	-0.000614004600799634	-0.142777017361921	R_Bin_1
up, low confidence	Thalidomide:Q9NS37	Thalidomide	Q9NS37	-3.37144456630521	0.956780889508391	10.145337128098	2720.57319735054	2720.57319735054	17622.9551591792	FALSE	0.999544848665275	0.124244283221847	-5.63168149162255	-4.59047883776283	1.9993320331672	1	0.959098527413338	1.05200557223845	0.815733335812697	1.26135602796268	10.0326746123098	1	2	1	1	1	2	CREB/ATF bZIP transcription factor	8292241.5	CREBZF	0.118711498973306	0.0227683741861822	0.956780889508401	10.032649271687	1.30953923790775	R_Bin_1
non-regulated	Thalidomide:Q9BQK8	Thalidomide	Q9BQK8	0.000680036902123676	-0.99330087654556	0.998360726588257	3474.59551937887	3474.59551937887		TRUE	0.999936527593427	0.00513856128392002	-43.8573997219902	-42.8161970681304	0.00412112745804846	1	0.00214236001142685	0	0	0.00184617821136424	0	1	1	0	0	1	0	Phosphatidate phosphatase LPIN3	5784495685	LPIN3	0.986267967145791	0.00343977564278276	0.00607025908438563	0.00217198770543114	-0.142882529868577	R_Bin_1
non-regulated	Thalidomide:O15231	Thalidomide	O15231	0.00355902373214184	-0.989045352060381	1.00000002997873	2529.89078139233	2529.89078139233	10.000000000359	TRUE	0.998797108729399	0.022152560853349	-26.3232400877377	-25.2820374338779	0.0132321155224256	1	0.0381759896596236	0	0	0	0.0177978912260335	1	1	0	0	0	1	Zinc finger protein 185	573081855.333333	ZNF185	0.85523613963039	0.0150113364672718	0.0234181833706417	0.00304496303159596	-0.14358681465282	R_Bin_1
