.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Alvocidib:Q9Y236	Alvocidib	Q9Y236	-5.65316620939824	0.0114169654115132	12.2879222785873	153.817921907718	153.817921907718	482.835456192702	FALSE	0.927826916530251	2.74650332101004	31.518329008333	32.5595316621927	4.4631980472275	0	0	0	1	15.0337102224756	9.54108619715748	0	0	0	1	1	1	Oxidative stress-induced growth inhibitor 2	0	OSGIN2	0	0.0114181613204717	0.0114169654115132	12.2879222778956	2.68018747580612	R_Bin_1
up	Alvocidib:P04004	Alvocidib	P04004	-6.23079142679559	0.972952770431619	10.3209217977047	158.660014537264	158.660014537264	817.982253542052	FALSE	0.909912423436253	2.371516908728	29.7567435679697	30.7979462218294	4.33760946988686	1	1.18391107478	0.73505642206296	1.47163799916231	12.6815970205836	7.96017884641852	1	1	1	1	2	2	Vitronectin	12311140	VTN	0.199724345320135	0.224427481177591	0.972952770431619	10.3209217976474	2.00087238990294	R_Bin_1
up	Alvocidib:Q15493	Alvocidib	Q15493	-5.89248853718532	1.31927276634734	8.26356679797053	153.11991104477	153.11991104477	458.681522709865	FALSE	0.966785970836814	1.03289498456805	19.7827723046507	20.8239749585104	3.84019776167308	1	1.60582723415122	1.35217892586457	1.840084905994	9.25042076030326	7.27639147877124	2	1	1	1	2	2	Regucalcin	5078612	RGN	0.0694148602931963	0.302913617075147	1.31927276634734	8.26356679783027	1.56581839864119	R_Bin_1
non-regulated	Alvocidib:P22352	Alvocidib	P22352	-15.4379877753012	0.251258481749584	10.1043845152049	210.822245928211	210.822245928211	4959.20394549374	FALSE	0.98848751479521	0.868328798705069	17.7001679842229	18.7413706380826	3.5545156633655	1	0	0	0	10.7200209534586	9.48881502826204	1	0	0	0	1	1	Glutathione peroxidase 3	2481841	GPX3	0.0340809422378148	0.433463179433109	0.251258481749584	10.1043845152049	2.13154680004817	R_Bin_1
up	Alvocidib:Q99622	Alvocidib	Q99622	-5.49521144504563	0.721273538907472	7.22307335512863	129.354352256753	129.354352256753	688.775680302232	FALSE	0.984710746165091	0.636128180071895	13.9661236731262	15.0073263269859	3.17679694439031	1	1.17964701325167	0	1.99265730588001	7.24828272688041	7.19775928976744	1	1	0	1	3	2	Protein C10	4754895	C12orf57	0.0640270642776595	0.152020263090136	0.721273538907472	7.22307335485519	1.46249602558867	R_Bin_1
up	Alvocidib:Q16772;P09210;P08263	Alvocidib	Q16772;P09210;P08263	-5.88714501039756	1.09597243059808	6.31811816031259	156.551717658479	156.551717658479	537.493632112295	FALSE	0.945489767701117	1.00800394517786	19.490051014689	20.5312536685488	2.98166947921735	1	1.22464716941684	1.06353391886412	1.44384301122678	7.31926988256763	5.31670464163097	1	1	1	1	2	2	Glutathione S-transferase A3	14953292	GSTA3;GSTA2;GSTA1	0.23756421501065	0.112323584708106	1.09597243059808	6.3181181601897	1.14993429828485	R_Bin_1
up	Alvocidib:P00734	Alvocidib	P00734	-6.12253728213774	1.09867290739564	6.26447184901815	161.120654252521	161.120654252521	473.549927065587	FALSE	0.98423408305393	0.52739515835812	11.7167237888265	12.7579264426862	2.95111826764429	1	1.10569455688966	1.19046158259259	1.36281552612853	6.78309605619325	5.74578649198114	4	5	4	5	9	9	Prothrombin	85898164	F2	0.559453702543541	0.0952306862745679	1.09867290739564	6.26447184896366	1.16952831146721	R_Bin_1
up	Alvocidib:P69905	Alvocidib	P69905	-6.33450568528975	1.22715151593904	5.41269167303637	203.842023195703	203.842023195703	746.116742035608	FALSE	0.961468673452755	0.682251525733915	14.8061034157542	15.847306069614	2.64259078686909	1	1.55503769536715	1.12974740430589	1.26973039949026	6.02981510611564	4.7952193160362	2	1	1	1	3	3	Hemoglobin subunit alpha	379247104	HBA1	0.805036962786618	0.27751884768357	1.22715151593904	5.41269167295472	0.929726051646024	R_Bin_1
up	Alvocidib:P02774	Alvocidib	P02774	-7.13708581192644	1.10639362531972	5.69280067036306	229.794561379642	229.794561379642	2073.35462381209	FALSE	0.860817339923113	1.50497907423987	24.2997339399232	25.3409365937829	2.60966419868672	1	0.675962410017736	1.66117418142775	1.09768859298178	7.11129159767507	4.27412372789293	2	2	1	2	2	2	Vitamin D-binding protein	13029460.1666667	GC	0.209622854278912	0.492605885264002	1.10639362531972	5.69280067035381	1.00323201754259	R_Bin_1
up	Alvocidib:Q9BPZ3	Alvocidib	Q9BPZ3	-11.9477569621543	0.307665056241862	4.75431660045067	30.563941837627	30.563941837627	1499.15132905463	FALSE	0.885930689332489	1.37387875087207	23.2060413471146	24.2472440009743	2.54414195850307	1	0	0	6.03215302372496	4.68954405967502	3.54214145210257	1	0	0	1	1	1	Polyadenylate-binding protein-interacting protein 2	4447494	PAIP2	0.0583886730986092	0.500003546817527	0.307665056241862	4.75431660045067	0.937471213236082	R_Bin_1
