.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	TAK-659:Q58FF6	TAK-659	Q58FF6	-6.06174322575941	9.68681497025503	121.819125681207	7636.83072293723	7636.83072293723	199379.734212366	FALSE	0.892591453726523	21.0146191289996	55.9370061468767	56.9782088007365	12.6078262572762	1	34.3735156658853	0	12.951176963587	0	103.514974517339	1	1	0	1	0	1	Putative heat shock protein HSP 90-beta 4	4516594	HSP90AB4P	0.0674907292954265	9.18681497025503	9.68681497025503	103.513801151204	12.0687286443607	R_Bin_1
up, low confidence	TAK-659:Q93086	TAK-659	Q93086	-6.58316450203913	1.03904211664433	187.530737496302	7697.45428275784	7697.45428275784		FALSE	0.999690157288423	1.79818858882828	26.4357438365397	27.4769464903994	5.69727961062664	1	1.08126649644793	0	3.11361987575911	0	159.274115160292	1	1	0	1	0	1	P2X purinoceptor 5	3028116	P2RX5	0.0451174289245983	0.540633248223965	1.03904211664433	159.274839018769	22.6068684625107	R_Bin_1
non-regulated	TAK-659:Q9ULI4	TAK-659	Q9ULI4	-4.64749334461989	0.250003718909168	14.0877389919678	2249.18433020482	2249.18433020482	70601.09070862	FALSE	0.995272575509877	0.612373906194049	13.5094393102459	14.5506419641056	2.04458016156954	1	0	0	0	0.562683434395475	14.0742792276779	1	0	0	0	1	1	Kinesin-like protein KIF26A	15767311.2	KIF26A	0.249443757725587	0.250003718990269	0.250003718909168	14.0742747171539	1.91598418404503	R_Bin_1
up	TAK-659:Q9UIF7	TAK-659	Q9UIF7	-7.93874169606387	1.04141413995482	2.9809280287551	29.7423026133903	29.7423026133903	202.088314867758	FALSE	0.844158611209433	0.721632988613464	15.4795228683767	16.5207255222364	2.02149709040997	1	1.35103579427861	0.773523581569733	3.66911459415079	2.35275286289443	2.92092865265276	2	2	1	1	2	2	Adenine DNA glycosylase	10707893.4	MUTYH	0.18380716934487	0.288925379669504	1.04141413995482	2.9809280287551	0.443011013762637	R_Bin_1
non-regulated	TAK-659:Q562R1	TAK-659	Q562R1	0.000589984221206678	-0.992528309287398	0.99835896127135	3474.17176292193	3474.17176292193		TRUE	0.999914832478926	0.00595490639829307	-42.0880915210424	-41.0468888671827	0.00429524446203521	1	0.000752201032766118	0	0.00105165553095166	0	0	1	1	0	1	0	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989245982694685	0.00391914384007284	0.00598561081436488	0.00260487280530819	-0.142891569930496	R_Bin_1
non-regulated	TAK-659:Q8WTP8	TAK-659	Q8WTP8	0.012384499822391	-0.994734017323986	1.00000349001649	653.580737793534	653.580737793534		TRUE	0.997513046135595	0.0318118487548751	-21.9806114622979	-20.9394088084381	0.0213290571232771	1	0.0711187799823935	0	0	0	0	1	1	0	0	0	0	Apoptosis-enhancing nuclease	611329483.5	AEN	0.855500618046971	0.0213360243389905	0.0568373745444888	-0.0142108947241261	-0.148953038284205	R_Bin_1
non-regulated	TAK-659:P35555;P35556	TAK-659	P35555;P35556	-8.70640505105539e-05	1.00024443220334	-0.955133729092569	1.60010528563834e+23	1.60010528563834e+23		TRUE	0.999553966698464	0.013292333124005	-32.4524283891477	-31.411225735288	0.0246823510420185	1	0.0181999160401751	0.0292610694857355	0.0168675892589782	0.0394660518685271	0.0220684108598621	2	4	1	1	2	1	Fibrillin-1	1475210463.16667	FBN1;FBN2	0.927812113720643	0.00719759809322915	0.0249273493653298	0.0244373525406579	-0.138235800526925	R_Bin_1
non-regulated	TAK-659:P0C7T5	TAK-659	P0C7T5	7.02709738778328e-05	-0.946856640902369	1.00127095895205	199.619744633387	199.619744633387		TRUE	0.994034588891971	0.0488006631861966	-16.8457505034239	-15.8045478495642	0.0272702183772933	1	0	0.0738348829002738	0	0.0464442987417368	0	1	0	1	0	1	0	Ataxin-1-like	7903067.4	ATXN1L	0.132880098887515	0.0273096204503772	0.0274672287379879	0.027073208013157	-0.140985771047859	R_Bin_1
non-regulated	TAK-659:Q9HBG7	TAK-659	Q9HBG7	2.03759439560095e-06	-0.926876893470811	0.999560484407919	2253.26449198877	2253.26449198877		TRUE	0.984846375814005	0.0771469582356338	-11.3501315183534	-10.3089288644937	0.036345982051753	1	0	0.122156938302472	0	0	0.060356529872606	1	0	1	0	0	1	T-lymphocyte surface antigen Ly-9	99523861	LY9	0.579975278121137	0.0363471118433368	0.0363516310096721	0.0363403330938336	-0.137724979683984	R_Bin_1
non-regulated	TAK-659:O75339	TAK-659	O75339	0.00181288268178653	-0.933447463958951	1.00000029904108	1287.90102517362	1287.90102517362	9.99999999999205	TRUE	0.976278262568072	0.0970481727459617	-8.59618755752904	-7.55498490366931	0.0365246450477635	1	0	0.02017033722396	0.15740832378786	0	0	1	0	1	1	0	0	Cartilage intermediate layer protein 1	42728745	CILP	0.427441285537701	0.0365246427011116	0.0415687478551228	0.0314804243499401	-0.138936057526746	R_Bin_1
non-regulated	TAK-659:O75425	TAK-659	O75425	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Motile sperm domain-containing protein 3	0	MOSPD3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:O94972	TAK-659	O94972	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	E3 ubiquitin-protein ligase TRIM37	0	TRIM37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:P07948	TAK-659	P07948	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tyrosine-protein kinase Lyn	0	LYN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:P18847	TAK-659	P18847	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cyclic AMP-dependent transcription factor ATF-3	0	ATF3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:P25940	TAK-659	P25940	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	1	0	1	Collagen alpha-3(V) chain	0	COL5A3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:P48060	TAK-659	P48060	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glioma pathogenesis-related protein 1	0	GLIPR1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:Q11201	TAK-659	Q11201	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	0	ST3GAL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TAK-659:Q14494	TAK-659	Q14494	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Endoplasmic reticulum membrane sensor NFE2L1	0	NFE2L1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
