.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Iadademstat:Q96C34	Iadademstat	Q96C34	2.50229239636819e-06	-0.981385234986733	1.00002310988798	654.23616393107	654.23616393107		TRUE	0.997877178939248	0.0294946228376008	-22.8881816947197	-21.8469790408599	0.00932269267610736	1	0	0	0.0466350829817448	0	0	1	0	0	1	0	0	RUN domain-containing protein 1	72656522.75	RUNDC1	0.491516839706255	0.0093255467666144	0.00932982790237735	0.00931555744983326	-0.141524711914807	R_Bin_1
non-regulated	Iadademstat:Q14410	Iadademstat	Q14410	0.0090776686869838	-0.99608089640794	1.00000022655134	649.299704327486	649.299704327486		TRUE	0.998669668181824	0.0233291240150912	-25.7022468821488	-24.6610442282891	0.0156452488993523	1	0.0521597396444484	0	0	0	0	1	1	0	0	0	0	Glycerol kinase 2	85288948	GK2	0.522663965560902	0.0156479898777729	0.0417046271640638	-0.0104265772427964	-0.14732797768381	R_Bin_1
non-regulated	Iadademstat:Q15697	Iadademstat	Q15697	0.00591083697597049	-0.984125718137797	0.999999752099306	666.446257291628	666.446257291628	282280.457657901	TRUE	0.996086291773928	0.0399263994807866	-19.2542243804343	-18.2130217265746	0.0168727686540826	1	0	0.0674886575539904	0	0	0	1	0	2	0	0	0	Zinc finger protein 174	25754091	ZNF174	0.295011395289947	0.020248214908388	0.0337457696236877	-3.67929305544745e-06	-0.144785390215828	R_Bin_1
non-regulated	Iadademstat:O75054	Iadademstat	O75054	0.000213578228976638	-0.958246975385928	1.00222862738735	731.731612162947	731.731612162947	115874.00407788	TRUE	0.987390598584351	0.0713007711510123	-12.2957916198702	-11.2545889660104	0.0223196779520576	1	0	0	0.112702427261629	0	0	1	0	0	1	0	0	Immunoglobulin superfamily member 3	50805330	IGSF3	0.420992656368701	0.0225607096088943	0.0229222569152033	0.0217170988232533	-0.139637073506811	R_Bin_1
non-regulated	Iadademstat:Q8IVF2	Iadademstat	Q8IVF2	0.00827988874813234	-0.977789189591805	0.999999652082149	662.056663070357	662.056663070357	197058.034841597	TRUE	0.992323748308639	0.0557341559804427	-15.2515592677396	-14.2103566138798	0.0235539109456084	1	0	0.0942098994314359	0	0	0	1	0	1	0	0	0	Protein AHNAK2	71618654.5	AHNAK2	0.489364396049633	0.0282669980868003	0.0471077804326304	-9.37942612044829e-06	-0.14554885426947	R_Bin_1
non-regulated	Iadademstat:Q92539	Iadademstat	Q92539	0.00792257750665197	-0.96341370135144	1.00000001963581	636.130260961433	636.130260961433	9.99999999948662	TRUE	0.998272760371184	0.0261790274633559	-24.3191739946156	-23.2779713407559	0.0299629922720045	1	0.0429415084395242	0.0440722349999663	0	0.0404216018982071	0	1	1	1	0	1	0	Phosphatidate phosphatase LPIN2	2248724235	LPIN2	0.948974423904786	0.0167592548915053	0.052337780245188	0.00758011829018501	-0.144332341560683	R_Bin_1
non-regulated	Iadademstat:Q6P1R3	Iadademstat	Q6P1R3	0.000373114248556483	-0.928496906417267	0.999993573284021	663.185858978135	663.185858978135		TRUE	0.966906204754969	0.115073956054072	-6.55177712174298	-5.51057446788325	0.0362957607097874	1	0	0	0.181940466800927	0	0	1	0	0	2	0	0	Myb/SANT-like DNA-binding domain-containing protein 2	30802580	MSANTD2	0.328310964801216	0.0367099653239218	0.0373312713270441	0.0352602492509168	-0.137658843805688	R_Bin_1
non-regulated	Iadademstat:A6NEY8	Iadademstat	A6NEY8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative prolyl-tRNA synthetase associated domain-containing protein 1	0	PRORSD1P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Iadademstat:A6NNH2	Iadademstat	A6NNH2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein FAM90A27P	0	FAM90A27P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Iadademstat:A8K0R7	Iadademstat	A8K0R7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	1	0	0	1	Zinc finger protein 839	0	ZNF839	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
