.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Alpelisib:Q49AN0	Alpelisib	Q49AN0	-4.95953497856401	1.13037490744046	323.480779556967	6716.83869096519	6716.83869096519		FALSE	0.999995651420027	0.380968504729456	7.81392314829442	8.85512580215415	13.0334479985993	1	1.46876578912133	0.769030064537137	1.29781095224341	1.14306683886515	284.157620084744	1	1	1	1	1	1	Cryptochrome-2	10508102.3333333	CRY2	0.151947551099113	0.148905336353014	1.13037490744046	284.157762561556	40.4382795560188	R_Bin_1
up	Alpelisib:O43502	Alpelisib	O43502	-9.60240507501511	2.04666893385863	6.23569365300427	429.047341396728	429.047341396728	6215.90383399072	FALSE	0.897598923625452	1.15516690078238	21.125324049101	22.1665267029608	3.19255255097417	1	2.3267211654373	3.09363217395451	1.76502793734363	6.63415217905342	5.83611629429741	1	1	2	2	1	1	DNA repair protein RAD51 homolog 3	10745388	RAD51C	0.154004370741741	0.399637555555862	2.04666893385863	6.23569365300396	1.02212200787784	R_Bin_1
non-regulated	Alpelisib:A0A024RBG1;Q9NZJ9	Alpelisib	A0A024RBG1;Q9NZJ9	-6.19267933247897	0.576784663343476	79.2984102574381	7118.01872930341	7118.01872930341	30816.06896461	FALSE	0.999292138685503	1.20555305673026	21.6376471712652	22.6788498251249	3.03474019364189	1	0	0	1.89173138497185	0	70.7503894179168	1	0	0	1	0	1	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	19124393.3333333	NUDT4B;NUDT4	0.261858850752025	0.576784663343476	0.576784663343476	70.7501152227023	10.0183908135587	R_Bin_1
non-regulated	Alpelisib:Q5SXM2	Alpelisib	Q5SXM2	-6.19635544693077	0.200169430935688	87.9821410496599	7033.50433522443	7033.50433522443	64036.0998039707	FALSE	0.999845660085093	0.632533908779474	13.8981286234005	14.9393312772603	3.02232727021462	1	0	0	0	0	79.0708998737587	1	0	0	0	0	1	snRNA-activating protein complex subunit 4	5575647	SNAPC4	0.0719886874919656	0.200169431092957	0.200169430935688	79.070907899001	11.1529856962512	R_Bin_1
up	Alpelisib:O75683	Alpelisib	O75683	-6.51283356531839	0.484556468968782	3.39225681516811	8.63428000383294	8.63428000383294	38.5219800979203	FALSE	0.952942730527572	0.500352353425715	11.0850733498141	12.1262760036739	2.26619818007304	1	0	2.58506064074324	3.401020404241	3.39531297722918	3.38044360821347	1	0	1	1	1	1	Surfeit locus protein 6	4851317	SURF6	0.062475896644813	0.0102885695427133	0.484556468969495	3.39225681516811	0.654403335321504	R_Bin_1
non-regulated	Alpelisib:Q9BQK8	Alpelisib	Q9BQK8	0.000416915216187055	-1.0008892940711	1.00421178576108	692.950369066552	692.950369066552		TRUE	0.999957521987554	0.00420598887491099	-46.2605641484987	-45.219361494639	0.00230641225050063	1	0.00125106683420612	0	0	0	0	1	1	0	0	0	0	Phosphatidate phosphatase LPIN3	5784495685	LPIN3	0.986245018639928	0.00192148660674182	0.00350944960087829	0.00110337366169966	-0.142964377157218	R_Bin_1
non-regulated	Alpelisib:Q5T2S8	Alpelisib	Q5T2S8	0.00348920806986825	-0.990594879785172	1.00000001772286	666.25231341484	666.25231341484	488039.866603957	TRUE	0.998637910583247	0.0236509786027998	-25.5378234235687	-24.4966207697089	0.00999452491220353	1	0	0.0399776000094197	0	0	0	1	0	1	0	0	0	Armadillo repeat-containing protein 4	12555794	ARMC4	0.182028538372541	0.0119936089952178	0.0199890721826359	-7.33801892471853e-07	-0.143999360000269	R_Bin_1
non-regulated	Alpelisib:Q9ULI4	Alpelisib	Q9ULI4	0.000599205069600656	-0.982423410432552	1.00179175608979	652.119067619841	652.119067619841		TRUE	0.997408228109631	0.0325661874585236	-21.6993826681133	-20.6581800142536	0.0105837176087531	1	0	0	0.0513956646820556	0	0	1	0	0	1	0	0	Kinesin-like protein KIF26A	67280914.5	KIF26A	0.505334875948065	0.0112681328784275	0.0122947518853488	0.0088726797653772	-0.141388695294798	R_Bin_1
non-regulated	Alpelisib:Q8N3X6	Alpelisib	Q8N3X6	0.000371742129217902	-0.969542599062677	0.990455110632415	424.915103003073	424.915103003073		TRUE	0.996994517257674	0.0348549437055009	-20.8843375292182	-19.8431348753585	0.0109294923204117	1	0	0.0503919160510939	0	0.0315537212529969	0	1	0	1	0	1	0	Ligand-dependent nuclear receptor corepressor-like protein	69611696	LCORL	0.513305052063247	0.016405996053806	0.0119780507487322	0.00988093316987937	-0.141592307208346	R_Bin_1
non-regulated	Alpelisib:Q9UHL0	Alpelisib	Q9UHL0	0.00599825093030724	-0.984980489632358	0.999992300269127	145.66811724602	145.66811724602	8176.4175809008	TRUE	0.999856230947523	0.00767573261785049	-39.0419124070511	-38.0007097531914	0.0120520255429123	1	0.0253832086367065	0.0177516866051754	0	0	0	1	1	1	0	0	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832883404036508	0.00406623646010601	0.0291836973588246	-0.00508145229880175	-0.145540037500437	R_Bin_1
non-regulated	Alpelisib:Q05481;Q9P255;O75437;A6NK75	Alpelisib	Q05481;Q9P255;O75437;A6NK75	0.00035979897949664	-0.97432847440252	1.00523389041268	438.240818924029	438.240818924029		TRUE	0.99846471630474	0.0250090428989821	-24.8678276301095	-23.8266249762498	0.0159208110924082	1	0.0220450926544099	0	0.0375553146301058	0	0	1	1	0	2	0	0	Zinc finger protein 91	791989046	ZNF91;ZNF492;ZNF254;ZNF98	0.885717958606505	0.0157158107919484	0.0169458124192163	0.0148958090963828	-0.143673713238089	R_Bin_1
non-regulated	Alpelisib:Q8IYJ2	Alpelisib	Q8IYJ2	0.00984665020184602	-0.991438333105204	1.00000436369852	851.863921299613	851.863921299613	49531.895522757	TRUE	0.999538914200734	0.0136696671785276	-32.1165256921533	-31.0753230382935	0.020423112695656	1	0.0389277404999153	0.0349982660322888	0	0	0	1	1	1	0	0	0	Uncharacterized protein C10orf67, mitochondrial	425151478	C10orf67	0.82015683249775	0.00835959724846539	0.0486191901645968	-0.00779023546062729	-0.14719375678663	R_Bin_1
non-regulated	Alpelisib:Q96C11	Alpelisib	Q96C11	0.00679463356091592	-0.96626759716545	1.00001551018949	538.30931968973	538.30931968973	79905.3382249693	TRUE	0.995875148381627	0.0406231682177514	-19.0466147398931	-18.0054120860334	0.0263399955051361	1	0.0631432755623175	0	0	0.0493607708173545	0	1	1	0	0	1	1	FGGY carbohydrate kinase domain-containing protein	60735190	FGGY	0.486180743026096	0.0277274614334109	0.0455601850869245	0.00711498105024033	-0.144038500406711	R_Bin_1
non-regulated	Alpelisib:Q92539	Alpelisib	Q92539	0.000404436089133277	-0.933933967634348	0.985440457771862	672.576843717024	672.576843717024		TRUE	0.989898570368579	0.0639063078496733	-13.6096604843508	-12.5684578304911	0.0263465510354285	1	0	0	0.0984030305642625	0	0	1	0	0	1	0	0	Phosphatidate phosphatase LPIN2	68832765	LPIN2	0.510476925054634	0.0267934045588285	0.0274636836765155	0.0252294173226215	-0.140045627698164	R_Bin_1
non-regulated	Alpelisib:O94972	Alpelisib	O94972	0.00982161334749895	-0.973704695445336	0.999999242870557	661.229909204776	661.229909204776	165789.115915086	TRUE	0.989211598525131	0.0659588699803894	-13.2303009473688	-12.1890982935091	0.0278759078783585	1	0	0.111494136767286	0	0	0	1	0	1	0	0	0	E3 ubiquitin-protein ligase TRIM37	32202409.5	TRIM37	0.358529373955521	0.0334549015773129	0.0557516233316521	-1.5488540064057e-05	-0.146042689621922	R_Bin_1
non-regulated	Alpelisib:Q6NSI4	Alpelisib	Q6NSI4	0.0129200596028423	-0.966607075138085	0.999998469969004	717.730339662549	717.730339662549	138522.183602701	TRUE	0.981395606300465	0.0863963247573601	-9.99133568670145	-8.95013303284172	0.0365167064243321	1	0	0.146044077568878	0	0	0	1	0	1	0	0	0	RPA-related protein RADX	5966238	RADX	0.0776449415091914	0.043828837947944	0.0730327682824413	-3.58561594442364e-05	-0.147029830787682	R_Bin_1
non-regulated	Alpelisib:A6NCN2	Alpelisib	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
