.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Pomalidomide:Q13885;Q9BVA1	Pomalidomide	Q13885;Q9BVA1	0.000674177870190988	-0.979980847485374	0.983840652998086	278.927429616505	278.927429616505	1415.38259813605	TRUE	0.998739476278411	0.0225969978989907	-26.0848726016755	-25.0436699478158	0.00265049416485278	1	0.0169029015955875	0.0141592739677832	0.00714933667356853	0.0164801510673776	0.0154572907638958	2	1	2	2	1	1	Tubulin beta-2A chain	5241117074.33333	TUBB2A;TUBB2B	0.981896327168533	0.0139106695705775	0.00455582772941388	0.000745156983359419	-0.140885478144553	R_Bin_1
non-regulated	Pomalidomide:P22413	Pomalidomide	P22413	0.00341804164177987	-0.990786218175275	1.00000001355496	666.340581758056	666.340581758056	488271.924594294	TRUE	0.998692990115736	0.0231709103920202	-25.7839057810041	-24.7427031271444	0.00979165072414126	1	0	0.0391661276774777	0	0	0	1	0	1	0	0	0	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	621055356	ENPP1	0.855691586350612	0.0117501502083664	0.0195833272326226	-6.94674267665008e-07	-0.143976175076499	R_Bin_1
non-regulated	Pomalidomide:Q13772	Pomalidomide	Q13772	0.0110823361635662	-0.995179180327739	1.00000034008553	647.280530020898	647.280530020898		TRUE	0.998011924113582	0.0284715626467074	-23.3118078879698	-22.27060523411	0.0190912910024682	1	0.0636538735546997	0	0	0	0	1	1	0	0	0	0	Nuclear receptor coactivator 4	45022004.5	NCOA4	0.40804897108622	0.0190962696793132	0.0508809557245802	-0.0127209812407917	-0.148313189161831	R_Bin_1
non-regulated	Pomalidomide:Q5VZK9	Pomalidomide	Q5VZK9	-0.000106417242736447	1.00161649847928	-0.96497008857854	314825194005868000	314825194005868000		TRUE	0.996403332051685	0.038034822808938	-19.8366517775191	-18.7954491236593	0.0202504981152741	1	0	0	0.0551013964851372	0.0411401457558222	0	1	0	0	2	1	0	F-actin-uncapping protein LRRC16A	171877879	CARMIL1	0.666710080750195	0.0207507779564044	0.0205516731195531	0.0199493228699643	-0.13775651903564	R_Bin_1
non-regulated	Pomalidomide:P32297	Pomalidomide	P32297	0.000410363177035897	-0.943310657382777	0.987197525506635	672.428765842167	672.428765842167		TRUE	0.992526735542185	0.055051221966646	-15.3995086113788	-14.3583059575191	0.0225488834615373	1	0	0	0.0847901127480425	0	0	1	0	0	1	0	0	Neuronal acetylcholine receptor subunit alpha-3	39339573.6666667	CHRNA3	0.382521489971347	0.0230049157652131	0.0236889629942193	0.0214088028029096	-0.140434568207199	R_Bin_1
non-regulated	Pomalidomide:Q96I76	Pomalidomide	Q96I76	0.000409591249192249	-0.941890620403976	0.986917091553171	672.447462064111	672.447462064111		TRUE	0.992166951569882	0.0563476855990231	-15.120183322165	-14.0789806683052	0.0231170192638842	1	0	0	0.0867735239074207	0	0	1	0	0	1	0	0	G patch domain-containing protein 3	47339052.3333333	GPATCH3	0.418207866631935	0.0235717927963217	0.0242539518764459	0.021980085532694	-0.140377899316931	R_Bin_1
non-regulated	Pomalidomide:Q53GT1	Pomalidomide	Q53GT1	0.0203214525862356	-0.993188503770029	1.00000631001753	716.931642721404	716.931642721404		TRUE	0.993236058113324	0.0522029742862224	-16.0370036720543	-14.9958010181946	0.0349671214627585	1	0.116662028801192	0	0	0	0	1	1	0	0	0	0	Kelch-like protein 22	524317267	KLHL22	0.836285491013285	0.0349987603550895	0.0930614740618103	-0.0232707791336531	-0.152856745325816	R_Bin_1
non-regulated	Pomalidomide:A6NNY8	Pomalidomide	A6NNY8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ubiquitin carboxyl-terminal hydrolase 27	0	USP27X	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:O60262	Pomalidomide	O60262	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	0	GNG7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P01876	Pomalidomide	P01876	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Immunoglobulin heavy constant alpha 1	0	IGHA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P02458	Pomalidomide	P02458	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Collagen alpha-1(II) chain	0	COL2A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P06702	Pomalidomide	P06702	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein S100-A9	0	S100A9	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P06731	Pomalidomide	P06731	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carcinoembryonic antigen-related cell adhesion molecule 5	0	CEACAM5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P08237	Pomalidomide	P08237	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	ATP-dependent 6-phosphofructokinase, muscle type	0	PFKM	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Pomalidomide:P26842	Pomalidomide	P26842	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CD27 antigen	0	CD27	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
