.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Quisinostat:Q9BR77	Quisinostat	Q9BR77	-3.60161956462049	1.0605417163558	24.0476377796713	2604.61518185183	2604.61518185183	46716.6130812953	FALSE	0.983904574217445	1.87217489629458	26.919595626977	27.9607982808368	3.7526992160584	1	0	3.24148794784333	0	1.76999475264892	23.8682115179935	1	0	1	0	2	1	Coiled-coil domain-containing protein 77	3928991	CCDC77	0.0452223744861094	0.560541716361533	1.0605417163558	23.8682420500671	3.32598725428774	R_Bin_1
up, low confidence	Quisinostat:Q5T7W7	Quisinostat	Q5T7W7	-3.39094581767247	-0.00011055848259803	19.6309687035486	2369.09373739336	2369.09373739336	85.6654265785511	FALSE	0.999999999557011	0.000262322245586997	-79.5568563671404	-78.5156537132807	2.46066427027602	0	0	0	0	1	19.4834285102279	0	0	0	0	1	1	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2	0	TSTD2	0	0.000110471384043435	-0.000110558482569258	19.4834285854565	2.86906121574684	R_Bin_1
up, low confidence	Quisinostat:Q9H6L5	Quisinostat	Q9H6L5	-7.09674882903848	0.775227504165174	64.1295220027961	7621.43539093518	7621.43539093518		FALSE	0.999666397209202	0.652175780596272	14.2650921975866	15.3062948514463	2.38046288283214	1	1.21219090204458	0.80240953307919	0.86146108711009	0	56.0825815857	1	2	1	2	0	1	Reticulophagy regulator 1	16736125.5	RETREG1	0.246542917652921	0.155503039388476	0.775227504165174	56.0826349831309	7.76672533646849	R_Bin_1
non-regulated	Quisinostat:Q96HD9	Quisinostat	Q96HD9	0.000618544225422011	-1.0270061940015	1.00274035803211	497.190042743919	497.190042743919	10786.0373087217	TRUE	0.860599284125023	0.238002697030737	2.16870673283231	3.20990938669203	-0.0112681720202932	1	0	0	0	0.323436650086467	0	1	0	0	0	1	0	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)	17250138	ACY3	0.251526099414476	0.0123522462724888	-0.00946138458432477	-0.0130749631099569	-0.11513400142116	R_Bin_1
non-regulated	Quisinostat:Q4KMQ1	Quisinostat	Q4KMQ1	0.00676237593444634	-0.981699915785778	0.99999986198775	650.405827292626	650.405827292626	238149.931954093	TRUE	0.994877873605861	0.045618865545943	-17.6548211462934	-16.6136184924336	0.0192785541256603	1	0	0.0771110333941193	0	0	0	1	0	1	1	0	0	Taperin	51543415	TPRN	0.45371869938956	0.0231355273648293	0.0385571353269665	-5.14069467594247e-06	-0.145060315239832	R_Bin_1
non-regulated	Quisinostat:Q8N0X4	Quisinostat	Q8N0X4	0.000686684655834777	-0.925995176978624	0.965382687424326	651.223176601798	651.223176601798		TRUE	0.977181201638324	0.0956904128082913	-8.76525996961099	-7.72405731575126	0.0206759478910296	1	0	0	0.144643018400682	0	0	1	0	0	1	0	0	Citramalyl-CoA lyase, mitochondrial	3996121	CLYBL	0.0462190108384203	0.0214235852817029	0.0225450357779221	0.0188068548895174	-0.138724485188552	R_Bin_1
non-regulated	Quisinostat:Q9H649	Quisinostat	Q9H649	0.000409567302425846	-0.943869364638978	0.999991230858402	651.166017169436	651.166017169436		TRUE	0.97936838491331	0.0909930690436265	-9.36927726407262	-8.32807461021289	0.0286629924516688	1	0	0	0.143861063110467	0	0	1	0	0	1	0	0	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial	2413235	NSUN3	0.0289024542170176	0.02912128835387	0.0298087309882416	0.0275172527997932	-0.138746826768272	R_Bin_1
non-regulated	Quisinostat:Q9ULN7	Quisinostat	Q9ULN7	0.0101350552951952	-0.972886862176639	0.999999241024525	661.755694269149	661.755694269149	163724.3078827	TRUE	0.988515715415798	0.0680315223783767	-12.8590233893833	-11.8178207355236	0.0287522036197853	1	0	0.114997883511553	0	0	0	1	0	1	0	0	0	Paraneoplastic antigen-like protein 8B	5065513	PNMA8B	0.062663510651551	0.0345068268725858	0.0575041697116924	-1.69894765513767e-05	-0.146142796671759	R_Bin_1
non-regulated	Quisinostat:P20962	Quisinostat	P20962	0.0200018751517425	-0.993305840388924	1.0000059239079	717.238029926804	717.238029926804		TRUE	0.993448953938014	0.0513830512793182	-16.2269768179554	-15.1857741640956	0.034419471299062	1	0.114831739238368	0	0	0	0	1	1	0	0	0	0	Parathymosin	19175763	PTMS	0.2730783605332	0.0344496494710788	0.0916095705303625	-0.0229075536105098	-0.152699863363289	R_Bin_1
non-regulated	Quisinostat:A6NK58	Quisinostat	A6NK58	0.000365277747869519	-0.883541251454358	0.952871920869826	665.489557979764	665.489557979764		TRUE	0.991076634385962	0.0604512082461386	-14.2766385625152	-13.2354359086555	0.0351762575457134	1	0	0	0.0487982911823937	0	0	1	0	0	1	0	0	Putative lipoyltransferase 2, mitochondrial	24056617.6666667	LIPT2	0.313940450977949	0.034983185708054	0.0361416165637339	0.0342108977748495	-0.141462905966217	R_Bin_1
